0,source,sink,in_degree_a
1,3839905,4733583,2
2,1060999,626811,1
3,1747649,199110,2
4,4674617,290156,5
5,3820744,3741348,2
6,1570822,4843823,1
7,2617378,4643377,1
8,1625688,4303258,1
9,4286347,1570901,4
10,3049573,2094050,1
11,3165391,1090842,3
12,3860392,2674578,2
13,1597503,385131,2
14,249135,723512,1
15,3913974,1982263,1
16,587125,2374776,1
17,4175003,4541519,3
18,1446949,275596,1
19,2152105,415095,1
20,1635005,185938,1
21,2184077,3624722,1
22,452554,4299971,1
23,3425137,514323,1
24,4221982,2239460,1
25,4619967,3096729,2
26,2503189,448905,1
27,2975605,4862487,1
28,177384,3790353,7
29,383560,2463738,1
30,2733287,2191723,2
31,2879555,1555038,1
32,2153597,942364,22
33,3457386,1124,177
34,3756841,979266,2
35,4499167,4378530,1
36,386123,2845864,2
37,30378,1665462,1
38,2553639,3955750,2
39,3248009,3657735,1
40,2767100,2192372,3
41,2362335,810745,3
42,3144385,138973,17
43,2360521,536747,1
44,903785,1872019,2
45,3569859,2096882,2
46,3703614,566168,1
47,2390402,865011,1
48,3002788,1857223,1
49,633880,4507363,1
50,627341,209982,2
51,4344449,3918951,3
52,3584603,727357,50
53,3553031,2186234,1
54,1103410,3743221,3
55,2342654,3260848,9
56,2374922,3564073,1
57,445823,4088582,3
58,1238248,388353,5
59,1203907,3970681,1
60,3767447,1934262,6
61,1336254,3921898,1
62,2865485,970351,1
63,827106,821782,6
64,912669,3020750,32
65,2327323,1597157,2
66,662436,1844407,1
67,4433653,2377230,1
68,1229371,3513205,3
69,1512376,2961842,1
70,4731168,318991,1
71,1403352,67875,1
72,4390828,3103228,8
73,565120,263311,1
74,235180,800026,25
75,2028779,3369852,3
76,3302024,3943303,3
77,4417468,3258972,1
78,3627569,1843791,1
79,2392881,2485562,2
80,2634850,4119970,27
81,2077431,2808063,47
82,1990730,2934010,1
83,13838,4850247,1
84,3001854,372304,1
85,2148223,3903808,1
86,1667854,4142478,1
87,4243399,1217704,1
88,4246968,657994,1
89,2046241,3299247,159
90,374395,4384959,2
91,3207750,2616745,38
92,1232852,4185327,1
93,3159216,1968975,1
94,4473334,3060888,18
95,2490327,4276826,2
96,1957493,2322834,2
97,2068765,1006064,5
98,1457408,4778868,4
99,2717295,4138826,3
100,2824584,1329792,3
101,2361845,3135652,1
102,2934703,1649737,1
103,3122926,2116456,3
104,3394055,3827514,12
105,2439223,194580,6
106,99312,4649987,2
107,2971471,4244096,5
108,4771214,1906860,3
109,2069763,2781871,2
110,1073165,528668,1
111,4359635,1652261,1
112,3305917,3601707,1
113,2943793,712689,1
114,4075206,2728820,1
