0,source,sink,in_degree_b
1,3839905,4733583,4
2,1060999,626811,1
3,1747649,199110,1
4,4674617,290156,6
5,3820744,3741348,2
6,1570822,4843823,1
7,2617378,4643377,1
8,1625688,4303258,1
9,4286347,1570901,1
10,3049573,2094050,1
11,3165391,1090842,19
12,3860392,2674578,2
13,1597503,385131,1
14,249135,723512,1
15,3913974,1982263,2
16,587125,2374776,8
17,4175003,4541519,1
18,1446949,275596,7
19,2152105,415095,1
20,1635005,185938,2
21,2184077,3624722,1
22,452554,4299971,1
23,3425137,514323,1
24,4221982,2239460,1
25,4619967,3096729,3
26,2503189,448905,12
27,2975605,4862487,2
28,177384,3790353,1
29,383560,2463738,1
30,2733287,2191723,1
31,2879555,1555038,3
32,2153597,942364,1
33,3457386,1124,1
34,3756841,979266,1
35,4499167,4378530,1
36,386123,2845864,1
37,30378,1665462,1
38,2553639,3955750,2
39,3248009,3657735,1
40,2767100,2192372,1
41,2362335,810745,1
42,3144385,138973,1
43,2360521,536747,1
44,903785,1872019,6
45,3569859,2096882,1
46,3703614,566168,1
47,2390402,865011,1
48,3002788,1857223,1
49,633880,4507363,2
50,627341,209982,1
51,4344449,3918951,1
52,3584603,727357,1
53,3553031,2186234,8
54,1103410,3743221,14
55,2342654,3260848,1
56,2374922,3564073,1
57,445823,4088582,2
58,1238248,388353,1
59,1203907,3970681,1
60,3767447,1934262,1
61,1336254,3921898,2
62,2865485,970351,16
63,827106,821782,5
64,912669,3020750,2
65,2327323,1597157,1
66,662436,1844407,1
67,4433653,2377230,1
68,1229371,3513205,4
69,1512376,2961842,8
70,4731168,318991,1
71,1403352,67875,1
72,4390828,3103228,3
73,565120,263311,1
74,235180,800026,1
75,2028779,3369852,2
76,3302024,3943303,1
77,4417468,3258972,1
78,3627569,1843791,2
79,2392881,2485562,1
80,2634850,4119970,1
81,2077431,2808063,1
82,1990730,2934010,2
83,13838,4850247,1
84,3001854,372304,1
85,2148223,3903808,6
86,1667854,4142478,2
87,4243399,1217704,1
88,4246968,657994,1
89,2046241,3299247,1
90,374395,4384959,2
91,3207750,2616745,2
92,1232852,4185327,1
