0,source,sink,in_out_degree_b
1,3839905,4733583,4000000.0
2,1060999,626811,1000000.0
3,1747649,199110,1000000.0
4,4674617,290156,6000000.0
5,3820744,3741348,2000000.0
6,1570822,4843823,1000000.0
7,2617378,4643377,1000000.0
8,1625688,4303258,1000000.0
9,4286347,1570901,1000000.0
10,3049573,2094050,1000000.0
11,3165391,1090842,19000000.0
12,3860392,2674578,2000000.0
13,1597503,385131,1000000.0
14,249135,723512,1000000.0
15,3913974,1982263,2000000.0
16,587125,2374776,8000000.0
17,4175003,4541519,1000000.0
18,1446949,275596,7000000.0
19,2152105,415095,1000000.0
20,1635005,185938,2000000.0
21,2184077,3624722,1000000.0
22,452554,4299971,1000000.0
23,3425137,514323,1000000.0
24,4221982,2239460,1000000.0
25,4619967,3096729,3000000.0
26,2503189,448905,12000000.0
27,2975605,4862487,2000000.0
28,177384,3790353,1000000.0
29,383560,2463738,1000000.0
30,2733287,2191723,1000000.0
31,2879555,1555038,3000000.0
32,2153597,942364,1000000.0
33,3457386,1124,1000000.0
34,3756841,979266,1000000.0
35,4499167,4378530,1000000.0
36,386123,2845864,1000000.0
37,30378,1665462,1000000.0
38,2553639,3955750,2000000.0
39,3248009,3657735,1000000.0
40,2767100,2192372,1000000.0
41,2362335,810745,1000000.0
42,3144385,138973,1000000.0
43,2360521,536747,1000000.0
44,903785,1872019,6000000.0
45,3569859,2096882,1000000.0
46,3703614,566168,1000000.0
47,2390402,865011,1000000.0
48,3002788,1857223,1000000.0
49,633880,4507363,2000000.0
50,627341,209982,1000000.0
51,4344449,3918951,1000000.0
52,3584603,727357,1000000.0
53,3553031,2186234,0.08695652079395086
54,1103410,3743221,14000000.0
55,2342654,3260848,1000000.0
56,2374922,3564073,1000000.0
57,445823,4088582,2000000.0
58,1238248,388353,1000000.0
59,1203907,3970681,1000000.0
60,3767447,1934262,1000000.0
61,1336254,3921898,2000000.0
62,2865485,970351,16000000.0
63,827106,821782,5000000.0
64,912669,3020750,2000000.0
65,2327323,1597157,1000000.0
66,662436,1844407,1000000.0
67,4433653,2377230,1000000.0
68,1229371,3513205,4000000.0
69,1512376,2961842,8000000.0
70,4731168,318991,1000000.0
71,1403352,67875,1000000.0
72,4390828,3103228,3000000.0
73,565120,263311,1000000.0
74,235180,800026,1000000.0
