0,source,sink,z0_shortest_path
1,3839905,4733583,4
2,1060999,626811,3
3,1747649,199110,3
4,4674617,290156,4
5,3820744,3741348,5
6,1570822,4843823,5
7,2617378,4643377,4
8,1625688,4303258,5
9,4286347,1570901,4
10,3049573,2094050,5
11,3165391,1090842,4
12,3860392,2674578,4
13,1597503,385131,5
14,249135,723512,4
15,3913974,1982263,4
16,587125,2374776,3
17,4175003,4541519,5
18,1446949,275596,4
19,2152105,415095,5
20,1635005,185938,5
21,2184077,3624722,5
22,452554,4299971,5
23,3425137,514323,5
24,4221982,2239460,5
25,4619967,3096729,3
26,2503189,448905,4
27,2975605,4862487,5
28,177384,3790353,4
29,383560,2463738,5
30,2733287,2191723,5
31,2879555,1555038,5
32,2153597,942364,4
33,3457386,1124,4
34,3756841,979266,3
35,4499167,4378530,4
36,386123,2845864,5
37,30378,1665462,5
38,2553639,3955750,5
39,3248009,3657735,5
40,2767100,2192372,4
41,2362335,810745,4
42,3144385,138973,4
43,2360521,536747,5
44,903785,1872019,3
45,3569859,2096882,5
46,3703614,566168,5
47,2390402,865011,4
48,3002788,1857223,5
49,633880,4507363,4
50,627341,209982,4
51,4344449,3918951,4
52,3584603,727357,4
53,3553031,2186234,4
54,1103410,3743221,4
55,2342654,3260848,4
56,2374922,3564073,6
57,445823,4088582,5
58,1238248,388353,4
59,1203907,3970681,5
60,3767447,1934262,5
61,1336254,3921898,4
62,2865485,970351,4
63,827106,821782,4
64,912669,3020750,4
65,2327323,1597157,4
66,662436,1844407,5
67,4433653,2377230,4
68,1229371,3513205,4
69,1512376,2961842,4
70,4731168,318991,5
71,1403352,67875,4
72,4390828,3103228,3
73,565120,263311,5
74,235180,800026,4
75,2028779,3369852,4
76,3302024,3943303,4
77,4417468,3258972,5
78,3627569,1843791,4
79,2392881,2485562,3
80,2634850,4119970,4
81,2077431,2808063,4
82,1990730,2934010,5
83,13838,4850247,5
84,3001854,372304,5
85,2148223,3903808,4
86,1667854,4142478,5
87,4243399,1217704,5
88,4246968,657994,4
89,2046241,3299247,4
90,374395,4384959,5
91,3207750,2616745,4
92,1232852,4185327,4
93,3159216,1968975,5
94,4473334,3060888,4
95,2490327,4276826,4
96,1957493,2322834,4
97,2068765,1006064,5
98,1457408,4778868,5
99,2717295,4138826,5
100,2824584,1329792,4
101,2361845,3135652,5
102,2934703,1649737,4
103,3122926,2116456,4
104,3394055,3827514,4
105,2439223,194580,4
106,99312,4649987,5
107,2971471,4244096,4
108,4771214,1906860,4
109,2069763,2781871,5
110,1073165,528668,5
111,4359635,1652261,4
112,3305917,3601707,5
113,2943793,712689,5
114,4075206,2728820,5
115,1327242,2617800,4
116,3775480,109604,4
117,644386,1874293,3
118,4700445,2653676,5
119,1003652,1995463,5
120,4551226,892552,4
121,1724236,53743,4
122,525693,2265709,4
123,3282844,3328584,5
124,4153231,3744925,4
125,2638717,2921609,4
126,1638724,2236845,4
127,2120613,3934191,5
128,1625671,2483158,5
129,3994464,3974406,5
130,18108,1737984,5
131,3419348,3134261,4
132,2819739,2763163,3
133,647397,150278,4
134,2243230,1204149,5
135,3736678,1249248,5
