0,source,sink,adamic_adar_index
1,2184483,1300190,0
2,3151356,1452193,0.4077046379985356
3,1579396,193159,0
4,1406432,2481036,1.2388975904578436
5,2389638,593017,0.8028118928629641
6,228206,212805,2.357317109050002
7,1237964,879115,0.09064235218597792
8,3318124,1840575,0.15745835220560253
9,4522929,1552625,0.15832409171119385
10,3406737,3781412,0
11,1567983,3008412,0.25787794265940944
12,4370932,2906415,0.13116249633508392
13,286240,474307,0
14,4796773,3115614,0.10231101227470571
15,2207765,4354226,0.9829359729366093
16,1283384,279636,0
17,368544,2431466,0.45584307130875173
18,3921857,4512147,0
19,49037,3175009,0.07383035914027619
20,61633,1064392,0.671689770627829
21,1459453,654182,0
22,447597,2736867,0
23,2121585,3413796,0
24,933347,1131654,1.8378051187883382
25,3733033,488937,0
26,3023014,2817859,0.3049696999250657
27,1404783,410037,0
28,1886158,3656408,1.4417001468049446
29,3316731,4579088,0.568119138225466
30,2369031,1860112,0.9468609721949292
31,2850334,755258,0
32,4606553,2879440,0
33,3013323,2064734,0.3865613100432344
34,1653770,1190291,2.6171607794785263
35,4540325,202508,0
36,4189431,4404645,0.27615617397737025
37,1590268,3824559,0
38,2717491,421433,0
39,71500,2156609,0
40,2422900,325927,0
41,784291,4194667,0.12979661495688088
42,3836480,4207316,0.3966990932571174
43,2570161,3824301,0
44,2574465,1663756,0
45,195757,4324049,1.7879590641586316
46,3501584,624570,0.08787672930771424
47,2342205,3520804,0
48,2067826,727427,0.2930092313691034
49,4787138,2365654,2.9612858711285317
50,2907109,1536763,0.17112901496657407
51,2979388,2811074,5.42876599029407
52,2773866,3562714,1.769822008139285
53,3467832,3446682,0.1138929767924529
54,209191,3142365,2.411548155760436
55,1630356,2157727,0
56,662368,853327,0.46554776810761356
57,3151576,4278188,0.08770619340726442
58,2671870,4797151,0
59,3536080,614747,2.144934570738994
60,2541283,1592987,0.5062133729392804
61,3848381,903626,1.2962656148667713
62,811898,3593324,0
63,231650,4016607,2.1290006236244494
64,1305368,3362916,0
65,3275981,2183299,0
66,3863858,4710588,0.08641664237211644
67,938826,4543397,0.7797540217543028
68,4705108,2629120,0
69,617435,2721940,0.49553089420228225
70,2022904,1202849,0.24697971954172718
71,4797294,3735230,0
72,2450052,2549546,0.25831776680732876
73,24523,497993,0
74,4576342,1043689,0.2992252479497456
75,1875903,2638090,0.8704863190396206
76,930131,1305103,0.3105826365139362
77,3872353,2516690,6.306193282291588
78,217062,20388,18.811564205824716
79,1628755,1120745,0.3754367031377363
80,4033899,2555403,5.543046568200744
81,4600810,4690043,0.09066310787339056
82,2852252,3901568,5.109737350724568
83,4128817,963520,0.1768412052418143
84,4603833,3538910,0
85,2665129,694605,0
86,2506289,2034494,0
87,3755683,4027183,0
88,281045,1477566,7.000775643675398
89,525339,4345638,3.4766576912882545
90,2872550,3571822,0
91,3996001,1317062,0
92,1630993,2942968,0
93,3519436,273127,0
94,1072548,4516657,1.0701849746368859
95,3385377,21536,1.046410451846333
96,1698628,4155714,0
97,3421725,3521843,16.075565468141676
98,2930692,138960,0
99,3738701,228193,0
100,1729154,1781627,0
101,3763685,3856235,0
102,2141424,1303746,0
103,4842336,3181505,0.16973190573741526
104,258948,1471608,0
105,721572,98932,0.17244076954535698
106,1943690,492035,1.8699817599338258
107,3345713,3762682,0
108,2924614,3377440,0.4958016619302753
109,4112224,1051087,0
110,4110767,2609871,0
111,3922567,307495,0
112,558917,3683147,0.8588713540423882
113,678764,1677837,0.10072190921749677
114,4064525,2308522,0
115,2628408,2510362,1.0456959301039157
116,4088436,483355,0
117,4294640,2123719,2.3016052883578886
118,1062857,1809556,0
119,3287551,3077116,0
120,2921487,2416082,0
121,2206017,4727122,0.36276397219624124
122,1601895,4424787,5.90906318399877
123,4538043,4347620,3.85478229295291
124,2494024,1709398,0.31151478678793165
125,2380958,648703,0.8318998326404182
126,3786904,871332,0
127,2705657,852814,0.11267063647011558
128,2867762,2832683,0
129,4814135,2585300,0
130,1488632,297642,0.7062685653459237
131,1789514,2955720,0
132,309474,3636323,0.14707924457281835
133,4115547,879781,0.08801953973352142
134,4771179,77677,0
135,1541973,2681572,0
136,660741,517853,0.1923632915409209
137,4483428,1765722,0
138,2190643,2947163,0.25562221863533147
139,2519581,3743967,0.2783902056683989
140,4202801,710142,0
141,3417866,1598643,0
142,697388,943197,0.08554460979176402
143,3899173,1397388,0
144,3150672,3974467,0
145,4449837,3538291,0.17103428854261615
146,35548,3549289,0.15356865930359698
147,2707088,2136581,0
148,1586232,3610552,4.181935075227435
149,1735883,1901143,1.0667587942216739
150,2968005,1495600,0.10117153817381935
151,2873622,3664409,0
152,3691603,3188162,0.32024821313883034
153,1655116,365416,0.7068456788340147
154,2312268,4219994,1.7177919385231444
155,2349671,204712,0
156,1026366,792812,0.17144755640287204
157,3417564,2307183,0.6562017801942804
158,3687290,1281414,0
159,3327760,600051,0
160,1299905,4474903,0
161,3881924,783583,0.13821894129046863
162,111970,2294803,7.571493257276358
163,3736271,433745,0
164,2807537,2703992,0
165,934509,1653156,0
166,4662733,4764472,0.26609575091198334
167,1486892,237461,0
168,3026000,4750153,0.23782951347935782
169,2436861,4683579,0.4441415354744821
170,2295601,494551,0
