0,source,sink,in_degree_a
1,2184483,1300190,102
2,3151356,1452193,39
3,1579396,193159,13
4,1406432,2481036,16
5,2389638,593017,30
6,228206,212805,14
7,1237964,879115,4
8,3318124,1840575,26
9,4522929,1552625,46
10,3406737,3781412,3
11,1567983,3008412,13
12,4370932,2906415,15
13,286240,474307,50
14,4796773,3115614,15
15,2207765,4354226,13
16,1283384,279636,9
17,368544,2431466,32
18,3921857,4512147,65
19,49037,3175009,212
20,61633,1064392,12
21,1459453,654182,30
22,447597,2736867,209
23,2121585,3413796,5
24,933347,1131654,349
25,3733033,488937,40
26,3023014,2817859,20
27,1404783,410037,50
28,1886158,3656408,126
29,3316731,4579088,28
30,2369031,1860112,259
31,2850334,755258,65
32,4606553,2879440,21
33,3013323,2064734,60
34,1653770,1190291,15
35,4540325,202508,41
36,4189431,4404645,48
37,1590268,3824559,9
38,2717491,421433,4
39,71500,2156609,9
40,2422900,325927,23
41,784291,4194667,295
42,3836480,4207316,9
43,2570161,3824301,4
44,2574465,1663756,1
45,195757,4324049,76
46,3501584,624570,18
47,2342205,3520804,248
48,2067826,727427,520
49,4787138,2365654,39
50,2907109,1536763,32
51,2979388,2811074,437
52,2773866,3562714,67
53,3467832,3446682,16
54,209191,3142365,659
55,1630356,2157727,29
56,662368,853327,78
57,3151576,4278188,51
58,2671870,4797151,4
59,3536080,614747,97
60,2541283,1592987,71
61,3848381,903626,96
62,811898,3593324,6
63,231650,4016607,100
64,1305368,3362916,20
65,3275981,2183299,7
66,3863858,4710588,105
67,938826,4543397,30
68,4705108,2629120,19
69,617435,2721940,42
70,2022904,1202849,110
71,4797294,3735230,9
72,2450052,2549546,5
73,24523,497993,341
74,4576342,1043689,50
75,1875903,2638090,26
76,930131,1305103,12
77,3872353,2516690,182
78,217062,20388,78
79,1628755,1120745,3
80,4033899,2555403,384
81,4600810,4690043,15
82,2852252,3901568,165
83,4128817,963520,86
84,4603833,3538910,168
85,2665129,694605,13
86,2506289,2034494,7
87,3755683,4027183,11
88,281045,1477566,27
89,525339,4345638,7
90,2872550,3571822,57
91,3996001,1317062,53
92,1630993,2942968,3
93,3519436,273127,4
94,1072548,4516657,18
95,3385377,21536,36
96,1698628,4155714,2
97,3421725,3521843,161
98,2930692,138960,10
99,3738701,228193,118
100,1729154,1781627,87
101,3763685,3856235,13
102,2141424,1303746,94
103,4842336,3181505,83
104,258948,1471608,18
105,721572,98932,16
106,1943690,492035,21
107,3345713,3762682,83
108,2924614,3377440,182
109,4112224,1051087,62
110,4110767,2609871,8
111,3922567,307495,27
112,558917,3683147,100
113,678764,1677837,53
114,4064525,2308522,14
115,2628408,2510362,357
116,4088436,483355,13
117,4294640,2123719,260
118,1062857,1809556,47
119,3287551,3077116,62
120,2921487,2416082,33
121,2206017,4727122,58
122,1601895,4424787,951
123,4538043,4347620,34
124,2494024,1709398,1
125,2380958,648703,7
126,3786904,871332,6
127,2705657,852814,25
128,2867762,2832683,6
129,4814135,2585300,67
130,1488632,297642,64
131,1789514,2955720,3
132,309474,3636323,11
133,4115547,879781,47
134,4771179,77677,108
135,1541973,2681572,154
136,660741,517853,5
137,4483428,1765722,11
138,2190643,2947163,20
139,2519581,3743967,18
140,4202801,710142,20
141,3417866,1598643,3
142,697388,943197,70
143,3899173,1397388,6
144,3150672,3974467,8
145,4449837,3538291,455
146,35548,3549289,26
147,2707088,2136581,10
148,1586232,3610552,21
149,1735883,1901143,320
150,2968005,1495600,302
151,2873622,3664409,36
152,3691603,3188162,25
153,1655116,365416,44
154,2312268,4219994,6
155,2349671,204712,2
156,1026366,792812,223
157,3417564,2307183,85
158,3687290,1281414,52
159,3327760,600051,1
160,1299905,4474903,25
161,3881924,783583,24
162,111970,2294803,278
163,3736271,433745,12
164,2807537,2703992,7
165,934509,1653156,414
166,4662733,4764472,11
167,1486892,237461,175
168,3026000,4750153,5
169,2436861,4683579,49
170,2295601,494551,2
171,2333576,4066830,159
172,1599720,3262474,1354
173,600846,64799,20
174,1285894,2023333,71
175,1590882,971074,3
176,357381,908061,11
177,2345122,743875,65
178,1164538,4273253,73
179,4624816,1789251,20
180,470204,3779626,26
181,2266717,1367613,7
182,2826267,928903,124
183,275804,1725270,11
184,3980329,4675165,4
185,41540,1437899,18
186,1810899,2882556,21
187,1230845,2027917,3
188,2472742,3567788,5
189,4174076,5480,25
190,4819127,543061,47
191,1512639,1757836,114
192,594370,207942,4
193,4066375,4645447,127
194,1326339,639157,151
195,1429554,3308151,2
196,2622002,3723250,31
197,3341679,524043,87
198,2241048,4039025,57
199,2529024,1545613,1
200,644069,2596251,26
201,1813318,1054633,3
202,3655158,37400,186
203,3418483,362485,2
204,408243,4594685,48
205,2105491,3781492,62
206,738704,4658228,3
207,2535426,1266511,161
208,3014450,2569650,26
209,2635308,3237136,66
210,2749135,3229933,17
211,1147295,4463463,4
212,495613,3009965,39
213,1376558,291125,18
214,2021517,4634127,177
215,4519174,520390,41
216,604125,4360758,2
217,3828465,3963629,34
218,2957639,4578655,114
219,4325972,1755579,2
220,1039233,3674322,5
221,1901862,4840530,17
222,2408015,1321954,20
223,4781379,52592,21
224,4583761,4572486,67
225,1476555,4751012,8
226,1636856,4208957,5
227,2038215,4162950,45
228,4216378,2118739,24
229,1136996,3640654,113
230,4178366,3164163,23
231,986629,3346537,100
232,2303520,663713,1
233,4708115,738568,7
234,3769409,1960538,27
235,2844371,3392930,128
236,1320291,3768226,58
237,1817011,3254390,151
238,3337956,1186643,106
239,414390,2341215,10
240,1185153,4799044,13
241,4182445,4255166,26
242,1429988,4034214,90
243,784476,4743804,12
244,1567741,2167167,11
245,378193,3858906,18
246,3193737,852669,21
247,222154,1096330,114
248,837136,4092142,23
249,3001803,1421121,1
250,4497472,970834,11
251,78652,876913,299
252,1740390,2913793,35
253,4608977,2576561,5
254,2146076,3373346,234
255,4043972,3448830,151
256,2066994,3418202,5
257,559972,3695276,55
258,2427345,214090,42
259,1635607,4683806,43
260,4435111,1900279,31
261,541055,1731912,86
262,1745528,2194526,92
263,754926,762964,67
264,2093716,3996594,173
265,4640383,987793,567
266,4298408,420656,95
