0,source,sink,in_degree_b
1,2184483,1300190,3
2,3151356,1452193,289
3,1579396,193159,2
4,1406432,2481036,24
5,2389638,593017,165
6,228206,212805,894
7,1237964,879115,482
8,3318124,1840575,26
9,4522929,1552625,63
10,3406737,3781412,2
11,1567983,3008412,84
12,4370932,2906415,2
13,286240,474307,6
14,4796773,3115614,5
15,2207765,4354226,50
16,1283384,279636,70
17,368544,2431466,49
18,3921857,4512147,3
19,49037,3175009,1
20,61633,1064392,8
21,1459453,654182,7
22,447597,2736867,4
23,2121585,3413796,12
24,933347,1131654,95
25,3733033,488937,2
26,3023014,2817859,11
27,1404783,410037,1
28,1886158,3656408,272
29,3316731,4579088,72
30,2369031,1860112,69
31,2850334,755258,98
32,4606553,2879440,6
33,3013323,2064734,179
34,1653770,1190291,15
35,4540325,202508,64
36,4189431,4404645,2
37,1590268,3824559,4
38,2717491,421433,518
39,71500,2156609,28
40,2422900,325927,68
41,784291,4194667,99
42,3836480,4207316,31
43,2570161,3824301,21
44,2574465,1663756,468
45,195757,4324049,73
46,3501584,624570,20
47,2342205,3520804,18
48,2067826,727427,5
49,4787138,2365654,46
50,2907109,1536763,29
51,2979388,2811074,240
52,2773866,3562714,501
53,3467832,3446682,81
54,209191,3142365,145
55,1630356,2157727,1
56,662368,853327,50
57,3151576,4278188,33
58,2671870,4797151,1
59,3536080,614747,97
60,2541283,1592987,204
61,3848381,903626,20
62,811898,3593324,3
63,231650,4016607,321
64,1305368,3362916,37
65,3275981,2183299,3
66,3863858,4710588,45
67,938826,4543397,243
68,4705108,2629120,1
69,617435,2721940,144
70,2022904,1202849,11
71,4797294,3735230,1
72,2450052,2549546,40
73,24523,497993,2
74,4576342,1043689,110
75,1875903,2638090,1165
76,930131,1305103,75
77,3872353,2516690,254
78,217062,20388,4841
79,1628755,1120745,57
80,4033899,2555403,99
81,4600810,4690043,12
82,2852252,3901568,313
83,4128817,963520,41
84,4603833,3538910,2
85,2665129,694605,7
86,2506289,2034494,1
87,3755683,4027183,14
88,281045,1477566,68
89,525339,4345638,55
90,2872550,3571822,14
91,3996001,1317062,22
92,1630993,2942968,3
93,3519436,273127,33
94,1072548,4516657,210
95,3385377,21536,597
96,1698628,4155714,69
97,3421725,3521843,577
98,2930692,138960,22
99,3738701,228193,2
100,1729154,1781627,2
101,3763685,3856235,1
102,2141424,1303746,2
103,4842336,3181505,2
104,258948,1471608,1
105,721572,98932,33
106,1943690,492035,136
107,3345713,3762682,1
108,2924614,3377440,627
109,4112224,1051087,1
110,4110767,2609871,1
111,3922567,307495,26
112,558917,3683147,103
113,678764,1677837,41
114,4064525,2308522,276
115,2628408,2510362,99
116,4088436,483355,2
117,4294640,2123719,49
118,1062857,1809556,45
119,3287551,3077116,2
120,2921487,2416082,3
121,2206017,4727122,35
122,1601895,4424787,178
123,4538043,4347620,24
124,2494024,1709398,22
125,2380958,648703,45
126,3786904,871332,18
127,2705657,852814,91
128,2867762,2832683,2
129,4814135,2585300,7
130,1488632,297642,29
131,1789514,2955720,1
132,309474,3636323,3
133,4115547,879781,18
134,4771179,77677,1
135,1541973,2681572,2
136,660741,517853,18
137,4483428,1765722,3
138,2190643,2947163,2
139,2519581,3743967,30
140,4202801,710142,16
141,3417866,1598643,147
142,697388,943197,10
143,3899173,1397388,4
144,3150672,3974467,119
145,4449837,3538291,3
146,35548,3549289,7
147,2707088,2136581,2
148,1586232,3610552,910
149,1735883,1901143,20
150,2968005,1495600,2
151,2873622,3664409,30
152,3691603,3188162,20
153,1655116,365416,16
154,2312268,4219994,903
155,2349671,204712,85
156,1026366,792812,32
157,3417564,2307183,173
158,3687290,1281414,1
159,3327760,600051,89
160,1299905,4474903,8
161,3881924,783583,4
162,111970,2294803,209
163,3736271,433745,2
164,2807537,2703992,5
165,934509,1653156,1
166,4662733,4764472,39
167,1486892,237461,49
168,3026000,4750153,3
169,2436861,4683579,58
170,2295601,494551,15
171,2333576,4066830,102
172,1599720,3262474,182
173,600846,64799,83
174,1285894,2023333,31
175,1590882,971074,305
176,357381,908061,14
177,2345122,743875,8
178,1164538,4273253,36
179,4624816,1789251,31
180,470204,3779626,56
181,2266717,1367613,178
182,2826267,928903,24
183,275804,1725270,131
184,3980329,4675165,8
185,41540,1437899,233
186,1810899,2882556,1412
187,1230845,2027917,29
188,2472742,3567788,285
189,4174076,5480,147
190,4819127,543061,125
191,1512639,1757836,3
192,594370,207942,1
193,4066375,4645447,42
194,1326339,639157,9
195,1429554,3308151,42
196,2622002,3723250,2
197,3341679,524043,4
198,2241048,4039025,110
199,2529024,1545613,1
200,644069,2596251,74
201,1813318,1054633,3654
202,3655158,37400,86
203,3418483,362485,51
204,408243,4594685,216
205,2105491,3781492,156
206,738704,4658228,3
207,2535426,1266511,89
208,3014450,2569650,103
209,2635308,3237136,81
210,2749135,3229933,46
211,1147295,4463463,1
212,495613,3009965,21
213,1376558,291125,7
214,2021517,4634127,37
215,4519174,520390,472
216,604125,4360758,6
217,3828465,3963629,109
218,2957639,4578655,972
219,4325972,1755579,3
220,1039233,3674322,8
221,1901862,4840530,21
222,2408015,1321954,114
223,4781379,52592,2
224,4583761,4572486,319
225,1476555,4751012,1605
226,1636856,4208957,262
227,2038215,4162950,94
228,4216378,2118739,22
229,1136996,3640654,6
230,4178366,3164163,56
231,986629,3346537,14
232,2303520,663713,551
233,4708115,738568,1
234,3769409,1960538,237
235,2844371,3392930,44
236,1320291,3768226,1
237,1817011,3254390,1
238,3337956,1186643,63
239,414390,2341215,664
240,1185153,4799044,5
241,4182445,4255166,40
242,1429988,4034214,99
243,784476,4743804,521
244,1567741,2167167,333
245,378193,3858906,5
246,3193737,852669,5
247,222154,1096330,433
248,837136,4092142,10
249,3001803,1421121,1
250,4497472,970834,13
251,78652,876913,15
252,1740390,2913793,2
253,4608977,2576561,1
254,2146076,3373346,3
255,4043972,3448830,20
256,2066994,3418202,1443
257,559972,3695276,10
258,2427345,214090,48
259,1635607,4683806,12
260,4435111,1900279,4
261,541055,1731912,83
262,1745528,2194526,181
263,754926,762964,3
264,2093716,3996594,70
265,4640383,987793,122
266,4298408,420656,1
267,4725488,1747009,18
268,2264477,2991814,522
269,4421319,4161763,10
270,4007453,1159092,1
271,2690596,3915235,212
272,3602451,2065513,51
273,504324,2747208,21
274,30083,1972008,34
275,1025903,2722816,2
276,2607838,4292513,177
277,132853,1928713,435
278,1841790,1805282,2
279,699145,2039550,3
280,1632938,2917594,3
281,740264,775607,9
282,2326042,3593013,42
283,2597890,4398241,1
284,4347620,3709618,1
285,2956481,3808878,41
286,2421138,2173151,35
287,3325878,3941234,3
288,3969780,3375372,1
289,641527,2264701,665
290,3750870,214372,16
291,3136757,2292933,2
292,194271,4138613,2
293,4837795,2032867,108
294,4532809,3889649,7
295,2019222,2153519,5
296,1047207,311498,63
297,2970262,1729215,755
298,1221209,2747564,1
299,268995,1173364,1
300,4427946,1339329,183
301,1607490,654860,29
302,1460872,4581556,103
303,2019845,4577899,826
304,1704367,3164073,23
305,2745910,3104940,1051
