0,source,sink,resource_allocation
1,2184483,1300190,0
2,3151356,1452193,0.0007395088590716332
3,1579396,193159,0
4,1406432,2481036,0.032616871212827
5,2389638,593017,0.006229280633719201
6,228206,212805,0.045945261389900884
7,1237964,879115,1.6169717353340663e-05
8,3318124,1840575,0.0017452006980802793
9,4522929,1552625,8.556217239857661e-06
10,3406737,3781412,0
11,1567983,3008412,2.6816681106174636e-05
12,4370932,2906415,0.0004885197850512946
13,286240,474307,0
14,4796773,3115614,5.690547999772378e-05
15,2207765,4354226,0.01792525187979742
16,1283384,279636,0
17,368544,2431466,0.0012150148378344545
18,3921857,4512147,0
19,49037,3175009,1.3112054304884109e-06
20,61633,1064392,0.01382131246186817
21,1459453,654182,0
22,447597,2736867,0
23,2121585,3413796,0
24,933347,1131654,0.001305559916695177
25,3733033,488937,0
26,3023014,2817859,0.0028525641025641023
27,1404783,410037,0
28,1886158,3656408,0.009958880008853538
29,3316731,4579088,0.001132617787515363
30,2369031,1860112,0.00511039563854432
31,2850334,755258,0
32,4606553,2879440,0
33,3013323,2064734,0.0001903380420584395
34,1653770,1190291,0.14173480542216926
35,4540325,202508,0
36,4189431,4404645,0.0014922997826993373
37,1590268,3824559,0
38,2717491,421433,0
39,71500,2156609,0
40,2422900,325927,0
41,784291,4194667,0.0004508566275924256
42,3836480,4207316,0.004223054601019685
43,2570161,3824301,0
44,2574465,1663756,0
45,195757,4324049,0.0003019951826588431
46,3501584,624570,1.1426482014717308e-05
47,2342205,3520804,0
48,2067826,727427,0.00011422004727732
49,4787138,2365654,0.02409008979921655
50,2907109,1536763,0.002898550724637681
51,2979388,2811074,0.00289176257999946
52,2773866,3562714,0.0009118842723400774
53,3467832,3446682,0.00015375153751537516
54,209191,3142365,0.003928998698712256
55,1630356,2157727,0
56,662368,853327,0.0016483979957808814
57,3151576,4278188,1.1176431142007733e-05
58,2671870,4797151,0
59,3536080,614747,0.0016360595268481532
60,2541283,1592987,0.0008364443929153962
61,3848381,903626,0.006211425892449507
62,811898,3593324,0
63,231650,4016607,0.003125608729430031
64,1305368,3362916,0
65,3275981,2183299,0
66,3863858,4710588,9.427825283541846e-06
67,938826,4543397,0.0005016778079850886
68,4705108,2629120,0
69,617435,2721940,0.00021316638620809446
70,2022904,1202849,2.0572936052857464e-05
71,4797294,3735230,0
72,2450052,2549546,0.020833333333333332
73,24523,497993,0
74,4576342,1043689,0.00016976870385085064
75,1875903,2638090,0.013325037915799112
76,930131,1305103,0.0003389788047862334
77,3872353,2516690,0.4773498414728299
78,217062,20388,2.6299382431648004
79,1628755,1120745,0.009877399953735832
80,4033899,2555403,0.015368722524153316
81,4600810,4690043,1.621060822202049e-05
82,2852252,3901568,0.00388882016679562
83,4128817,963520,2.5434578044177527e-05
84,4603833,3538910,0
85,2665129,694605,0
86,2506289,2034494,0
87,3755683,4027183,0
88,281045,1477566,1.0832269152916216
89,525339,4345638,0.4181337422282702
90,2872550,3571822,0
91,3996001,1317062,0
92,1630993,2942968,0
93,3519436,273127,0
94,1072548,4516657,0.011036313685123414
95,3385377,21536,0.0004168085645369659
96,1698628,4155714,0
97,3421725,3521843,0.5727640678834238
98,2930692,138960,0
99,3738701,228193,0
100,1729154,1781627,0
101,3763685,3856235,0
102,2141424,1303746,0
103,4842336,3181505,0.0027624309392265192
104,258948,1471608,0
105,721572,98932,0.0030303030303030303
106,1943690,492035,0.21283020715659048
107,3345713,3762682,0
108,2924614,3377440,0.001775104787616835
109,4112224,1051087,0
110,4110767,2609871,0
111,3922567,307495,0
112,558917,3683147,0.0003517469571077195
113,678764,1677837,4.8773350241428086e-05
114,4064525,2308522,0
115,2628408,2510362,0.003838109513118666
116,4088436,483355,0
117,4294640,2123719,0.05317943642624723
118,1062857,1809556,0
119,3287551,3077116,0
120,2921487,2416082,0
121,2206017,4727122,0.0008708961720543257
122,1601895,4424787,0.002373231335784122
123,4538043,4347620,0.1342349451975307
124,2494024,1709398,0.0033340598210764476
125,2380958,648703,0.007652251229536421
126,3786904,871332,0
127,2705657,852814,0.0001397819401733296
128,2867762,2832683,0
129,4814135,2585300,0
130,1488632,297642,0.00011553443529687765
131,1789514,2955720,0
132,309474,3636323,0.0011148272017837235
133,4115547,879781,1.1639411045801083e-05
134,4771179,77677,0
135,1541973,2681572,0
136,660741,517853,0.0055248618784530384
