0,source,sink,summation_neighbours
1,2184483,1300190,148
2,3151356,1452193,643
3,1579396,193159,211
4,1406432,2481036,119
5,2389638,593017,503
6,228206,212805,1053
7,1237964,879115,498
8,3318124,1840575,129
9,4522929,1552625,505
10,3406737,3781412,32
11,1567983,3008412,176
12,4370932,2906415,107
13,286240,474307,565
14,4796773,3115614,154
15,2207765,4354226,1508
16,1283384,279636,208
17,368544,2431466,2311
18,3921857,4512147,70
19,49037,3175009,1016
20,61633,1064392,51
21,1459453,654182,69
22,447597,2736867,2268
23,2121585,3413796,46
24,933347,1131654,9063
25,3733033,488937,406
26,3023014,2817859,362
27,1404783,410037,226
28,1886158,3656408,444
29,3316731,4579088,611
30,2369031,1860112,684
31,2850334,755258,1714
32,4606553,2879440,51
33,3013323,2064734,4618
34,1653770,1190291,31
35,4540325,202508,294
36,4189431,4404645,421
37,1590268,3824559,21
38,2717491,421433,527
39,71500,2156609,73
40,2422900,325927,159
41,784291,4194667,754
42,3836480,4207316,311
43,2570161,3824301,40
44,2574465,1663756,544
45,195757,4324049,2911
46,3501584,624570,237
47,2342205,3520804,267
48,2067826,727427,27590
49,4787138,2365654,133
50,2907109,1536763,224
51,2979388,2811074,2845
52,2773866,3562714,1043
53,3467832,3446682,273
54,209191,3142365,4132
55,1630356,2157727,232
56,662368,853327,392
57,3151576,4278188,903
58,2671870,4797151,116
59,3536080,614747,1560
60,2541283,1592987,1039
61,3848381,903626,373
62,811898,3593324,41
63,231650,4016607,1151
64,1305368,3362916,509
65,3275981,2183299,220
66,3863858,4710588,1809
67,938826,4543397,670
68,4705108,2629120,515
69,617435,2721940,874
70,2022904,1202849,205
71,4797294,3735230,2004
72,2450052,2549546,129
73,24523,497993,12450
74,4576342,1043689,416
75,1875903,2638090,35039
76,930131,1305103,507
77,3872353,2516690,9988
78,217062,20388,762974
79,1628755,1120745,83
80,4033899,2555403,2634
81,4600810,4690043,160
82,2852252,3901568,2138
83,4128817,963520,1975
84,4603833,3538910,372
85,2665129,694605,121
86,2506289,2034494,226
87,3755683,4027183,52
88,281045,1477566,293
89,525339,4345638,254
90,2872550,3571822,474
91,3996001,1317062,295
92,1630993,2942968,35
93,3519436,273127,169
94,1072548,4516657,397
95,3385377,21536,882
96,1698628,4155714,83
97,3421725,3521843,14883
98,2930692,138960,109
99,3738701,228193,430
100,1729154,1781627,237
101,3763685,3856235,64
102,2141424,1303746,115
103,4842336,3181505,287
104,258948,1471608,191
105,721572,98932,347
106,1943690,492035,1470
107,3345713,3762682,91
108,2924614,3377440,3486
109,4112224,1051087,2012
110,4110767,2609871,130
111,3922567,307495,146
112,558917,3683147,4189
113,678764,1677837,166
114,4064525,2308522,471
115,2628408,2510362,946
116,4088436,483355,79
117,4294640,2123719,1012
118,1062857,1809556,204
119,3287551,3077116,150
120,2921487,2416082,241
121,2206017,4727122,157
122,1601895,4424787,46069
123,4538043,4347620,133
124,2494024,1709398,59
125,2380958,648703,86
126,3786904,871332,86
127,2705657,852814,722
128,2867762,2832683,31
129,4814135,2585300,80
130,1488632,297642,1984
131,1789514,2955720,44
132,309474,3636323,99
133,4115547,879781,498
134,4771179,77677,422
135,1541973,2681572,1428
136,660741,517853,56
137,4483428,1765722,129
138,2190643,2947163,187
139,2519581,3743967,510
140,4202801,710142,136
141,3417866,1598643,157
142,697388,943197,1954
143,3899173,1397388,13
144,3150672,3974467,169
145,4449837,3538291,11057
146,35548,3549289,77
147,2707088,2136581,253
148,1586232,3610552,10807
149,1735883,1901143,2794
150,2968005,1495600,675
151,2873622,3664409,85
152,3691603,3188162,494
153,1655116,365416,612
154,2312268,4219994,938
155,2349671,204712,130
156,1026366,792812,2788
157,3417564,2307183,452
158,3687290,1281414,1086
159,3327760,600051,91
160,1299905,4474903,91
161,3881924,783583,189
162,111970,2294803,1080
163,3736271,433745,114
164,2807537,2703992,111
165,934509,1653156,10945
166,4662733,4764472,115
167,1486892,237461,284
168,3026000,4750153,38
169,2436861,4683579,277
170,2295601,494551,18
171,2333576,4066830,467
172,1599720,3262474,1780
173,600846,64799,139
174,1285894,2023333,383
175,1590882,971074,670
176,357381,908061,84
177,2345122,743875,1133
178,1164538,4273253,1189
179,4624816,1789251,234
180,470204,3779626,297
181,2266717,1367613,188
182,2826267,928903,2173
183,275804,1725270,203
184,3980329,4675165,37
185,41540,1437899,485
186,1810899,2882556,2481
187,1230845,2027917,52
188,2472742,3567788,306
189,4174076,5480,620
190,4819127,543061,265
191,1512639,1757836,746
192,594370,207942,60
193,4066375,4645447,432
194,1326339,639157,2743
195,1429554,3308151,54
196,2622002,3723250,38
197,3341679,524043,1516
198,2241048,4039025,358
199,2529024,1545613,19
200,644069,2596251,299
201,1813318,1054633,3699
202,3655158,37400,7073
203,3418483,362485,135
204,408243,4594685,690
205,2105491,3781492,279
206,738704,4658228,71
207,2535426,1266511,3907
208,3014450,2569650,860
209,2635308,3237136,349
210,2749135,3229933,356
211,1147295,4463463,28
212,495613,3009965,630
213,1376558,291125,105
214,2021517,4634127,732
215,4519174,520390,574
216,604125,4360758,56
217,3828465,3963629,189
218,2957639,4578655,3977
219,4325972,1755579,35
220,1039233,3674322,283
221,1901862,4840530,362
222,2408015,1321954,265
223,4781379,52592,137
224,4583761,4572486,5221
225,1476555,4751012,1644
226,1636856,4208957,8457
227,2038215,4162950,337
228,4216378,2118739,340
229,1136996,3640654,318
230,4178366,3164163,159
231,986629,3346537,906
232,2303520,663713,628
233,4708115,738568,32
234,3769409,1960538,1434
235,2844371,3392930,295
236,1320291,3768226,421
237,1817011,3254390,557
238,3337956,1186643,392
239,414390,2341215,754
240,1185153,4799044,296
241,4182445,4255166,91
242,1429988,4034214,847
243,784476,4743804,3269
244,1567741,2167167,4501
245,378193,3858906,50
246,3193737,852669,76
247,222154,1096330,4580
248,837136,4092142,51
249,3001803,1421121,165
250,4497472,970834,38
251,78652,876913,3404
252,1740390,2913793,60
253,4608977,2576561,84
254,2146076,3373346,458
255,4043972,3448830,2751
256,2066994,3418202,1483
257,559972,3695276,595
258,2427345,214090,160
259,1635607,4683806,503
260,4435111,1900279,85
261,541055,1731912,2508
262,1745528,2194526,520
263,754926,762964,1401
264,2093716,3996594,726
265,4640383,987793,14599
266,4298408,420656,1388
267,4725488,1747009,100
268,2264477,2991814,28532
269,4421319,4161763,694
270,4007453,1159092,376
271,2690596,3915235,1690
272,3602451,2065513,579
273,504324,2747208,1400
274,30083,1972008,121
275,1025903,2722816,112
276,2607838,4292513,3309
277,132853,1928713,3710
278,1841790,1805282,250
279,699145,2039550,1902
280,1632938,2917594,317
281,740264,775607,246
282,2326042,3593013,1595
283,2597890,4398241,328
284,4347620,3709618,56
285,2956481,3808878,61532
286,2421138,2173151,204
287,3325878,3941234,138
288,3969780,3375372,123
289,641527,2264701,824
290,3750870,214372,411
291,3136757,2292933,117
292,194271,4138613,29
293,4837795,2032867,580
294,4532809,3889649,64
295,2019222,2153519,8
296,1047207,311498,192
297,2970262,1729215,3993
298,1221209,2747564,4
299,268995,1173364,119
300,4427946,1339329,418
301,1607490,654860,136
302,1460872,4581556,127
303,2019845,4577899,864
304,1704367,3164073,277
305,2745910,3104940,42637
306,2133929,3867352,243
307,3871942,4799962,673
308,3257910,588337,2985
309,765302,2762989,1244
310,3960835,4669648,335
311,2629112,1529484,783
312,2073048,421699,75
313,4524669,2949748,1083
314,144060,3080263,129
315,3764504,3328639,294
316,433097,4052222,135
317,1986630,2951260,805
318,2398278,209191,3998
319,1974705,1581879,59
320,1443500,1164411,1556
321,3550092,3753484,364
322,3107199,690742,862
323,2019781,636552,21
324,3478606,1281736,234
325,919613,1735123,392
326,1432948,4331707,968
327,4782388,1065417,195
328,596337,409262,101
329,4106517,3002541,7405
330,1065985,4673981,79
331,3757808,890719,90
332,4865292,2472812,173
333,1817278,3209863,130
334,2535495,1937230,182
335,1524949,2845319,3933
336,2699583,2224526,93
337,3589315,1592667,356
338,1501709,3370956,29
339,2135899,3893892,3252
340,3380008,1519730,169
341,3120092,4618432,170
342,1322906,784341,241
343,155804,834066,81
344,56567,3302825,1493
345,432620,112551,461
346,1239755,165055,1106
347,2314931,2658417,14842
348,3043233,857634,53
349,4444751,719172,184
350,3144674,3401173,391
351,2681125,4245138,416
352,4355412,3494128,458
353,4114591,1582028,619
354,4099850,924833,417
355,103916,2808644,350
356,520324,3222831,2412
357,3443992,280322,376
358,2008046,4864558,759
359,1981993,463338,2326
360,3004094,819288,97
361,4467857,2374812,572
362,1143671,3610611,230
363,1114213,140603,2273
364,2283170,3108276,421
365,3039452,1019859,758
366,298011,2396903,2447
367,3491637,3299008,182
368,4345638,1914315,213
369,3193210,370765,58
370,279329,4093834,104
371,1091584,977565,1359
372,4310710,290077,421
373,3725239,1818269,1109
374,1799182,3537761,1073
375,4366747,1672058,551
376,2921853,1063377,204
377,3210136,2558297,118
378,1618265,2401545,69
379,335479,673405,57
380,2393127,315060,70
381,2305619,2629421,201
382,94280,1191204,237
383,3396488,1921136,593
384,1184100,1487302,4206
385,3561479,3836738,326
386,2920873,2227745,2295
387,3576624,4268303,1572
388,527595,1894941,636
389,919165,1264290,30
390,4014552,4632479,248
391,4135084,17392,1938
392,245914,1905607,294
393,2618052,4188938,249
394,4836378,4536767,296
395,437876,2566889,473
396,2497998,95673,78
397,1036152,502401,364
398,2585063,3153339,35
399,311952,487639,4080
400,4260998,2255438,75
401,795918,448525,851
402,2720299,2127901,164
403,1459605,3749748,350
404,3547614,2860781,312
405,3335130,438964,165
406,1933312,3256959,172
407,3564448,167816,497
408,3432616,2332893,3294
409,2633605,1933805,329
410,2832099,593309,1316
411,2366431,4838273,2661
412,623567,2164839,932
413,3994516,1354897,86
414,2315048,2033602,434
415,1637898,4121411,12893
416,892193,4336282,1397
417,4578655,3601327,3778
418,4152864,1994852,32
419,2533205,2449296,63
420,3035063,3658576,89
421,1063789,1199206,13
422,4717616,489300,288
423,3652352,1702417,396
424,1024682,1315850,115
425,2587055,3472626,597
426,2086863,512769,1451
427,1493935,2241589,38
428,941692,3517094,254
429,2912801,871888,54
430,3606548,626239,9166
431,2200735,2157328,49
432,3544260,2618757,144
433,1862492,54381,80
434,3445194,2976923,17
435,4114513,3383210,46
436,3744513,1129682,54
437,2055183,1190704,160
438,3592571,377102,1444
439,484479,352855,1888
440,4518583,1939151,2904
441,2741551,3680201,383
442,2589986,4298355,36
443,3446506,3393730,170
444,1080614,1486892,841
445,3819586,3914665,51
446,2232341,2167763,360
447,3663392,2116501,131
448,135756,1415397,79
449,1304570,762511,468
450,3268179,1312177,1079
451,1034420,2582486,1213
452,1395712,207348,1638
453,28366,1841875,944
454,628921,901150,63
455,2156930,302849,205
456,4742865,4011635,455
457,579052,4286269,282
458,3622805,2239775,112
459,1097755,19760,188
460,4681267,4047729,1995
461,4214037,1124684,190
462,3328824,4725447,3504
463,1632157,3441172,232
464,2733872,2966772,781
465,4402871,3812818,966
466,1807180,817365,420
467,2763391,4023498,123
468,1626617,2819030,696
469,4130943,4188416,682
470,467667,4000293,504
471,585290,2615912,191
472,3437795,2770964,1528
473,3206172,4186227,323
474,174802,3795595,4190
475,4371955,1776702,255
476,2810159,2277589,76
477,2044305,2746365,9084
478,2952533,3517217,974
479,2914124,4682995,23
480,61530,3335540,902
481,4591296,1929062,282
482,4428300,2480985,521
483,46090,1450214,1257
