0,source,sink,z1_b_to_a
1,2184483,1300190,0
2,3151356,1452193,0
3,1579396,193159,0
4,1406432,2481036,0
5,2389638,593017,0
6,228206,212805,1
7,1237964,879115,0
8,3318124,1840575,0
9,4522929,1552625,0
10,3406737,3781412,0
11,1567983,3008412,0
12,4370932,2906415,0
13,286240,474307,0
14,4796773,3115614,0
15,2207765,4354226,0
16,1283384,279636,0
17,368544,2431466,0
18,3921857,4512147,0
19,49037,3175009,0
20,61633,1064392,0
21,1459453,654182,0
22,447597,2736867,0
23,2121585,3413796,0
24,933347,1131654,0
25,3733033,488937,0
26,3023014,2817859,0
27,1404783,410037,0
28,1886158,3656408,0
29,3316731,4579088,1
30,2369031,1860112,0
31,2850334,755258,0
32,4606553,2879440,0
33,3013323,2064734,0
34,1653770,1190291,0
35,4540325,202508,0
36,4189431,4404645,0
37,1590268,3824559,0
38,2717491,421433,0
39,71500,2156609,0
40,2422900,325927,0
41,784291,4194667,0
42,3836480,4207316,0
43,2570161,3824301,0
44,2574465,1663756,1
45,195757,4324049,0
46,3501584,624570,0
47,2342205,3520804,0
48,2067826,727427,0
49,4787138,2365654,0
50,2907109,1536763,0
51,2979388,2811074,0
52,2773866,3562714,0
53,3467832,3446682,0
54,209191,3142365,0
55,1630356,2157727,0
56,662368,853327,0
57,3151576,4278188,0
58,2671870,4797151,0
59,3536080,614747,0
60,2541283,1592987,0
61,3848381,903626,0
62,811898,3593324,0
63,231650,4016607,0
64,1305368,3362916,0
65,3275981,2183299,0
66,3863858,4710588,0
67,938826,4543397,0
68,4705108,2629120,0
69,617435,2721940,0
70,2022904,1202849,0
71,4797294,3735230,0
72,2450052,2549546,0
73,24523,497993,0
74,4576342,1043689,0
75,1875903,2638090,0
76,930131,1305103,0
77,3872353,2516690,1
78,217062,20388,1
79,1628755,1120745,0
80,4033899,2555403,0
81,4600810,4690043,0
82,2852252,3901568,0
83,4128817,963520,0
84,4603833,3538910,0
85,2665129,694605,0
86,2506289,2034494,0
87,3755683,4027183,0
88,281045,1477566,1
89,525339,4345638,0
90,2872550,3571822,0
91,3996001,1317062,0
92,1630993,2942968,0
93,3519436,273127,0
94,1072548,4516657,0
95,3385377,21536,0
96,1698628,4155714,0
97,3421725,3521843,1
98,2930692,138960,0
99,3738701,228193,0
100,1729154,1781627,0
101,3763685,3856235,0
102,2141424,1303746,0
103,4842336,3181505,0
104,258948,1471608,0
105,721572,98932,0
106,1943690,492035,1
107,3345713,3762682,0
108,2924614,3377440,0
109,4112224,1051087,0
110,4110767,2609871,0
111,3922567,307495,0
112,558917,3683147,0
113,678764,1677837,0
114,4064525,2308522,0
115,2628408,2510362,0
116,4088436,483355,0
117,4294640,2123719,0
118,1062857,1809556,0
119,3287551,3077116,0
120,2921487,2416082,0
121,2206017,4727122,0
122,1601895,4424787,0
123,4538043,4347620,1
124,2494024,1709398,0
125,2380958,648703,0
126,3786904,871332,0
127,2705657,852814,0
128,2867762,2832683,0
129,4814135,2585300,0
130,1488632,297642,0
131,1789514,2955720,0
132,309474,3636323,0
133,4115547,879781,0
134,4771179,77677,0
135,1541973,2681572,0
136,660741,517853,0
137,4483428,1765722,0
138,2190643,2947163,0
139,2519581,3743967,0
140,4202801,710142,0
141,3417866,1598643,0
142,697388,943197,0
143,3899173,1397388,0
144,3150672,3974467,0
145,4449837,3538291,0
146,35548,3549289,0
147,2707088,2136581,0
148,1586232,3610552,1
149,1735883,1901143,0
150,2968005,1495600,0
151,2873622,3664409,0
152,3691603,3188162,0
153,1655116,365416,0
154,2312268,4219994,0
155,2349671,204712,0
156,1026366,792812,0
157,3417564,2307183,0
158,3687290,1281414,0
159,3327760,600051,0
160,1299905,4474903,0
161,3881924,783583,0
162,111970,2294803,0
163,3736271,433745,0
164,2807537,2703992,0
165,934509,1653156,0
166,4662733,4764472,0
167,1486892,237461,0
168,3026000,4750153,0
169,2436861,4683579,0
170,2295601,494551,0
171,2333576,4066830,0
172,1599720,3262474,0
173,600846,64799,0
174,1285894,2023333,0
175,1590882,971074,0
176,357381,908061,0
177,2345122,743875,0
178,1164538,4273253,0
179,4624816,1789251,0
180,470204,3779626,0
181,2266717,1367613,0
182,2826267,928903,0
183,275804,1725270,0
184,3980329,4675165,1
185,41540,1437899,1
186,1810899,2882556,0
187,1230845,2027917,0
188,2472742,3567788,0
189,4174076,5480,0
190,4819127,543061,0
191,1512639,1757836,1
192,594370,207942,0
193,4066375,4645447,0
194,1326339,639157,0
195,1429554,3308151,0
196,2622002,3723250,0
197,3341679,524043,0
198,2241048,4039025,0
199,2529024,1545613,0
200,644069,2596251,0
201,1813318,1054633,0
202,3655158,37400,0
203,3418483,362485,0
204,408243,4594685,0
205,2105491,3781492,0
206,738704,4658228,0
207,2535426,1266511,0
208,3014450,2569650,0
209,2635308,3237136,0
210,2749135,3229933,1
211,1147295,4463463,0
212,495613,3009965,0
213,1376558,291125,0
214,2021517,4634127,0
215,4519174,520390,0
216,604125,4360758,0
217,3828465,3963629,0
218,2957639,4578655,0
219,4325972,1755579,0
220,1039233,3674322,0
221,1901862,4840530,0
222,2408015,1321954,0
223,4781379,52592,0
224,4583761,4572486,1
225,1476555,4751012,0
226,1636856,4208957,1
227,2038215,4162950,0
228,4216378,2118739,1
229,1136996,3640654,0
230,4178366,3164163,0
231,986629,3346537,0
232,2303520,663713,0
233,4708115,738568,0
234,3769409,1960538,0
235,2844371,3392930,0
236,1320291,3768226,0
237,1817011,3254390,0
238,3337956,1186643,0
239,414390,2341215,0
240,1185153,4799044,0
241,4182445,4255166,0
242,1429988,4034214,0
243,784476,4743804,1
244,1567741,2167167,0
245,378193,3858906,0
246,3193737,852669,0
247,222154,1096330,1
248,837136,4092142,0
249,3001803,1421121,0
250,4497472,970834,0
251,78652,876913,0
252,1740390,2913793,0
253,4608977,2576561,0
254,2146076,3373346,0
255,4043972,3448830,0
256,2066994,3418202,0
257,559972,3695276,0
258,2427345,214090,0
259,1635607,4683806,0
260,4435111,1900279,0
261,541055,1731912,0
262,1745528,2194526,0
263,754926,762964,0
264,2093716,3996594,0
265,4640383,987793,0
266,4298408,420656,0
267,4725488,1747009,1
268,2264477,2991814,0
269,4421319,4161763,0
270,4007453,1159092,0
271,2690596,3915235,0
272,3602451,2065513,0
273,504324,2747208,0
274,30083,1972008,0
275,1025903,2722816,0
276,2607838,4292513,0
277,132853,1928713,0
278,1841790,1805282,0
279,699145,2039550,0
280,1632938,2917594,0
