0,source,sink,adamic_adar_index
1,1328064,3679178,10.617399630242288
2,3408035,3219451,9.252370959902397
3,1778002,4094712,2.628740703861451
4,149178,3641949,0
5,3115958,388986,1.614886844807683
6,4428000,2754418,0
7,2501340,2489803,1.1926435212869508
8,3667996,3139729,0.7070197679953952
9,748601,2124082,1.856277420992866
10,2289353,3922180,1.1518201486604651
11,3283631,3790474,2.328830679930255
12,579087,4864718,0
13,916282,4220051,1.9898636638251683
14,3257141,3325131,0.10256792305914779
15,4553290,3791544,0.4935660091119014
16,1548572,204580,0.12565612614889263
17,1482102,4226190,6.7646804858747975
18,4558830,2945485,17.45787839387416
19,621507,3927116,2.629332580826477
20,2646810,1020659,0
21,540885,4357361,0
22,4384804,1239560,1.1338471702932718
23,3293710,1988104,0
24,3987555,1690452,0.42472210843867375
25,190960,4311061,0
26,1606939,680335,0.09082064279621849
27,3156079,242071,2.337177429174516
28,3657101,3790534,1.8380046306014861
29,3528096,3075173,2.691625919991436
30,3741309,1470927,1.71798574247789
31,330829,468933,0.24894861158573137
32,1272125,1349133,1.4549284586080433
33,869285,812719,0
34,1383804,3839572,8.649954127669227
35,3385377,251847,0.685200280033728
36,2259534,2438108,0
37,551818,4531145,1.129799711080095
38,2671829,997866,0
39,3643728,4187899,0.8691860759403476
40,1719681,4779581,0
41,3939243,1380921,9.576213372261261
42,3825120,2809458,2.802445615042313
43,1055448,1641529,1.0461596425383697
44,4076988,3540532,1.2662844590105675
45,3889805,603001,0.770448154151641
46,1313009,425372,0.14277608404589612
47,1625773,3115471,18.661378224228873
48,530761,4096612,2.116505644573233
49,2688609,778318,0.20454667974931262
50,4523333,3071636,0
51,4143253,4739579,0.30478485587543297
52,161137,4613434,0.7890142019615223
53,2506971,4290833,0
54,817452,1724530,0
55,4289980,2290977,0
56,2635155,4406034,0.3413712764946551
57,3700536,1515999,2.393169832964788
58,4261799,4257590,1.2602633835975914
59,3218203,62113,1.1339093643173683
60,334461,882814,2.045553158000422
61,743085,3221949,3.9439793358145643
62,3928706,2730086,0
63,3318237,4790245,0
64,3184222,2203730,2.485566233376339
65,4274919,458869,0
66,2031470,2135899,8.606366287637295
67,1132916,104662,0.29120667621996243
68,2899933,1023717,0
69,2131627,3204799,0.8556225308162126
70,143220,119228,0.3122829136783407
71,659469,1804528,0
72,2864777,4338398,2.149888464043963
73,2752756,3243447,0.42818709810927646
74,4787138,1450031,3.8044260377344807
75,3891364,3883024,0.8544057347326447
76,2213689,1400706,1.3685472758960504
77,3723633,4175820,0.8723288624732574
78,4832741,4063856,0.621621104117103
79,1122,984459,46.48771355648682
80,510935,4736821,0
81,4719740,1105301,3.1343691000996974
82,1648097,2880329,6.458867819336709
83,3144014,2558807,1.486269080676241
84,3804990,950597,0.36976877513192774
85,3203747,2302064,1.1018953762090882
86,2139167,2437632,0
87,1359330,2337881,0.21172671191410664
88,4418116,1395863,0.4886666554918778
89,752405,4016274,0.45292719927259906
90,4418154,2578793,1.446606078468047
91,1244565,4126893,0.15960924559651557
92,3300111,245819,4.793202024014192
93,3144,2868440,9.509568728576237
94,4118493,1438067,3.713358163699646
95,2506971,3317934,3.890732884179274
96,3045222,2984603,47.9080844453687
97,3213642,1788881,0
98,1480185,4792640,2.482683027420651
99,2416271,4443281,1.6315967947622319
100,4180822,4793644,0.24924230499882646
101,521794,4162835,0
102,264132,441367,0.14769326549557202
103,2559219,3920639,0
104,3755255,4319703,0.971542435385681
105,1635500,3921120,0.12693937447497786
106,4820741,3818906,0
107,1961825,3530075,2.429038311816631
108,1565517,1184312,0.33377627295016865
109,840219,1143637,0.09958317250607758
110,3201162,4005328,0
111,1006107,3201058,0
112,1751017,4861559,0
113,2126605,2180464,0
114,3077171,2226572,0.07383035914027619
115,812338,4844871,0.1780382327518099
116,4230186,4137307,4.140470748489528
117,3532343,2650447,0.10850783042371237
118,1126130,160891,1.1452598210704272
119,451378,3774281,0.10680463238577498
120,453003,376424,2.4248817982026947
121,19451,3111141,0.5043179276495042
122,3638601,1793500,1.4316892333052385
123,1950599,1009060,1.9938940079109042
124,4332042,3257170,0
125,482013,3579983,0.5391807335551027
126,1943454,3689782,1.342948165844083
127,4413981,4833817,0
128,4014047,1136778,0.14097602670981493
129,1561394,1927555,0.28685121756763254
