0,source,sink,in_degree_a
1,1328064,3679178,1783
2,3408035,3219451,58
3,1778002,4094712,249
4,149178,3641949,4
5,3115958,388986,163
6,4428000,2754418,123
7,2501340,2489803,3
8,3667996,3139729,22
9,748601,2124082,57
10,2289353,3922180,159
11,3283631,3790474,111
12,579087,4864718,19
13,916282,4220051,7
14,3257141,3325131,107
15,4553290,3791544,16
16,1548572,204580,7
17,1482102,4226190,30
18,4558830,2945485,76
19,621507,3927116,84
20,2646810,1020659,7
21,540885,4357361,24
22,4384804,1239560,280
23,3293710,1988104,18
24,3987555,1690452,17
25,190960,4311061,1
26,1606939,680335,169
27,3156079,242071,11
28,3657101,3790534,357
29,3528096,3075173,3035
30,3741309,1470927,69
31,330829,468933,39
32,1272125,1349133,37
33,869285,812719,5
34,1383804,3839572,36
35,3385377,251847,36
36,2259534,2438108,5
37,551818,4531145,251
38,2671829,997866,52
39,3643728,4187899,5
40,1719681,4779581,79
41,3939243,1380921,260
42,3825120,2809458,39
43,1055448,1641529,75
44,4076988,3540532,530
45,3889805,603001,195
46,1313009,425372,12
47,1625773,3115471,448
48,530761,4096612,23
49,2688609,778318,19
50,4523333,3071636,50
51,4143253,4739579,72
52,161137,4613434,26
53,2506971,4290833,33
54,817452,1724530,5
55,4289980,2290977,12
56,2635155,4406034,3
57,3700536,1515999,83
58,4261799,4257590,7
59,3218203,62113,20
60,334461,882814,285
61,743085,3221949,17
62,3928706,2730086,88
63,3318237,4790245,96
64,3184222,2203730,163
65,4274919,458869,3
66,2031470,2135899,53
67,1132916,104662,7
68,2899933,1023717,3
69,2131627,3204799,361
70,143220,119228,2
71,659469,1804528,24
72,2864777,4338398,134
73,2752756,3243447,15
74,4787138,1450031,39
75,3891364,3883024,23
76,2213689,1400706,31
77,3723633,4175820,37
78,4832741,4063856,20
79,1122,984459,109
80,510935,4736821,315
81,4719740,1105301,35
82,1648097,2880329,14
83,3144014,2558807,193
84,3804990,950597,81
85,3203747,2302064,9
86,2139167,2437632,6
87,1359330,2337881,83
88,4418116,1395863,16
89,752405,4016274,32
90,4418154,2578793,19
91,1244565,4126893,39
92,3300111,245819,88
93,3144,2868440,175
94,4118493,1438067,41
95,2506971,3317934,33
96,3045222,2984603,323
97,3213642,1788881,73
98,1480185,4792640,751
99,2416271,4443281,78
100,4180822,4793644,21
101,521794,4162835,95
102,264132,441367,7
103,2559219,3920639,9
104,3755255,4319703,129
105,1635500,3921120,64
106,4820741,3818906,19
107,1961825,3530075,410
108,1565517,1184312,69
109,840219,1143637,98
110,3201162,4005328,9
111,1006107,3201058,21
112,1751017,4861559,3
113,2126605,2180464,9
114,3077171,2226572,2
115,812338,4844871,14
116,4230186,4137307,59
117,3532343,2650447,8
118,1126130,160891,55
119,451378,3774281,970
120,453003,376424,8
121,19451,3111141,422
122,3638601,1793500,60
123,1950599,1009060,47
