0,source,sink,in_degree_b
1,1328064,3679178,127
2,3408035,3219451,302
3,1778002,4094712,764
4,149178,3641949,20
5,3115958,388986,57
6,4428000,2754418,1
7,2501340,2489803,430
8,3667996,3139729,6
9,748601,2124082,35
10,2289353,3922180,13
11,3283631,3790474,190
12,579087,4864718,1
13,916282,4220051,152
14,3257141,3325131,18
15,4553290,3791544,61
16,1548572,204580,386
17,1482102,4226190,114
18,4558830,2945485,61
19,621507,3927116,106
20,2646810,1020659,1
21,540885,4357361,23
22,4384804,1239560,178
23,3293710,1988104,1
24,3987555,1690452,64
25,190960,4311061,12
26,1606939,680335,10
27,3156079,242071,38
28,3657101,3790534,32
29,3528096,3075173,31
30,3741309,1470927,440
31,330829,468933,114
32,1272125,1349133,40
33,869285,812719,32
34,1383804,3839572,173
35,3385377,251847,180
36,2259534,2438108,1
37,551818,4531145,41
38,2671829,997866,3
39,3643728,4187899,657
40,1719681,4779581,2
41,3939243,1380921,126
42,3825120,2809458,2821
43,1055448,1641529,74
44,4076988,3540532,22
45,3889805,603001,16
46,1313009,425372,8
47,1625773,3115471,277
48,530761,4096612,2022
49,2688609,778318,626
50,4523333,3071636,32
51,4143253,4739579,44
52,161137,4613434,6
53,2506971,4290833,1
54,817452,1724530,7
55,4289980,2290977,362
56,2635155,4406034,29
57,3700536,1515999,79
58,4261799,4257590,17
59,3218203,62113,55
60,334461,882814,86
61,743085,3221949,25
62,3928706,2730086,6
63,3318237,4790245,38
64,3184222,2203730,83
65,4274919,458869,8
66,2031470,2135899,404
67,1132916,104662,26
68,2899933,1023717,74
69,2131627,3204799,33
70,143220,119228,33
71,659469,1804528,1
72,2864777,4338398,47
73,2752756,3243447,44
74,4787138,1450031,125
75,3891364,3883024,862
76,2213689,1400706,19
77,3723633,4175820,21
78,4832741,4063856,42
79,1122,984459,178
80,510935,4736821,1
81,4719740,1105301,246
82,1648097,2880329,59
83,3144014,2558807,53
84,3804990,950597,20
85,3203747,2302064,12
86,2139167,2437632,10
87,1359330,2337881,27
88,4418116,1395863,79
89,752405,4016274,15
90,4418154,2578793,292
91,1244565,4126893,45
92,3300111,245819,788
93,3144,2868440,318
94,4118493,1438067,363
95,2506971,3317934,620
96,3045222,2984603,3193
97,3213642,1788881,6
98,1480185,4792640,31
99,2416271,4443281,41
100,4180822,4793644,6
101,521794,4162835,1
102,264132,441367,50
103,2559219,3920639,1
104,3755255,4319703,52
105,1635500,3921120,8
106,4820741,3818906,5
107,1961825,3530075,35
108,1565517,1184312,3
109,840219,1143637,5
110,3201162,4005328,1
111,1006107,3201058,6
112,1751017,4861559,6
113,2126605,2180464,23
114,3077171,2226572,73
115,812338,4844871,5
116,4230186,4137307,312
117,3532343,2650447,384
118,1126130,160891,19
119,451378,3774281,9
120,453003,376424,72
121,19451,3111141,17
122,3638601,1793500,67
123,1950599,1009060,289
124,4332042,3257170,4
125,482013,3579983,67
126,1943454,3689782,38
127,4413981,4833817,1
128,4014047,1136778,6
129,1561394,1927555,33
130,3586613,1228736,1789
131,1984044,4476596,1648
132,697564,50158,203
133,4700329,3283432,176
134,3362628,20388,4841
135,3559634,1209622,80
136,4612494,3281822,22
137,331274,2249595,84
138,3290884,3881983,1
139,2977223,4109291,33
140,2591437,1789565,1
141,702335,4751012,1605
142,1859993,3188099,2
143,1443414,1154944,111
144,4067295,2795881,568
145,2427217,74682,72
146,1120411,4477188,1
147,1954009,1779762,1
148,2424197,458887,52
149,3225341,2010664,1
150,4414997,2582486,852
151,3313467,3478637,36
152,640373,4795705,42
153,547021,366864,6
154,3739969,4310029,716
155,1057680,4168027,14
156,2181364,4586866,1837
157,3511222,1004233,335
158,2985668,3025121,189
159,4114236,3761153,3
160,1273418,2159250,90
161,654563,4087577,36
162,4146884,3352404,3
163,3976159,3009133,4
164,323965,193093,1
165,4311722,1753978,99
166,1818698,3704407,4
167,2162620,4423930,6
168,653234,1723138,5
169,871688,113821,14
170,3519166,730998,92
171,696010,3600865,6
172,3849752,754077,88
173,352555,4394409,215
174,4745442,3063778,6
175,1300583,2871701,1
176,3220267,2383579,33
177,4315961,2678379,18
178,1459605,1989693,755
179,953777,2505146,319
180,3979764,1776383,1
181,758145,2560532,3
182,4529968,3172548,175
183,813834,2306581,19
184,268979,15583,22
185,3360177,190135,6
186,2878277,2857848,169
187,1792282,2791079,4
188,3819528,4613147,73
189,2609436,4831688,694
190,3000657,1364265,517
191,4846160,1111515,38
192,1784444,895856,20
193,2814406,1916798,2
194,2112791,3534144,1
195,3218124,2859615,10
196,1827920,3076046,514
197,2557232,1747172,93
198,4522523,4386169,57
199,4673872,960120,484
200,2135471,2849755,5
201,1062590,1247007,477
202,4556922,2420235,348
203,1240857,909674,25
204,3989827,3166659,7
205,220956,2862017,768
206,41996,3465628,306
207,201146,3926875,23
208,3035063,1565469,1637
209,1160949,1565469,1637
210,3183860,4109816,878
211,4621317,3713991,5
212,638873,1844409,69
213,1876529,1351949,114
214,4566997,4514481,2
215,3115786,4347727,296
216,3503651,2409176,16
217,3648705,3367608,16
218,1537715,1341124,56
219,831453,122016,26
220,1429183,3247415,2
221,4579537,3799178,267
222,169650,1856116,1
223,960790,3067078,227
224,3102958,2702637,8
225,4843952,3889805,195
226,907892,2320538,24
227,3332350,2863811,70
228,4862682,3375317,79
229,4732222,3013417,31
230,4742300,4400515,1353
231,1200055,970441,11
232,2411192,575372,74
233,846393,3611163,3
234,3228963,3740055,2
235,1651539,559732,1177
236,2098473,14202,213
237,598650,1204624,8
238,4093979,4863182,131
239,483091,4337184,318
240,2077025,799040,1
241,699366,2497380,3
242,402005,1558394,23
243,1635607,4058041,105
244,4789443,124654,10
245,2597890,3167298,24
246,2390420,4116301,2
247,2602854,3609187,27
248,4709481,4283234,1
249,1327905,3553485,1252
250,1295223,614768,451
251,3044382,104806,3
252,3320731,1853137,8
253,3265042,2821412,3
254,3072308,269841,221
255,1174,683529,18
256,649203,1467047,10
257,4764268,1114409,3
258,4357352,3501099,228
259,1942858,4502795,40
260,2502918,2689599,7
261,4700248,4278467,13
262,4564989,4451008,283
263,2001062,1196225,912
264,3280393,1165110,1
265,1727502,34992,59
266,4550525,4776193,26
267,43264,2332893,2431
268,1737080,3616458,239
269,122041,142496,77
270,2646333,1672636,12
271,1742701,2970071,80
272,3293255,833637,127
273,1780606,2262636,3
274,1345570,2824526,24
275,2887828,1690852,484
276,38947,3108211,82
277,1013242,4077123,33
278,839043,2692611,7
279,371635,156875,81
280,3011952,4720585,268
281,3638601,2129705,326
282,3708904,2079990,82
283,241387,1059358,65
284,40248,1127656,65
285,987263,2478602,80
286,1879363,4654996,9
287,2950460,1294552,101
288,2695168,3951022,143
289,3961269,728145,30
290,3028026,4119951,23
291,1616100,902731,79
292,3212185,37950,3
293,615572,2930986,1882
294,2824613,4085345,2
295,3014991,821405,10
296,2080615,2393,71
297,3675243,622762,206
298,947762,2764726,1
299,596458,360372,49
300,785634,4458764,137
301,3701577,463578,145
302,1567929,1000,166
303,1912792,3080932,53
304,4231030,1132916,7
305,3026988,2133291,88
306,2837576,2427238,1
307,2985401,3587358,53
308,838983,799253,40
309,4525307,3762216,95
310,3651080,1922246,8
311,667134,1781711,6
312,2676205,3132930,46
313,4225721,2019650,533
314,540450,4629997,48
315,2483244,3602926,246
316,1735998,4810297,8
317,4306167,603449,6
318,375480,2152962,638
319,3180301,1013242,126
320,935185,2126374,221
321,363438,848620,2084
322,116337,1529538,357
323,902881,1494526,551
324,3041683,2404217,48
325,3497766,800910,11
326,4472132,593309,1272
327,2634508,4247346,141
328,1389619,2878362,4
329,4340194,2322663,384
330,2602154,1025339,9
331,1403344,937234,335
332,1886723,3571324,7
333,2843784,585327,1
334,1440901,3514834,41
335,2151302,4808211,6
336,2610700,736798,5
337,3589489,65638,601
338,3716377,1305585,2
339,3097604,1624964,67
340,274784,3668306,40
341,2603652,686964,2
342,1294974,1085701,264
343,2037264,3701516,55
344,2795225,4791127,9
345,3122389,475690,9
346,1910873,3734722,39
347,161389,471991,14
348,228846,2147948,35
349,1095970,4364508,1
350,1129376,4673214,47
351,3083253,3252172,184
352,3795380,84920,84
353,4472132,778318,626
354,4027528,2512220,8
355,4509912,3363781,1
356,3606552,3485884,71
357,2071061,217062,78
358,1287168,3017206,817
359,244854,754891,165
360,4085623,4488362,5
361,2985668,2730949,1
362,2434952,1619400,42
363,4014664,3005882,8
364,1132039,1284166,1
365,1063377,1989026,751
366,3114061,257104,883
367,201208,49768,2
368,574695,230446,1446
369,4549398,1689039,573
370,4600134,4499634,70
371,3763337,1257051,69
372,4787393,3465103,95
373,4633577,2946725,15
374,3452192,3745072,1
375,4837314,1405519,58
376,2171358,4639852,57
377,2915107,491852,1
378,2146363,4223666,45
379,4022814,1532516,10
380,384798,2369304,56
381,1335561,3422412,307
382,2766651,1603729,7
383,3912764,1702233,3
384,332358,3630776,1
385,2711792,1908942,82
386,1619329,2751324,33
387,1596963,663653,13
388,4366907,853244,9
389,1140769,4003463,1
390,2471891,1842206,33
391,1488894,804420,254
392,4782388,2617603,36
393,1049492,4577899,826
394,1927555,4809338,78
395,409991,745080,455
396,2868729,209562,1
397,4538062,2135899,404
398,3184961,2906703,598
399,2300464,1086249,421
400,2762481,1802456,53
401,1609286,4400935,13
402,1628863,2632013,15
403,3677360,1782555,61
404,2395078,1206279,11
405,4611286,1052729,5
406,3169284,470204,26
407,1506690,1416529,33
408,3234922,475821,2
409,4302499,130848,1
410,3761317,1365355,8
411,1897195,1341854,12
412,45986,1660284,13
413,455599,1494927,7
414,2136000,4385947,75
415,256201,1294553,2
416,3890448,4722827,103
417,3773245,4653266,19
418,1952272,3325406,1
419,2300246,4158172,19
420,3222384,3507219,794
421,3399075,3779861,88
422,347715,2127258,7
423,4214306,900689,28
424,3266984,1448556,111
425,169650,274950,47
426,1433247,1590857,5
427,2383394,468651,1
428,3063478,3181408,672
429,1097603,4749496,37
430,1343350,744455,25
431,1164411,2817097,13
432,4724928,1007939,31
433,4736417,2641539,8
434,4159820,4407877,3
435,2909856,2422805,1
436,258948,2298981,14
437,2424643,2740141,4637
438,1553616,1197620,27
439,1520254,2538801,11
440,1818698,4664679,5
441,144060,136400,426
442,2020889,646448,241
443,4780388,968851,154
444,2102677,4613883,1
445,2461879,1209604,25
446,160818,709848,1008
447,1401550,3620630,10
448,783709,21662,3
449,150171,286472,144
450,4612494,549485,34
451,3272526,721282,1
452,84726,1404837,10
453,559652,1999091,2
454,2456479,3660550,122
455,131200,4694239,69
456,1403344,3208206,10
457,3929625,2201243,1
458,3622805,4096612,2022
459,3414541,2363399,150
460,1930352,874565,281
461,1563429,1318523,16
462,1182194,4493806,6
463,4225886,3721298,150
464,1408139,127950,593
465,3903025,319044,21
466,2702338,4762679,132
467,4099622,1531876,1
468,1178308,4790146,5
469,3627790,2818164,97
470,3726725,2049715,196
471,1234471,1034122,9
472,2986501,870428,8
473,245651,952688,21
474,1128316,303543,97
475,4679590,378218,32
476,23990,844832,46
477,1501709,1841906,7
478,2339541,4236146,56
479,3813630,3285609,6
480,1648899,2023675,10
481,4451424,3430488,219
482,150985,2023484,2
483,1819250,3710241,8
484,3891364,2949813,392
485,171548,4309706,54
486,2435515,3994740,42
487,898515,3699749,26
488,2018936,2750152,3
489,2805661,2817056,3
490,2888230,1669117,9
491,1136345,695111,2
492,3712498,690084,430
493,2903089,1947006,27
494,4389575,1673289,87
495,2086336,2400247,321
496,4310862,3340476,37
497,1986478,1151263,27
498,19451,4470008,334
499,3653227,4698566,344
500,279288,1397718,6
501,339567,2040968,21
502,4609702,4063523,34
503,1397316,4643173,629
504,1216896,4125905,58
505,1920893,1876085,105
506,3323708,4454175,980
507,3419799,4007276,2532
508,4029708,4659457,28
509,4230074,4486159,29
510,3550092,3419090,38
511,2109677,3530012,1
512,1185400,1106637,21
513,2301264,158731,708
514,3234845,4022241,1
515,1310817,3064489,122
516,2058283,4609415,49
517,3042121,1621224,3
518,1447046,4711948,28
519,587095,3218496,11
520,497106,73827,228
521,3285875,4724464,10
522,4373891,275639,126
523,1348793,4004571,41
524,3198236,1722209,1
525,4860911,2189591,13
526,1349133,3080725,1
527,2047012,94321,116
528,1679775,573826,124
529,3075945,2059985,10
530,4432608,3336698,71
531,3189954,1087324,14
532,500739,1921667,14
533,2845650,4108731,346
534,2642732,1984005,269
535,3303860,2984265,1
536,3866829,554726,13
537,1542018,4606604,62
538,1244565,288635,58
539,552802,3149670,145
540,4146884,1904268,4
541,4196302,4195925,9
542,636521,156930,28
543,834072,4644636,18
544,2145284,2367831,71
545,7868,1438811,32
546,1151012,4595159,172
547,195823,2297290,13
548,3498633,3250912,8
549,1176840,3708871,45
550,3652024,4579537,97
551,4585801,1410032,32
552,965977,757234,207
553,4276,3467832,16
554,1591738,4130514,5
555,3726255,1690853,1381
556,4750778,932921,188
557,1544783,545075,1
558,3728686,2299782,51
559,4134777,3010701,68
560,4737649,317017,123
561,1113383,572050,4
562,4791237,4669469,54
