0,source,sink,in_out_degree_a
1,1328064,3679178,297.16661713889715
2,3408035,3219451,0.16959064277897473
3,1778002,4094712,0.35827338077946275
4,149178,3641949,0.11111110802469146
5,3115958,388986,0.33608247353385057
6,4428000,2754418,0.11680911669818696
7,2501340,2489803,0.05999999880000003
8,3667996,3139729,0.24175823910155783
9,748601,2124082,0.6129032192160945
10,2289353,3922180,0.16562499982747395
11,3283631,3790474,0.3687707628944493
12,579087,4864718,0.2676056300337235
13,916282,4220051,0.22580644432882438
14,3257141,3325131,1.2441860320443485
15,4553290,3791544,0.11510791284095027
16,1548572,204580,0.04402515695581662
17,1482102,4226190,0.3333333296296297
18,4558830,2945485,0.5135135100438276
19,621507,3927116,0.17038539519191603
20,2646810,1020659,0.17948717488494426
21,540885,4357361,0.04580152663014976
22,4384804,1239560,0.3087100327357111
23,3293710,1988104,0.15517241245541025
24,3987555,1690452,8.499995750002125
25,190960,4311061,0.9999990000010001
26,1606939,680335,0.013807189541355621
27,3156079,242071,0.49999997727272827
28,3657101,3790534,0.02238525206782134
29,3528096,3075173,1011.6663294445568
30,3741309,1470927,0.15299334777606796
31,330829,468933,1.1142856824489806
32,1272125,1349133,1.8499999075000044
33,869285,812719,0.12499999687500009
34,1383804,3839572,0.4444444389574761
35,3385377,251847,0.12903225760203493
36,2259534,2438108,0.05681818117252067
37,551818,4531145,1.743055543451003
38,2671829,997866,0.1744966437097428
39,3643728,4187899,1.6666661111112961
40,1719681,4779581,1.4363636102479345
41,3939243,1380921,0.3523035225578543
42,3825120,2809458,0.24999999839743592
43,1055448,1641529,0.20270270215485756
44,4076988,3540532,3.955223851080419
45,3889805,603001,2.2941176200692044
46,1313009,425372,0.05357142833227041
47,1625773,3115471,0.9032258046305931
48,530761,4096612,0.11386138557494364
49,2688609,778318,0.18095237922902496
50,4523333,3071636,1.0416666449652783
51,4143253,4739579,1.3090908852892567
52,161137,4613434,0.15476190384070296
53,2506971,4290833,0.19075144398409571
54,817452,1724530,0.10869564981096413
55,4289980,2290977,0.44444442798353967
56,2635155,4406034,1.499999250000375
57,3700536,1515999,0.049849849819909996
58,4261799,4257590,0.05223880558030742
59,3218203,62113,0.11764705813148789
60,334461,882814,0.1628571427640816
61,743085,3221949,0.7083333038194456
62,3928706,2730086,0.17425742539751005
63,3318237,4790245,0.14501510552112523
