0,source,sink,in_out_degree_b
1,1328064,3679178,0.03315926892084615
2,3408035,3219451,0.4480712159524166
3,1778002,4094712,764000000.0
4,149178,3641949,20000000.0
5,3115958,388986,57000000.0
6,4428000,2754418,1000000.0
7,2501340,2489803,8.775510024989591
8,3667996,3139729,6000000.0
9,748601,2124082,35000000.0
10,2289353,3922180,13000000.0
11,3283631,3790474,190000000.0
12,579087,4864718,1000000.0
13,916282,4220051,3.7999999050000026
14,3257141,3325131,18000000.0
15,4553290,3791544,61000000.0
16,1548572,204580,386000000.0
17,1482102,4226190,0.05763397368168151
18,4558830,2945485,0.18484848428833792
19,621507,3927116,106000000.0
20,2646810,1020659,1000000.0
21,540885,4357361,23000000.0
22,4384804,1239560,178000000.0
23,3293710,1988104,1000000.0
24,3987555,1690452,0.6213592172683571
25,190960,4311061,12000000.0
26,1606939,680335,10000000.0
27,3156079,242071,0.6129032159209159
28,3657101,3790534,32000000.0
29,3528096,3075173,31000000.0
30,3741309,1470927,440000000.0
31,330829,468933,114000000.0
32,1272125,1349133,0.32786884977156683
33,869285,812719,32000000.0
34,1383804,3839572,0.47267759433694645
35,3385377,251847,180000000.0
36,2259534,2438108,1000000.0
37,551818,4531145,41000000.0
38,2671829,997866,3000000.0
39,3643728,4187899,2.9863636227892565
40,1719681,4779581,2000000.0
41,3939243,1380921,0.05271966524990809
42,3825120,2809458,0.00705015582317117
43,1055448,1641529,74000000.0
44,4076988,3540532,22000000.0
45,3889805,603001,16000000.0
46,1313009,425372,8000000.0
47,1625773,3115471,0.15729699025707156
48,530761,4096612,0.0054515454133537205
49,2688609,778318,626000000.0
50,4523333,3071636,32000000.0
51,4143253,4739579,43.999956000044
52,161137,4613434,6000000.0
53,2506971,4290833,1000000.0
54,817452,1724530,7000000.0
55,4289980,2290977,362000000.0
56,2635155,4406034,0.21481481322359397
57,3700536,1515999,79000000.0
58,4261799,4257590,17000000.0
59,3218203,62113,1.0999999780000005
60,334461,882814,86000000.0
61,743085,3221949,1.4705881487889323
62,3928706,2730086,6000000.0
63,3318237,4790245,38000000.0
64,3184222,2203730,0.28522336671744547
65,4274919,458869,8000000.0
66,2031470,2135899,0.12923864359269396
67,1132916,104662,26000000.0
68,2899933,1023717,74000000.0
69,2131627,3204799,33000000.0
70,143220,119228,33000000.0
71,659469,1804528,1000000.0
72,2864777,4338398,0.5874999926562501
73,2752756,3243447,44000000.0
74,4787138,1450031,125000000.0
75,3891364,3883024,7.765765695803913
76,2213689,1400706,19000000.0
77,3723633,4175820,21000000.0
78,4832741,4063856,42000000.0
79,1122,984459,0.08065246937895222
80,510935,4736821,1000000.0
81,4719740,1105301,0.7834394879508296
82,1648097,2880329,0.050730868400059435
83,3144014,2558807,53000000.0
84,3804990,950597,20000000.0
85,3203747,2302064,12000000.0
86,2139167,2437632,10000000.0
87,1359330,2337881,27000000.0
88,4418116,1395863,79000000.0
89,752405,4016274,15000000.0
90,4418154,2578793,0.23229912471575245
91,1244565,4126893,45000000.0
92,3300111,245819,1.3378607787133094
93,3144,2868440,1.7865168438959729
94,4118493,1438067,0.18149999990925
95,2506971,3317934,3.4636871314877813
96,3045222,2984603,0.030185290224709917
97,3213642,1788881,6000000.0
98,1480185,4792640,31000000.0
99,2416271,4443281,41000000.0
100,4180822,4793644,6000000.0
101,521794,4162835,1000000.0
102,264132,441367,50000000.0
103,2559219,3920639,1000000.0
104,3755255,4319703,52000000.0
105,1635500,3921120,8000000.0
106,4820741,3818906,5000000.0
107,1961825,3530075,35000000.0
108,1565517,1184312,3000000.0
109,840219,1143637,5000000.0
110,3201162,4005328,1000000.0
111,1006107,3201058,6000000.0
112,1751017,4861559,6000000.0
113,2126605,2180464,23000000.0
114,3077171,2226572,73000000.0
115,812338,4844871,5000000.0
116,4230186,4137307,3.2164948122010846
117,3532343,2650447,0.012882015498242744
118,1126130,160891,19000000.0
119,451378,3774281,9000000.0
120,453003,376424,0.8888888779149522
121,19451,3111141,17000000.0
122,3638601,1793500,0.32682926669839385
123,1950599,1009060,0.9059561100126767
124,4332042,3257170,4000000.0
125,482013,3579983,67000000.0
126,1943454,3689782,38000000.0
127,4413981,4833817,1000000.0
128,4014047,1136778,6000000.0
129,1561394,1927555,5.499999083333486
130,3586613,1228736,14.427419238488556
131,1984044,4476596,5.009118525808151
132,697564,50158,203000000.0
133,4700329,3283432,176000000.0
134,3362628,20388,0.0063547446615992076
135,3559634,1209622,80000000.0
136,4612494,3281822,22000000.0
137,331274,2249595,0.28865979282247495
138,3290884,3881983,1000000.0
139,2977223,4109291,33000000.0
140,2591437,1789565,1000000.0
141,702335,4751012,41.15384509861936
142,1859993,3188099,2000000.0
143,1443414,1154944,0.8604651096087976
144,4067295,2795881,1.5910364101091417
145,2427217,74682,0.2188449841372493
146,1120411,4477188,1000000.0
147,1954009,1779762,1000000.0
148,2424197,458887,52000000.0
149,3225341,2010664,1000000.0
150,4414997,2582486,2.5132743288693975
151,3313467,3478637,36000000.0
152,640373,4795705,42000000.0
153,547021,366864,6000000.0
154,3739969,4310029,716000000.0
155,1057680,4168027,14000000.0
156,2181364,4586866,0.05951725254950535
157,3511222,1004233,3.2843136932910424
158,2985668,3025121,0.49606299082398164
159,4114236,3761153,3000000.0
160,1273418,2159250,90000000.0
161,654563,4087577,36000000.0
162,4146884,3352404,3000000.0
163,3976159,3009133,4000000.0
164,323965,193093,1000000.0
165,4311722,1753978,99000000.0
166,1818698,3704407,4000000.0
167,2162620,4423930,6000000.0
168,653234,1723138,5000000.0
169,871688,113821,0.22222221869488543
170,3519166,730998,92000000.0
171,696010,3600865,6000000.0
172,3849752,754077,88000000.0
173,352555,4394409,3.7068964878121298
174,4745442,3063778,6000000.0
175,1300583,2871701,1000000.0
176,3220267,2383579,33000000.0
177,4315961,2678379,0.5454545289256204
178,1459605,1989693,9.207316960886379
179,953777,2505146,319000000.0
180,3979764,1776383,1000000.0
181,758145,2560532,3000000.0
182,4529968,3172548,175000000.0
183,813834,2306581,19000000.0
184,268979,15583,22000000.0
185,3360177,190135,6000000.0
186,2878277,2857848,0.7752293542420672
187,1792282,2791079,4000000.0
188,3819528,4613147,73000000.0
189,2609436,4831688,5.596774148413112
190,3000657,1364265,0.2865853656947975
191,4846160,1111515,0.6440677856937663
192,1784444,895856,20000000.0
193,2814406,1916798,2000000.0
194,2112791,3534144,1000000.0
195,3218124,2859615,10000000.0
196,1827920,3076046,514000000.0
197,2557232,1747172,93000000.0
198,4522523,4386169,28.499985750007124
199,4673872,960120,484000000.0
200,2135471,2849755,5000000.0
201,1062590,1247007,477000000.0
202,4556922,2420235,348000000.0
203,1240857,909674,8.333330555556481
204,3989827,3166659,7000000.0
205,220956,2862017,1.2778702141799165
206,41996,3465628,0.17555938027793494
207,201146,3926875,23000000.0
208,3035063,1565469,27.74576224159725
209,1160949,1565469,27.74576224159725
210,3183860,4109816,878000000.0
211,4621317,3713991,5000000.0
212,638873,1844409,69000000.0
213,1876529,1351949,114000000.0
214,4566997,4514481,2000000.0
215,3115786,4347727,5.3818180839669445
216,3503651,2409176,16000000.0
217,3648705,3367608,0.7272726942148775
218,1537715,1341124,56000000.0
219,831453,122016,26000000.0
220,1429183,3247415,2000000.0
221,4579537,3799178,1.1973094116712582
222,169650,1856116,1000000.0
223,960790,3067078,2.1214953072757448
224,3102958,2702637,8000000.0
225,4843952,3889805,2.2941176200692044
226,907892,2320538,24000000.0
227,3332350,2863811,70000000.0
228,4862682,3375317,0.2316715535728107
229,4732222,3013417,31000000.0
230,4742300,4400515,1353000000.0
231,1200055,970441,11000000.0
232,2411192,575372,74000000.0
233,846393,3611163,3000000.0
234,3228963,3740055,2000000.0
235,1651539,559732,2.011965808526554
236,2098473,14202,0.5035460981003639
237,598650,1204624,1.599999680000064
238,4093979,4863182,0.1291913213716062
239,483091,4337184,2.5039369881579767
240,2077025,799040,1000000.0
241,699366,2497380,3000000.0
242,402005,1558394,0.13939393854912766
243,1635607,4058041,105000000.0
244,4789443,124654,10000000.0
245,2597890,3167298,24000000.0
246,2390420,4116301,2000000.0
247,2602854,3609187,27000000.0
248,4709481,4283234,1000000.0
249,1327905,3553485,0.010545999764058138
250,1295223,614768,0.8509433946208615
251,3044382,104806,3000000.0
252,3320731,1853137,8000000.0
253,3265042,2821412,3000000.0
254,3072308,269841,221000000.0
255,1174,683529,18000000.0
256,649203,1467047,10000000.0
257,4764268,1114409,3000000.0
258,4357352,3501099,0.12108337752465036
259,1942858,4502795,40000000.0
260,2502918,2689599,7000000.0
261,4700248,4278467,13000000.0
262,4564989,4451008,0.38503401308158636
263,2001062,1196225,6.857142805585393
264,3280393,1165110,1000000.0
265,1727502,34992,59000000.0
266,4550525,4776193,26000000.0
267,43264,2332893,3.057861631373759
268,1737080,3616458,1.2070707009743904
269,122041,142496,0.31174088942615025
270,2646333,1672636,12000000.0
271,1742701,2970071,0.5925925882030179
272,3293255,833637,9.769230017751537
273,1780606,2262636,0.2727272479338866
274,1345570,2824526,24000000.0
275,2887828,1690852,0.1039742212451183
276,38947,3108211,82000000.0
277,1013242,4077123,33000000.0
278,839043,2692611,7000000.0
279,371635,156875,81000000.0
280,3011952,4720585,0.2922573606409407
281,3638601,2129705,326000000.0
282,3708904,2079990,82000000.0
283,241387,1059358,3.421052451523555
284,40248,1127656,65000000.0
285,987263,2478602,80000000.0
286,1879363,4654996,9000000.0
287,2950460,1294552,101000000.0
288,2695168,3951022,143000000.0
289,3961269,728145,30000000.0
290,3028026,4119951,23000000.0
291,1616100,902731,79000000.0
292,3212185,37950,3000000.0
293,615572,2930986,0.02178215529887638
294,2824613,4085345,2000000.0
295,3014991,821405,10000000.0
296,2080615,2393,0.3349056587976148
297,3675243,622762,4.478260772211723
298,947762,2764726,1000000.0
299,596458,360372,1.4411764282006934
300,785634,4458764,0.9513888822820217
301,3701577,463578,1.1328124911499025
302,1567929,1000,166000000.0
303,1912792,3080932,53000000.0
304,4231030,1132916,0.1372548992695118
305,3026988,2133291,0.7787610550552119
306,2837576,2427238,1000000.0
307,2985401,3587358,53000000.0
308,838983,799253,40000000.0
309,4525307,3762216,0.5900621081362603
310,3651080,1922246,8000000.0
311,667134,1781711,6000000.0
312,2676205,3132930,46000000.0
313,4225721,2019650,0.4087423309748908
314,540450,4629997,48000000.0
315,2483244,3602926,246000000.0
316,1735998,4810297,8000000.0
317,4306167,603449,6000000.0
318,375480,2152962,638000000.0
319,3180301,1013242,0.19811320723567105
320,935185,2126374,2.7974683190193885
321,363438,848620,0.14299437353211236
322,116337,1529538,357000000.0
323,902881,1494526,1.4932249282026424
324,3041683,2404217,48000000.0
325,3497766,800910,11000000.0
326,4472132,593309,1272000000.0
327,2634508,4247346,141000000.0
328,1389619,2878362,4000000.0
329,4340194,2322663,10.666666370370379
330,2602154,1025339,9000000.0
331,1403344,937234,335000000.0
332,1886723,3571324,7000000.0
333,2843784,585327,1000000.0
334,1440901,3514834,0.10761154827398543
335,2151302,4808211,6000000.0
336,2610700,736798,5000000.0
337,3589489,65638,27.318180576446338
338,3716377,1305585,2000000.0
339,3097604,1624964,67000000.0
340,274784,3668306,40000000.0
341,2603652,686964,2000000.0
342,1294974,1085701,264000000.0
343,2037264,3701516,55000000.0
344,2795225,4791127,0.11249999859375003
345,3122389,475690,0.16666666358024698
346,1910873,3734722,39000000.0
347,161389,471991,0.14285714139941694
348,228846,2147948,35000000.0
349,1095970,4364508,1000000.0
350,1129376,4673214,47000000.0
351,3083253,3252172,0.2636103148085812
352,3795380,84920,0.04301075266614913
353,4472132,778318,626000000.0
354,4027528,2512220,8000000.0
355,4509912,3363781,1000000.0
356,3606552,3485884,0.4701986723827903
357,2071061,217062,0.2662116031869911
358,1287168,3017206,0.09246265277360087
359,244854,754891,2.6190475774754356
360,4085623,4488362,5000000.0
361,2985668,2730949,1000000.0
362,2434952,1619400,42000000.0
363,4014664,3005882,8000000.0
364,1132039,1284166,1000000.0
365,1063377,1989026,0.15227088399183478
366,3114061,257104,883000000.0
367,201208,49768,2000000.0
368,574695,230446,0.04081517443714533
369,4549398,1689039,44.076919686390795
370,4600134,4499634,70000000.0
