0,source,sink,summation_neighbours
1,1328064,3679178,5626
2,3408035,3219451,1218
3,1778002,4094712,1564
4,149178,3641949,58
5,3115958,388986,572
6,4428000,2754418,1111
7,2501340,2489803,510
8,3667996,3139729,102
9,748601,2124082,168
10,2289353,3922180,1020
11,3283631,3790474,506
12,579087,4864718,90
13,916282,4220051,220
14,3257141,3325131,172
15,4553290,3791544,207
16,1548572,204580,545
17,1482102,4226190,2090
18,4558830,2945485,528
19,621507,3927116,607
20,2646810,1020659,45
21,540885,4357361,552
22,4384804,1239560,1234
23,3293710,1988104,126
24,3987555,1690452,151
25,190960,4311061,14
26,1606939,680335,12275
27,3156079,242071,85
28,3657101,3790534,15986
29,3528096,3075173,3068
30,3741309,1470927,917
31,330829,468933,188
32,1272125,1349133,180
33,869285,812719,73
34,1383804,3839572,507
35,3385377,251847,465
36,2259534,2438108,91
37,551818,4531145,377
38,2671829,997866,306
39,3643728,4187899,690
40,1719681,4779581,132
41,3939243,1380921,3181
42,3825120,2809458,400641
43,1055448,1641529,488
44,4076988,3540532,673
45,3889805,603001,273
46,1313009,425372,234
47,1625773,3115471,2597
48,530761,4096612,371879
49,2688609,778318,737
50,4523333,3071636,115
51,4143253,4739579,144
52,161137,4613434,180
53,2506971,4290833,182
54,817452,1724530,57
55,4289980,2290977,393
56,2635155,4406034,141
57,3700536,1515999,1744
58,4261799,4257590,151
59,3218203,62113,248
60,334461,882814,1912
61,743085,3221949,53
62,3928706,2730086,543
63,3318237,4790245,705
64,3184222,2203730,808
65,4274919,458869,332
66,2031470,2135899,3440
67,1132916,104662,78
68,2899933,1023717,95
69,2131627,3204799,5749
70,143220,119228,58
71,659469,1804528,80
72,2864777,4338398,521
73,2752756,3243447,349
74,4787138,1450031,212
75,3891364,3883024,1020
76,2213689,1400706,83
77,3723633,4175820,317
78,4832741,4063856,244
79,1122,984459,3312
80,510935,4736821,2498
81,4719740,1105301,455
82,1648097,2880329,1486
83,3144014,2558807,913
84,3804990,950597,411
85,3203747,2302064,24
86,2139167,2437632,198
87,1359330,2337881,1499
88,4418116,1395863,266
89,752405,4016274,201
90,4418154,2578793,1416
91,1244565,4126893,213
92,3300111,245819,1764
93,3144,2868440,659
94,4118493,1438067,2187
95,2506971,3317934,904
96,3045222,2984603,106270
97,3213642,1788881,5373
98,1480185,4792640,1282
99,2416271,4443281,364
100,4180822,4793644,103
101,521794,4162835,271
102,264132,441367,206
103,2559219,3920639,62
104,3755255,4319703,621
105,1635500,3921120,453
106,4820741,3818906,149
107,1961825,3530075,615
108,1565517,1184312,175
109,840219,1143637,1221
110,3201162,4005328,91
111,1006107,3201058,65
112,1751017,4861559,34
113,2126605,2180464,80
114,3077171,2226572,83
115,812338,4844871,98
116,4230186,4137307,508
117,3532343,2650447,29958
118,1126130,160891,1074
119,451378,3774281,26363
120,453003,376424,364
121,19451,3111141,653
122,3638601,1793500,350
123,1950599,1009060,896
124,4332042,3257170,86
