0,_sink,_source,in_degree_a,in_degree_b,in_out_degree_a,in_out_degree_b,out_degree_a,out_degree_b,z1_b_to_a
1,2811227,748396,12,173,0.17647058564013846,0.04889768229256708,68,3538,0
2,1702417,440942,7,283,0.20588234688581333,1.5053191409291535,34,188,0
3,2456239,1445324,93,2,0.09126594691730526,2000000.0,1019,0,0
4,3173632,4528705,81,64,0.11911764688365052,64000000.0,680,0,0
5,3927131,475690,9,242,0.16666666358024698,0.16176470577422145,54,1496,0
6,4155714,871619,56,69,0.04172876300914399,69000000.0,1342,0,0
7,3088232,4492909,117,2605,0.025286362648522503,3.77536231336904,4627,690,0
8,3639154,654545,119,137,0.041405706318230436,0.07271762204208193,2874,1884,0
9,380005,2017826,15,7,0.8333332870370396,7000000.0,18,0,0
10,4289016,970600,204,3,0.3295638120685561,3000000.0,619,0,0
11,4398241,1025903,18,1,0.16822429749323087,1000000.0,107,0,0
12,3165162,49037,212,1,0.21946169749538127,1000000.0,966,0,0
13,3540943,1184100,88,13,0.023243528784140644,13000000.0,3786,0,0
14,3664409,2431787,263,30,0.15654761895443592,30000000.0,1680,0,0
15,4420839,2380958,7,81,0.1707317031528853,81000000.0,41,0,0
16,3025335,2871053,3,54,0.4999999166666805,54000000.0,6,0,0
17,678525,3533123,139,42,0.06953476734890708,42000000.0,1999,0,0
18,762056,1761110,32,13,0.7272727107438021,13000000.0,44,0,0
19,3601552,1306100,19,1,0.4749999881250003,1000000.0,40,0,0
20,2779791,4007453,333,75,3.9642856670918376,75000000.0,84,0,0
21,325697,837136,23,108,0.6052631419667595,108000000.0,38,0,0
22,4276097,1053284,5,46,0.09999999800000003,46000000.0,50,0,0
23,3882701,3660326,4,48,3.999996000004,48000000.0,1,0,0
24,3353876,4794114,7,527,0.17948717488494426,1.7625418001252782,39,299,0
25,379057,3725632,6,13,0.06593406520951578,13000000.0,91,0,0
26,2351301,2005701,3,1,0.053571427614795934,1000000.0,56,0,0
27,3735230,3418483,2,1,0.02439024360499703,1000000.0,82,0,0
28,3248594,2429371,5,362,0.49999995000000497,0.20544835402641973,10,1762,0
29,4194667,2349594,10,99,0.8333332638888947,99000000.0,12,0,0
30,1840022,3683564,69,7,0.3854748581817047,7000000.0,179,0,0
31,3762682,4713292,225,1,10.227272262396717,1000000.0,22,0,0
32,4155389,820951,126,125,0.02274778840535335,0.18712574822286565,5539,668,0
33,2717219,3440116,67,20,0.3641304328036389,20000000.0,184,0,0
34,3735230,1136996,113,1,0.559405937824723,1000000.0,202,0,0
35,3902256,3164595,47,16,2.1363635392562026,16000000.0,22,0,0
36,2153670,2717491,4,14,0.5714284897959301,14000000.0,7,0,0
37,605639,2814017,3,78,0.5999998800000239,78000000.0,5,0,0
38,3262474,3440116,67,182,0.3641304328036389,182000000.0,184,0,0
39,3104940,4096612,2022,1051,0.005451545413353721,0.02467657486265463,370904,42591,0
40,2173151,1114213,194,35,0.08629893234595244,0.384615380388842,2248,91,0
41,2558769,2679215,21,132,0.08366533831209029,3.1428570680272125,251,42,0
42,2662315,850459,904,8,0.23739495792085216,8000000.0,3808,0,0
43,1358385,2429371,5,72,0.49999995000000497,72000000.0,10,0,0
44,1520254,2722351,27,136,0.029189189157633313,0.6570048277439381,925,207,0
45,4219994,492776,8,903,1.3333331111111482,15.842104985226225,6,57,0
46,311498,2259583,732,63,0.01232012118131246,63000000.0,59415,0,0
47,2791241,183960,3,1,0.299999970000003,1000000.0,10,0,0
48,719172,1919947,60,41,0.1421800944498102,41000000.0,422,0,0
49,2294440,3800305,3,557,0.06818181663223144,557000000.0,44,0,0
50,606201,4494681,19,2,0.032758620633174786,2000000.0,580,0,0
51,2449547,311395,35,1,0.5645161199271593,1000000.0,62,0,0
52,297879,3763685,13,3,0.2280701714373654,3000000.0,57,0,0
53,959021,4695321,9,82,0.2571428497959186,82000000.0,35,0,0
54,1886356,1909985,1630,25,0.01822043371318779,25000000.0,89460,0,0
55,2728864,2187451,38,129,1.1176470259515578,129000000.0,34,0,0
56,1817126,1039279,64,31,0.11873840423239627,31000000.0,539,0,0
57,1977385,1362833,26,1,0.3466666620444445,1000000.0,75,0,0
58,4561007,401959,2,100,0.06451612695109267,100000000.0,31,0,0
59,2163256,3647315,32,67,0.24615384426035505,0.297777776454321,130,225,0
60,593017,1629000,63,165,0.0969230767739645,2.8448275371581464,650,58,0
61,90257,2873622,36,123,1.5652173232514206,123000000.0,23,0,0
62,3106848,4866498,235,119,0.1394658752881508,119000000.0,1685,0,0
63,2300708,941692,54,1215,0.6279069694429422,404.99986500004496,86,3,0
64,2905649,2872865,248,1,0.035448827896591074,1000000.0,6996,0,0
65,2136581,988417,16,2,0.05633802797064075,2000000.0,284,0,0
66,2426217,1304820,6,149,0.02830188665895337,149000000.0,212,0,0
67,4818685,4805386,37,2,0.0663082436087666,2000000.0,558,0,0
68,524247,2585063,20,101,0.7142856887755111,101000000.0,28,0,0
69,1735687,3231393,4,9,0.0952380929705216,9000000.0,42,0,0
70,3452067,815236,19,23,0.05507246360848561,23000000.0,345,0,0
71,4188270,4449837,455,161,0.04179680322967143,161000000.0,10886,0,0
72,4101406,1450320,53,40,1.0816326309870892,40000000.0,49,0,0
73,2759898,4225437,110,1,0.10156971366429388,1000000.0,1083,0,0
74,1413055,3980329,4,2294,0.4444443950617339,3.0545938707661864,9,751,0
75,742195,2681125,28,15,0.08235294093425606,15000000.0,340,0,0
76,1508782,3094990,188,6,0.04428739692714077,6000000.0,4245,0,0
77,4515216,453052,5,136,0.1219512165377752,0.08168168163262361,41,1665,0
78,1996375,3251045,73,3,0.12807017521391198,3000000.0,570,0,0
79,307495,1863670,17,26,0.5862068763376939,26000000.0,29,0,0
80,88771,4630411,216,1,0.04981549814349273,1000000.0,4336,0,0
81,1063377,4457096,5,31,0.16666666111111128,0.333333329749104,30,93,0
82,4632479,3656282,54,165,0.08794788259291876,165000000.0,614,0,0
83,4121411,273892,118,551,0.2010221461652093,0.043344870984633035,587,12712,0
84,3198135,3782034,50,1643,0.21645021551320254,30.42592536248286,231,54,0
85,3358359,1299015,1196,240,2.486486481317076,240000000.0,481,0,0
86,972491,2410512,13,1,0.2549019557862362,1000000.0,51,0,0
87,409262,2022904,110,34,1.134020606865767,34000000.0,97,0,0
88,1008064,3200364,955,81,0.07510813998622821,81000000.0,12715,0,0
89,1360090,1792282,19,12,0.07089552212352418,0.09090909022038568,268,132,0
90,2054407,2393127,49,47,1.8846153121301803,47000000.0,26,0,0
91,3762682,1187945,211,1,0.10716099537472776,1000000.0,1969,0,0
92,4597942,1220744,30,237,0.14354066916966188,0.7873754126665269,209,301,0
93,2537385,3380008,9,2,0.05660377322890709,2000000.0,159,0,0
94,4483821,3424526,42,3,0.16030534289959794,3000000.0,262,0,0
95,4278188,1050485,52,33,0.045936395719137456,33000000.0,1132,0,0
96,2988500,3778796,257,4,0.038827617459007764,4000000.0,6619,0,0
97,2846784,4113405,3,81,0.06818181663223144,81000000.0,44,0,0
98,2965375,4205304,53,39,0.2420091313150268,39000000.0,219,0,0
99,1910658,2853045,104,90,0.5073170706960143,90000000.0,205,0,0
100,4314283,4112224,62,801,0.0311714429204769,10.679999857600002,1989,75,0
101,4612494,3446942,229,168,2.6941176153633224,0.5217391288144747,85,322,0
102,3025121,566130,141,189,0.1702898548667997,0.4960629908239816,828,381,0
103,4836932,2835234,555,1,34.687497832031376,1000000.0,16,0,0
104,2591738,3655158,186,33,0.026704953334285,33000000.0,6965,0,0
105,1744811,1949391,36,137,0.1545064371051226,137000000.0,233,0,0
106,4238096,1397316,1458,23,14.87755086859642,23000000.0,98,0,0
107,2082827,1514802,5,2,0.06410256328073638,2000000.0,78,0,0
108,1528823,3210136,12,1,0.10909090809917356,1000000.0,110,0,0
109,460554,4662733,11,31,0.16666666414141418,31000000.0,66,0,0
110,2558769,4855215,30,132,0.3333333296296297,3.1428570680272125,90,42,0
111,2449547,4730476,243,1,0.2715083795849068,1000000.0,895,0,0
112,1540392,1360006,16,89,0.12598425097650195,89000000.0,127,0,0
113,4052222,762479,14,2,0.06796116471863513,2000000.0,206,0,0
114,1592667,3467832,16,2,0.08421052587257619,2000000.0,190,0,0
115,297879,532578,35,3,0.426829263087448,3000000.0,82,0,0
116,82340,1747009,18,1130,0.27272726859504137,1130000000.0,66,0,0
117,4797151,4113405,3,1,0.06818181663223144,1000000.0,44,0,0
118,2949748,3996001,53,1045,0.197026021572394,1045000000.0,269,0,0
119,2287915,3418483,2,25,0.02439024360499703,25000000.0,82,0,0
120,888836,3283833,51,1743,0.03146206043709928,0.10489889262729304,1621,16616,0
121,3292438,4798911,62,215,0.12525252499948986,0.15368120074790478,495,1399,0
122,1068993,3533123,139,1,0.06953476734890708,1000000.0,1999,0,0
123,2270767,4467644,27,107,0.01428571427815571,107000000.0,1890,0,0
124,3173632,2472742,5,64,0.2380952267573701,64000000.0,21,0,0
125,4334486,3925727,15,17,0.03597122293532081,17000000.0,417,0,0
126,3915235,4805386,37,212,0.0663082436087666,212000000.0,558,0,0
127,1429102,1353165,148,132,0.4525993869951089,132000000.0,327,0,0
128,1813537,871160,108,2,0.5966850795763255,2000000.0,181,0,0
129,3482871,4287735,27,129,0.2934782576795842,129000000.0,92,0,0
130,3764731,3892940,6,303,0.07499999906250003,0.028307174885247838,80,10704,0
131,3335540,2720299,38,76,0.34862385001262525,76000000.0,109,0,0
132,2205635,3417564,85,3,0.31598512893685826,3000000.0,269,0,0
133,778021,3317934,620,6,3.4636871314877813,6000000.0,179,0,0
134,1963907,3764155,225,15,0.07345739468708541,15000000.0,3063,0,0
135,3817973,4022436,51,1,0.10944205985098272,1000000.0,466,0,0
136,4593452,4366747,80,23,0.16129032225546305,23000000.0,496,0,0
137,4198583,4689344,163,62,0.08182730919586982,62000000.0,1992,0,0
138,3639154,3286368,37,137,0.11349693216718733,0.07271762204208193,326,1884,0
139,3453522,4137763,9,197,0.0899999991,0.23341232199832665,100,844,0
140,3680201,2934603,46,250,0.2787878770982553,250000000.0,165,0,0
141,762056,4096612,2022,13,0.005451545413353721,13000000.0,370904,0,0
142,3129186,2022832,15,120,0.0892857137542517,0.3157894728531856,168,380,0
143,2574560,2641051,29,172,0.15025906657896854,172000000.0,193,0,0
144,648703,2883988,189,45,0.28124999958147323,45000000.0,672,0,0
145,3335540,3900509,57,76,0.3081081064426589,76000000.0,185,0,0
146,3107755,153480,16,61,0.17021276414667272,61000000.0,94,0,0
147,2924181,1628755,3,169,0.12499999479166687,169000000.0,24,0,0
148,193159,243018,3,2,0.4285713673469475,2000000.0,7,0,0
149,1522214,2607838,26,1,0.17687074709611736,1000000.0,147,0,0
150,971074,3473063,1,305,0.1428571224489825,0.7922077901501097,7,385,0
151,3593013,3418483,2,42,0.02439024360499703,42000000.0,82,0,0
152,1471608,240027,386,1,0.08191850592488996,1000000.0,4712,0,0
153,2449296,785893,103,2,0.09027169141956906,2000000.0,1141,0,0
154,4743804,375041,4,521,0.17391303591682453,0.17897629674373886,23,2911,0
155,1339133,3336834,2,6,0.06666666444444451,6000000.0,30,0,0
156,4796773,3278182,223,15,0.1536871122304017,0.1056338020730014,1451,142,0
157,697201,1314264,239,34,0.15281329913502986,34000000.0,1564,0,0
158,1776000,3151356,39,188,0.11470588201557096,0.08888888884686105,340,2115,0
159,3485270,1789514,3,41,0.07317072992266513,41000000.0,41,0,0
160,1597846,2763391,21,63,0.19626168040876932,63000000.0,107,0,0
161,5113,1287150,23,50,0.12365591331367788,50000000.0,186,0,0
162,2241589,1632938,41,9,0.1314102559890697,9000000.0,312,0,0
163,2457054,4544880,33,5,0.21153846018244574,5000000.0,156,0,0
164,3723065,1452,141,45,0.7747252704685424,45000000.0,182,0,0
165,1067585,4096612,2022,163,0.005451545413353721,163000000.0,370904,0,0
166,3723065,1985096,49,45,0.5505617915667215,45000000.0,89,0,0
167,597760,2337068,137,162,0.08616352195838771,162000000.0,1590,0,0
168,3723250,2560408,11,2,0.09322033819304798,2000000.0,118,0,0
169,3749748,3504235,80,75,0.2605863183694257,2.205882288062286,307,34,0
170,1064883,1474194,34,112,0.6538461412721897,112000000.0,52,0,0
171,4107823,1677331,40,98,0.24844720342579374,98000000.0,161,0,0
172,2976923,69444,17,1,0.4358974247205789,1000000.0,39,0,0
173,1696091,1641756,58,1,0.95081965654394,1000000.0,61,0,0
174,3910839,4471609,10,1,0.042016806546147874,1000000.0,238,0,0
175,301577,2749135,17,73,0.3469387684298211,73000000.0,49,0,0
176,4005729,871160,108,5,0.5966850795763255,5000000.0,181,0,0
177,678525,2795094,20,42,0.34482758026159344,42000000.0,58,0,0
178,1703634,745210,29,33,0.10431654638735056,33000000.0,278,0,0
179,1191204,3142808,178,118,0.0464994775218131,118000000.0,3828,0,0
180,1809556,3622805,9,45,0.08823529325259517,45000000.0,102,0,0
181,1086605,3027281,66,2452,0.4748201404689199,18.861538316449707,139,130,0
182,1677837,4251792,469,41,0.5637019223993968,41000000.0,832,0,0
183,2976923,863325,43,1,0.05341614900196752,1000000.0,805,0,0
184,2942968,2436861,49,3,0.2268518508016118,3000000.0,216,0,0
185,2239775,317792,40,5,0.6557376941682346,5000000.0,61,0,0
186,319752,4278656,22,95,0.24175823910155786,0.14548238875117553,91,653,0
187,4852987,4022436,51,171,0.10944205985098272,171000000.0,466,0,0
188,528928,4849080,340,85,0.027063599456573783,85000000.0,12563,0,0
