0,_sink,_source,in_degree_a,in_degree_b,in_out_degree_a,in_out_degree_b,out_degree_a,out_degree_b,z1_b_to_a
1,1300190,2184483,142,28,0.9930069860628882,1.0769230355029602,83,0,0
2,1452193,3151356,4841,1,0.0063547446615992076,1000000.0,340,0,0
3,193159,1579396,4841,5,0.0063547446615992076,5000000.0,208,0,0
4,2481036,1406432,4841,2,0.0063547446615992076,2000000.0,84,14,0
5,593017,2389638,4841,1,0.0063547446615992076,1000000.0,267,58,0
6,212805,228206,4841,3,0.0063547446615992076,3000000.0,9,297,0
7,879115,1237964,4841,1,0.0063547446615992076,1000000.0,15,0,0
8,1840575,3318124,4841,2,0.0063547446615992076,2000000.0,93,0,0
9,1552625,4522929,4841,1,0.0063547446615992076,1000000.0,422,0,0
10,3781412,3406737,4841,2,0.0063547446615992076,2000000.0,29,0,0
11,3008412,1567983,4841,1,0.0063547446615992076,1000000.0,87,0,0
12,2906415,4370932,4841,1,0.0063547446615992076,1000000.0,94,0,0
13,474307,286240,4841,1,0.0063547446615992076,1000000.0,512,0,0
14,3115614,4796773,4841,1,0.0063547446615992076,1000000.0,142,0,0
15,4354226,2207765,4841,1,0.0063547446615992076,1000000.0,208,1271,0
16,279636,1283384,4841,1,0.0063547446615992076,1000000.0,137,0,0
17,2431466,368544,4841,1,0.0063547446615992076,1000000.0,172,2109,0
18,4512147,3921857,4841,11,0.0063547446615992076,11000000.0,3,0,0
19,3175009,49037,4841,1,0.0063547446615992076,1000000.0,966,0,0
20,1064392,61633,4841,1,0.0063547446615992076,1000000.0,33,0,0
21,654182,1459453,4841,2,0.0063547446615992076,2000000.0,39,0,0
22,2736867,447597,4841,2,0.0063547446615992076,2000000.0,2240,0,0
23,3413796,2121585,4841,1,0.0063547446615992076,1000000.0,34,0,0
24,1131654,933347,4841,4,0.0063547446615992076,4000000.0,8968,0,0
25,488937,3733033,4841,1,0.0063547446615992076,1000000.0,387,0,0
26,2817859,3023014,4841,1,0.0063547446615992076,1000000.0,345,0,0
27,410037,1404783,4841,2,0.0063547446615992076,2000000.0,191,0,0
28,3656408,1886158,4841,1,0.0063547446615992076,1000000.0,48,0,0
29,4579088,3316731,4841,1,0.0063547446615992076,1000000.0,102,481,0
30,1860112,2369031,4841,2,0.0063547446615992076,2000000.0,393,68,0
31,755258,2850334,4841,4,0.0063547446615992076,4000000.0,1602,0,0
32,2879440,4606553,4841,30,0.0063547446615992076,30000000.0,26,0,0
33,2064734,3013323,4841,2,0.0063547446615992076,2000000.0,4425,0,0
34,1190291,1653770,4841,1,0.0063547446615992076,1000000.0,3,0,0
35,202508,4540325,4841,1,0.0063547446615992076,1000000.0,220,0,0
36,4404645,4189431,4841,16,0.0063547446615992076,16000000.0,383,0,0
37,3824559,1590268,4841,2,0.0063547446615992076,2000000.0,10,0,0
38,421433,2717491,4841,2,0.0063547446615992076,2000000.0,7,0,0
39,2156609,71500,4841,2,0.0063547446615992076,2000000.0,43,0,0
40,325927,2422900,4841,1,0.0063547446615992076,1000000.0,84,0,0
41,4194667,784291,4841,1,0.0063547446615992076,1000000.0,460,0,0
42,4207316,3836480,4841,1,0.0063547446615992076,1000000.0,277,0,0
