0,_sink,_source,in_degree_a,in_degree_b,in_out_degree_a,in_out_degree_b,out_degree_a,out_degree_b,z1_b_to_a
1,2828522,4066935,142,28,0.9930069860628882,1.0769230355029602,143,26,0
2,3492899,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
3,4488954,20388,4841,5,0.0063547446615992076,5000000.0,761793,0,0
4,3242265,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
5,4766028,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
6,2326484,20388,4841,3,0.0063547446615992076,3000000.0,761793,0,0
7,2302885,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
8,1473459,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
9,225508,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
10,1425537,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
11,3944848,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
12,4750464,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
13,3341653,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
14,4070850,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
15,2431464,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
16,2695003,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
17,2465215,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
18,4853794,20388,4841,11,0.0063547446615992076,11000000.0,761793,0,0
19,2733370,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
20,4807564,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
21,4360867,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
22,4449564,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
23,4565286,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
24,423727,20388,4841,4,0.0063547446615992076,4000000.0,761793,0,0
25,958787,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
26,2794784,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
27,4271851,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
28,3781148,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
29,395178,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
30,4697814,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
31,3857206,20388,4841,4,0.0063547446615992076,4000000.0,761793,0,0
32,3463919,20388,4841,30,0.0063547446615992076,30000000.0,761793,0,0
33,1798709,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
34,1924325,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
35,4507890,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
36,2695521,20388,4841,16,0.0063547446615992076,16000000.0,761793,0,0
37,2356860,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
38,3073163,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
39,679735,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
40,1711438,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
41,506738,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
42,2503234,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
43,347688,20388,4841,1,0.0063547446615992076,1000000.0,761793,0,0
44,2357977,20388,4841,2,0.0063547446615992076,2000000.0,761793,0,0
