0,source,sink,in_degree_a
1,748396,2811227,12
2,440942,1702417,7
3,1445324,2456239,93
4,4528705,3173632,81
5,475690,3927131,9
6,871619,4155714,56
7,4492909,3088232,117
8,654545,3639154,119
9,2017826,380005,15
10,970600,4289016,204
11,1025903,4398241,18
12,49037,3165162,212
13,1184100,3540943,88
14,2431787,3664409,263
15,2380958,4420839,7
16,2871053,3025335,3
17,3533123,678525,139
18,1761110,762056,32
19,1306100,3601552,19
20,4007453,2779791,333
21,837136,325697,23
22,1053284,4276097,5
23,3660326,3882701,4
24,4794114,3353876,7
25,3725632,379057,6
26,2005701,2351301,3
27,3418483,3735230,2
28,2429371,3248594,5
29,2349594,4194667,10
30,3683564,1840022,69
31,4713292,3762682,225
32,820951,4155389,126
33,3440116,2717219,67
34,1136996,3735230,113
35,3164595,3902256,47
36,2717491,2153670,4
37,2814017,605639,3
38,3440116,3262474,67
39,4096612,3104940,2022
40,1114213,2173151,194
41,2679215,2558769,21
42,850459,2662315,904
43,2429371,1358385,5
44,2722351,1520254,27
45,492776,4219994,8
46,2259583,311498,732
47,183960,2791241,3
48,1919947,719172,60
49,3800305,2294440,3
50,4494681,606201,19
51,311395,2449547,35
52,3763685,297879,13
53,4695321,959021,9
54,1909985,1886356,1630
55,2187451,2728864,38
56,1039279,1817126,64
57,1362833,1977385,26
58,401959,4561007,2
59,3647315,2163256,32
60,1629000,593017,63
61,2873622,90257,36
62,4866498,3106848,235
63,941692,2300708,54
64,2872865,2905649,248
65,988417,2136581,16
66,1304820,2426217,6
67,4805386,4818685,37
68,2585063,524247,20
69,3231393,1735687,4
70,815236,3452067,19
71,4449837,4188270,455
72,1450320,4101406,53
73,4225437,2759898,110
74,3980329,1413055,4
75,2681125,742195,28
76,3094990,1508782,188
77,453052,4515216,5
78,3251045,1996375,73
79,1863670,307495,17
80,4630411,88771,216
81,4457096,1063377,5
82,3656282,4632479,54
83,273892,4121411,118
84,3782034,3198135,50
85,1299015,3358359,1196
86,2410512,972491,13
87,2022904,409262,110
88,3200364,1008064,955
89,1792282,1360090,19
90,2393127,2054407,49
91,1187945,3762682,211
92,1220744,4597942,30
93,3380008,2537385,9
94,3424526,4483821,42
95,1050485,4278188,52
96,3778796,2988500,257
97,4113405,2846784,3
98,4205304,2965375,53
99,2853045,1910658,104
100,4112224,4314283,62
101,3446942,4612494,229
102,566130,3025121,141
103,2835234,4836932,555
104,3655158,2591738,186
105,1949391,1744811,36
106,1397316,4238096,1458
107,1514802,2082827,5
108,3210136,1528823,12
109,4662733,460554,11
110,4855215,2558769,30
111,4730476,2449547,243
112,1360006,1540392,16
113,762479,4052222,14
114,3467832,1592667,16
115,532578,297879,35
116,1747009,82340,18
117,4113405,4797151,3
118,3996001,2949748,53
119,3418483,2287915,2
120,3283833,888836,51
121,4798911,3292438,62
122,3533123,1068993,139
123,4467644,2270767,27
124,2472742,3173632,5
125,3925727,4334486,15
126,4805386,3915235,37
127,1353165,1429102,148
128,871160,1813537,108
129,4287735,3482871,27
130,3892940,3764731,6
131,2720299,3335540,38
132,3417564,2205635,85
133,3317934,778021,620
134,3764155,1963907,225
135,4022436,3817973,51
136,4366747,4593452,80
137,4689344,4198583,163
138,3286368,3639154,37
139,4137763,3453522,9
140,2934603,3680201,46
141,4096612,762056,2022
142,2022832,3129186,15
143,2641051,2574560,29
144,2883988,648703,189
145,3900509,3335540,57
146,153480,3107755,16
147,1628755,2924181,3
148,243018,193159,3
149,2607838,1522214,26
150,3473063,971074,1
151,3418483,3593013,2
152,240027,1471608,386
153,785893,2449296,103
154,375041,4743804,4
155,3336834,1339133,2
156,3278182,4796773,223
157,1314264,697201,239
158,3151356,1776000,39
159,1789514,3485270,3
160,2763391,1597846,21
161,1287150,5113,23
162,1632938,2241589,41
163,4544880,2457054,33
164,1452,3723065,141
165,4096612,1067585,2022
166,1985096,3723065,49
167,2337068,597760,137
168,2560408,3723250,11
169,3504235,3749748,80
170,1474194,1064883,34
171,1677331,4107823,40
172,69444,2976923,17
173,1641756,1696091,58
174,4471609,3910839,10
175,2749135,301577,17
176,871160,4005729,108
177,2795094,678525,20
178,745210,1703634,29
179,3142808,1191204,178
180,3622805,1809556,9
181,3027281,1086605,66
182,4251792,1677837,469
183,863325,2976923,43
184,2436861,2942968,49
185,317792,2239775,40
186,4278656,319752,22
187,4022436,4852987,51
188,4849080,528928,340
189,3374895,3470096,240
190,3743292,1450214,3
191,1068581,2860781,69
192,1392717,64001,68
193,195757,1545613,76
194,470204,90257,26
195,3721646,2988500,77
196,2324352,352759,1418
197,3928545,1421121,46
198,4668030,3894567,1127
199,4467644,3824559,27
200,3318025,3636323,8
201,597807,4337224,49
202,3441024,4114575,2
203,3698761,3025335,53
204,158115,4059533,84
205,3080022,3768226,9
206,623567,453257,92
207,268979,1776000,16
208,317792,4342717,40
209,715543,6364,3
210,1628755,211323,3
211,275804,2292933,11
212,2544398,4355015,245
213,884526,2661301,28
214,2259251,4561588,3
215,914875,555666,20
216,2914124,1852018,1
217,4834181,2947163,8
218,4159232,877100,24
219,3922567,4753457,27
220,420757,466302,25
221,4717616,2277589,48
222,3353466,440093,99
223,4420475,2664795,17
224,1479593,287108,2
225,3113932,3288243,23
226,4814135,3284336,67
227,2675276,4626132,31
228,2866126,3818809,242
229,1230845,3658913,3
230,4355412,4597182,76
231,49037,1977385,212
232,2717491,213917,4
233,3874174,834066,9
234,3494888,4764472,13
235,2408015,246307,20
236,144710,654860,208
237,3863858,3335540,105
238,3136926,1105233,4
239,528340,4515216,1
240,4736009,1133567,2
241,2661137,2157727,931
242,4781379,3686117,21
243,3431400,184085,92
244,987119,2736867,1
245,4348238,1026468,5
246,1799854,3824251,28
247,4452360,3666587,3
248,4326329,77641,15
249,2745910,4607502,2
250,2872865,2965375,248
251,785893,1133567,103
252,1981615,2064734,194
253,1943690,3827835,21
254,1655116,654860,44
255,2019222,352759,2
256,2671870,3538910,4
257,1479088,2238637,4
258,2912801,3779460,4
259,3561479,648703,67
260,1167211,3377747,115
261,194816,243176,7
262,4459514,762869,4
263,4347727,2653845,296
264,2452484,248970,3
265,2027803,460554,74
266,3207225,3703326,162
267,1576591,4094697,562
268,4174076,2976923,25
269,1730546,2633571,29
270,1841790,2431466,4
271,3689215,1014927,31
272,1630993,1370056,3
273,754986,2151517,48
274,3380008,1764317,9
275,604305,3561262,1
276,2175599,1348594,67
277,3711007,3162385,64
278,4720585,3144985,268
279,2853045,3927655,104
280,4338398,2785207,47
281,2651013,2588244,326
282,1632644,1678405,28
283,1602676,4597182,17
284,3248527,1164072,161
285,2472584,2243983,1141
286,1064556,775014,2
287,4855215,4027183,30
288,739365,3273144,8
289,2347696,352855,101
290,2712752,2710045,180
291,4825117,1735123,155
292,908046,316192,248
293,3325878,4612494,46
294,3600628,744460,32
295,987119,542316,1
296,285390,726135,69
297,575651,336189,65
298,811898,2015738,6
299,4121724,4370950,6
300,3763328,1205898,126
301,4026923,1348594,13
302,1548013,4486106,96
303,1119602,4853330,93
304,3027281,2033602,66
305,2921853,1072872,56
306,3238785,2537385,4
307,2511862,3737538,55
308,273892,2221607,118
309,505918,4395510,42
310,2421138,3344354,61
311,4137763,3104940,9
312,1223102,3296285,37
313,2598830,2948384,10
314,2541283,1995073,71
315,1119602,4581556,93
316,3893485,3263590,7
317,1427709,1921136,97
318,662368,1030864,78
319,1530855,237461,41
320,1986630,435747,49
321,3345046,1540392,415
322,475232,4161676,20
323,3401659,4276097,64
324,3925727,1130429,15
325,1092129,2486979,185
326,2730650,76607,6
327,1429554,4331707,2
328,3293844,792812,5
329,4013082,2157328,90
330,811898,3121740,6
331,4809745,2675321,38
332,273715,4571277,18
333,1729215,3781492,755
334,3794842,458466,26
335,453052,1105233,5
336,2038215,679574,45
337,4640383,2815618,567
338,4170044,1253026,2
339,1896939,420656,266
340,18331,273127,16
341,3308965,3403903,12
342,4117461,367410,52
343,1817278,3472626,66
344,3705151,138960,2
345,1299905,3527826,25
346,1419142,4234840,92
347,4487749,213917,147
348,2758155,614747,109
349,127950,1130429,593
350,35548,4758377,26
351,2032980,4597102,24
352,3337108,801878,15
353,712547,4579088,129
354,2519581,3863742,18
355,625451,837222,346
356,3305322,476407,19
357,949172,1552625,1
358,2361218,3640458,172
359,484479,1274808,85
360,153480,1073098,16
361,4031191,2741764,18
362,3371729,4304551,18
363,2434497,837222,31
364,4449837,4268303,455
365,4857001,252017,32
366,1181282,2759898,60
367,4219582,3823314,40
368,2810159,4395944,3
369,3510459,1310839,2
370,2938250,4387818,51
371,2060035,57883,180
372,2814017,82320,3
373,745210,4204052,29
374,2429371,2888042,5
375,2259583,1142702,732
376,3052079,2747148,18
377,619552,610672,58
378,3531100,1465269,12
379,3001815,243176,28
380,4497472,4727122,11
381,4315155,254059,29
382,3207642,2382117,3
383,1268923,3723065,23
384,4117461,1776000,52
385,829732,1582028,15
386,2967237,873318,24
387,3925727,2700195,15
388,4820881,2194526,526
389,733542,679375,1
390,1427709,2829288,97
391,1381293,1092178,181
392,4109862,20388,39
393,811736,1026468,8
394,1129405,3571822,24
395,3236313,1586234,94
396,3150672,605639,8
397,127619,178786,84
398,659769,1310817,71
399,2739333,1755579,44
400,4283855,4166917,157
401,965813,4003532,4
402,4371955,1677060,22
403,1093575,3401173,1
404,2835234,524247,555
405,1287150,1852018,23
406,117178,3103806,59
407,1310018,1131169,114
408,837136,207942,23
409,2058071,4254453,5
410,2671870,2734382,4
411,596337,744460,2
412,2245867,3937192,2
413,144710,2153670,208
414,4263251,2251958,1
415,3216894,6993,3
416,1749305,1096690,227
417,911669,137753,63
418,2933517,807761,35
419,4361726,720538,32
420,3660326,819090,4
421,3491685,3965490,4
422,3443847,3588368,36
423,4542296,3393730,14
424,4007453,3941234,333
425,4325972,64001,2
426,2312268,1096330,6
427,779856,1765411,8
428,995638,380005,5
429,408243,711824,48
430,3531100,2746611,12
431,4066452,242455,186
432,3213568,2037947,12
433,3148813,3552185,154
434,3135278,4016607,73
435,4781379,1937230,21
436,4299096,3144985,49
437,4435111,1202817,31
438,697912,137753,42
439,4135447,4034214,33
440,1226964,410275,23
441,940042,4761195,1
442,1512639,3007594,114
443,1689039,1131169,573
444,3248527,1540392,161
445,71051,1765411,20
446,2431787,3472626,263
447,1898939,4778717,38
448,1498781,3096828,27
449,380525,2426217,6
450,2815706,345813,74
451,133167,4578655,920
452,3647315,4355015,32
453,949172,3009965,1
454,2904717,2533625,23
455,1223354,1008064,347
456,1411730,2913438,87
457,4117461,1604914,52
458,651351,3217561,3
459,3794842,4553620,26
460,475232,3642845,20
461,3014450,751974,26
462,2073638,1838184,18
463,306334,3833101,124
464,2464404,4294640,199
465,1322684,4322508,52
466,785893,290600,103
467,3292676,3593013,4
468,4352101,3308151,21
469,632892,2635867,30
470,3213568,888836,12
471,919613,4003532,57
472,191334,1428975,148
473,3971343,2546813,8
474,1687914,1005459,252
475,1429988,986979,90
476,4548696,1190291,79
477,4858996,838453,38
478,2932022,2770964,25
479,1854613,3056997,28
480,3531100,4354226,12
481,4251792,732416,469
482,3590756,1905523,51
483,1159131,2434223,22
484,1320291,3836704,58
485,4809745,4334486,38
486,752326,4516657,10
487,184687,970834,37
488,922843,2057832,25
489,3579607,3446682,54
490,1406432,1483950,16
491,1360006,1105946,16
492,3854337,3573012,1
493,1917370,4059533,177
494,317792,2262983,40
495,951929,4852987,236
496,4510458,694605,8
497,2872550,1360090,57
498,1336173,4406065,34
499,4819127,4737571,47
500,4540325,4710588,41
501,1567983,1633484,13
502,2641051,2070084,29
503,2393127,598319,49
504,125872,3823314,15
505,1233851,2746365,91
506,617956,2540894,216
507,1262238,2401545,16
508,4590349,4683806,6
509,2172433,1253026,8
510,2231843,796021,3
511,2361673,3051327,19
512,4457096,4516657,5
513,2870198,2811227,68
514,2089379,4771880,25
515,370983,4577899,39
516,3768380,1383958,100
517,2934603,4634127,46
518,4782388,3695276,15
519,3206394,2894167,15
520,2686174,908061,7
521,4021250,4132261,322
522,2907109,2882216,32
523,3236313,20462,94
524,1590268,2239775,9
525,1063789,2374812,3
526,3683564,3061931,69
527,133167,1063377,920
528,938826,1696091,30
529,1086513,2620518,29
530,617956,279636,216
531,4148694,4771880,421
532,4528705,1358385,81
533,680757,615287,15
534,1562061,1068993,1
535,3293844,2627884,5
536,4358480,2002788,1
537,3961269,4864558,33
538,2363814,4149096,228
539,2171894,4553620,21
540,3589315,2905649,223
541,2607301,697201,140
542,820951,1897862,126
543,3687290,1339329,52
544,2835662,2223881,54
545,111970,3128487,278
546,1577581,2265640,8
547,1927607,2887128,120
548,695432,2528294,215
549,3163774,958601,11
550,1813368,3292438,82
551,947762,74323,19
552,1729215,3222831,755
553,765302,2609871,247
554,911200,4215650,169
555,217062,1073098,78
556,2717491,2092295,4
557,2240718,4058550,2
558,4064525,4005729,14
559,833524,3281495,3
560,3494194,3686117,147
561,3717996,1140025,285
562,1412406,891969,3
563,2934603,4483821,46
564,306334,1166818,124
565,4003133,105683,381
566,1836328,598319,19
567,3933860,2337217,5
568,125872,2887963,15
569,2389638,4658228,30
570,629031,2365654,68
571,4583413,819288,13
572,4822389,4597102,247
573,3795465,3918393,20
574,1406432,2403010,16
575,4074945,3273144,25
576,2118551,4061862,7
577,1445324,792812,93
578,3792997,2499401,19
579,3711007,3364546,64
580,4022436,957725,51
581,4865292,1921136,51
582,930131,2442177,12
583,1008703,350886,21
584,2200489,4506897,138
585,4311720,3414182,153
586,3200364,2956791,955
587,2415668,3489034,92
588,1075781,262528,6
589,1567741,401008,11
590,2866126,803481,242
591,19484,4337224,91
592,2641051,2933565,29
593,3705151,327965,2
594,2557232,1218296,568
595,3195688,3731768,3
596,970731,1864273,56
597,1927607,1586234,120
598,908046,1303746,248
599,656728,428189,23
600,2628106,2808644,34
601,370525,3703326,258
602,2200489,2493630,138
603,2157499,639157,69
604,2806721,744460,288
605,3396488,1120745,43
606,2518054,1086605,194
607,2506473,703386,415
608,3120092,4553620,2
609,4088436,1598643,13
610,3385377,3833698,36
611,2569366,319752,59
612,1220744,4626853,30
613,28366,1823430,20
614,1305368,3051327,20
615,4112224,2194526,62
616,375041,824031,4
617,4214037,3789363,28
618,4064525,2948384,14
619,1893341,3642845,167
620,3286368,3306286,37
621,4074945,2785207,25
622,2760117,2585300,271
623,1092129,689821,185
624,4079269,3088232,208
625,1800416,2416078,1
626,125872,2330265,15
627,1695500,1279255,121
628,911669,4522612,63
629,4355412,2472812,76
630,596337,463338,2
631,807609,3308151,103
632,1436505,3195222,8
633,195757,4424787,76
634,3458832,3756910,18
635,2187451,1730211,38
636,2469227,2796817,5
637,3192626,2677010,65
638,2970262,3731768,327
639,1997835,4478927,5
640,470204,421433,26
641,4034922,2248684,54
642,4025298,821686,30
643,3502346,2064734,224
644,4143745,4205082,15
645,2585410,2918923,111
646,4088436,3538910,13
647,2795094,2633571,20
648,2022904,1065417,110
649,4247331,4329139,253
650,3337956,3517094,106
651,3920505,207348,2
652,3352123,837222,591
653,3432616,2707342,29
654,938826,2351112,30
655,408123,594010,105
656,3198433,3056079,46
657,2519581,1772038,18
658,4333506,2262983,11
659,2156930,4840530,4
660,691232,2391386,565
661,1164538,409262,73
662,3473274,1063377,112
663,2758155,3327588,109
664,3345713,4575002,83
665,1092129,3086451,185
666,2666350,4463463,50
667,2939884,4645447,4
668,3968198,676325,67
669,1924479,2442177,69
670,1564470,3867352,29
671,4472299,3175009,81
672,3899173,2627884,6
673,4175026,2493630,143
674,366904,4572486,16
675,54323,4180743,149
676,2135899,4198583,404
677,3928545,1852018,46
678,1427709,3397645,97
679,2315048,714236,8
680,3819586,352759,12
681,3760607,3959120,19
682,3446384,4625087,9
683,765302,2207956,247
684,3392535,4166917,6
685,1167211,4132261,115
686,865410,487639,590
687,4034438,4003532,5
688,2587055,167816,23
689,2231843,325927,3
690,456126,2178305,13
691,4363166,1735123,45
692,2497998,2374812,14
693,3178553,676325,14
694,2739333,2309371,44
695,4096612,3284336,2022
696,4610268,3540943,4
697,4624816,433745,20
698,552690,3812818,61
699,922843,3113681,25
700,2695091,1492115,7
701,3151576,1086605,51
702,28366,2746365,20
703,1787403,717384,146
704,1927607,2866511,120
705,2832099,520390,9
706,2695621,336189,656
707,4298943,4645447,71
708,1322684,2264881,52
709,3396488,965340,43
710,2452484,4812681,3
711,4280660,2502590,12
712,3146672,720538,6
713,3502346,4155389,224
714,594370,2634700,4
715,941692,982493,54
716,2259251,421433,3
717,3498717,4060090,5
718,713973,299257,5
719,559972,1897862,55
720,1034420,3882590,12
721,2525590,1131654,49
722,4177865,3610552,47
723,2038215,2051732,45
724,268995,3413796,23
725,67800,4288798,173
726,4699529,1974361,588
727,281045,57883,27
728,1958906,1140025,72
729,2844371,1513515,128
730,1318170,3392930,14
731,2873622,4586599,36
732,2606444,816913,123
733,3589315,4673981,223
734,2346396,1354897,10
735,3093160,2558769,9
736,651837,4517152,24
737,4031191,2238637,18
738,4284282,3344354,368
739,3464435,1765722,164
740,886710,1934540,9
741,2970262,977565,327
742,2858107,2442177,204
743,1275299,1102206,77
744,2831459,3824501,197
745,3144674,2303097,32
746,3473703,2264701,2
747,1459453,4116046,30
748,4809745,1694355,38
749,2093176,1229401,11
750,680757,685095,15
751,3473063,1133567,1
752,1955823,1666556,250
753,2126605,3378736,9
754,2474997,452890,12
755,4325261,3808878,51
756,2368011,3779626,241
757,1893341,2048276,167
758,1588061,349769,45
759,2200735,2959134,12
760,2141424,349769,94
761,475690,77641,9
762,541055,1103581,86
763,4855215,4727122,30
764,3725239,3188162,95
765,4791237,732151,86
766,3541658,4180743,316
767,702070,594102,12
768,155341,4863728,39
769,886710,2299269,9
770,259091,2214631,113
771,1167211,3162385,115
772,3089513,3824301,537
773,2472584,3527826,1141
774,2557232,909677,568
775,2633605,3561262,27
776,4147354,4561588,36
777,4538043,2307183,34
778,878959,817365,7
779,4819083,4188938,129
780,775328,3413796,30
781,3854337,819288,1
782,554768,1054633,284
783,2560408,3927655,11
784,4054509,3795595,57
785,3067879,762511,15
786,2019222,209191,2
787,2494024,4569835,1
788,1807180,4820082,143
789,132853,4625087,376
790,2535495,1450214,166
791,2671870,4345793,4
792,4608977,3893892,5
793,1587881,1558128,21
794,67665,4486106,34
795,1635607,1633484,43
796,2019781,3275980,2
797,218953,4204052,7
798,625451,2177982,346
799,4459514,2884416,4
800,1498781,2986095,27
801,2904717,3728341,23
802,3749748,2472812,75
803,2569366,2883450,59
804,3592571,2153670,5
805,4358141,4188416,9
806,4576342,303517,50
807,4054509,2795159,57
808,3473703,3341056,2
809,4655993,3739100,13
810,2831459,95673,197
811,2678495,4135197,3
812,3567284,1957800,31
813,1676054,3007594,20
814,3718908,2125683,111
815,2761066,2701313,5
816,2753362,13060,55
817,1637898,3795525,14
818,1305368,2434223,20
819,2585063,2976923,20
820,3600628,2633571,32
821,3560845,824046,1
822,1479088,54381,4
823,2305619,4675165,56
824,1974922,1312177,795
825,3772598,1378011,72
826,2866126,1561146,242
827,908090,4861584,41
828,404943,4743804,73
829,4117461,350886,52
830,3474714,2555403,59
831,3764504,1077087,13
832,4333506,4483821,11
833,756454,4632479,17
834,1810899,3292438,21
835,491128,3967571,204
836,2895068,1190849,66
837,3318630,2981668,159
838,4358141,2981668,9
839,908046,996371,248
840,3431400,74323,92
841,4345638,971074,55
842,1157430,4255166,35
843,680757,1702417,15
844,1712592,2900535,289
845,3730580,262528,1
846,2911256,762511,22
847,2299390,4626853,11
848,1075781,2530095,6
849,765302,1729215,247
850,4675165,20462,8
851,2932339,1552898,15
852,3325878,4519597,46
853,2975625,1663756,104
854,4088436,3793469,13
855,1054015,2031809,40
856,484479,3086451,85
857,2598830,1374657,10
858,3345713,2401150,83
859,3257910,1487302,2
860,3925727,2832683,15
861,2870198,4419310,68
862,3337956,534121,106
863,3930883,2784159,82
864,2730409,4188270,89
865,4572867,4467748,7
866,3550092,733605,330
867,1601288,2379122,22
868,2237222,273881,291
869,3424526,1194784,42
870,4766814,966537,161
871,279329,4208140,46
872,4384646,4671494,11
873,4794114,4177994,7
874,1419142,3959120,92
875,1306100,3397645,19
876,2606468,1246259,38
877,3749748,2717219,75
878,395117,2116501,99
879,155341,1332575,39
880,3863858,2652623,105
881,4223007,4052222,185
882,4722544,4829418,10
883,2536161,378843,165
884,3644646,2163256,9
885,1233851,211323,91
886,11382,720538,104
887,4109446,2008925,7
888,3210823,815993,1
889,1841790,1142141,4
890,3100893,2403010,11
891,2474997,4710588,12
892,4358141,1852018,9
893,871160,4448254,108
894,1632116,2882100,5
895,702865,325891,62
896,3019958,3680201,86
897,2338838,2153670,31
898,2290322,3199855,100
899,2640387,1840412,57
900,3318025,4192365,8
901,2760117,3198135,271
902,2653433,1757836,9
903,4284282,4760153,368
904,1486685,679375,411
905,4280660,3552185,12
906,4623321,4421587,85
907,1223102,2118739,37
908,2730409,981592,89
909,550624,1432601,125
910,67800,352855,173
911,4247587,2125683,132
912,3502346,601790,224
913,3257910,3727886,2
914,1903802,2760565,118
915,2175599,2728864,67
916,4105847,2151625,102
917,3464435,4008655,164
918,3656099,1337977,21
919,606562,4575002,126
920,691232,4597942,565
921,1427709,4513294,97
922,3046801,433609,330
923,2152778,505563,74
924,4779430,3512945,5
925,4787400,1258166,82
926,833524,3912526,3
927,2380958,2277157,7
928,1807180,2887128,143
929,854025,1508782,85
930,1994441,4345793,37
931,309574,3513910,373
932,886710,1995601,9
933,3431400,708203,92
934,762479,1374657,14
935,1423553,3410823,1
936,4059232,4517152,327
937,4747431,3256959,53
938,2767192,282738,27
939,4283855,1772038,157
940,1285894,3510148,71
941,1501709,3973930,7
942,3592571,1770441,5
943,660741,2037535,5
944,630604,4771880,40
945,2361218,4198583,172
946,54323,732151,149
947,3259802,647017,38
948,4259589,226721,214
949,475232,3872415,20
950,1586232,3653797,21
951,1377969,4155389,5
952,908090,1508782,41
953,1452,4053811,141
954,286240,4761195,50
955,1455727,3671414,141
956,1221273,478112,57
957,3144674,4395778,32
958,4655993,4188270,13
959,4798911,4840530,62
960,2760117,3640654,271
961,2665930,1897862,12
962,861461,2933565,92
963,135756,724868,10
964,1710577,4586599,649
965,3492319,3789363,19
966,3959449,852669,1
967,3001815,101762,28
968,1139129,1306207,40
969,3905250,3288243,136
970,1499536,2887128,31
971,812338,2900535,14
972,1148355,211323,198
973,3598083,3888365,57
974,3725632,2157328,6
975,3881924,380005,24
976,3291892,1237846,492
977,3383620,3610611,4
978,2447113,82340,2
979,4147354,3299579,36
980,3598083,4582461,57
981,3029390,146049,1
982,1630356,4651979,29
983,4582850,1407969,87
984,1221273,1974361,57
