0,source,sink,in_degree_b
1,748396,2811227,173
2,440942,1702417,283
3,1445324,2456239,2
4,4528705,3173632,64
5,475690,3927131,242
6,871619,4155714,69
7,4492909,3088232,2605
8,654545,3639154,137
9,2017826,380005,7
10,970600,4289016,3
11,1025903,4398241,1
12,49037,3165162,1
13,1184100,3540943,13
14,2431787,3664409,30
15,2380958,4420839,81
16,2871053,3025335,54
17,3533123,678525,42
18,1761110,762056,13
19,1306100,3601552,1
20,4007453,2779791,75
21,837136,325697,108
22,1053284,4276097,46
23,3660326,3882701,48
24,4794114,3353876,527
25,3725632,379057,13
26,2005701,2351301,1
27,3418483,3735230,1
28,2429371,3248594,362
29,2349594,4194667,99
30,3683564,1840022,7
31,4713292,3762682,1
32,820951,4155389,125
33,3440116,2717219,20
34,1136996,3735230,1
35,3164595,3902256,16
36,2717491,2153670,14
37,2814017,605639,78
38,3440116,3262474,182
39,4096612,3104940,1051
40,1114213,2173151,35
41,2679215,2558769,132
42,850459,2662315,8
43,2429371,1358385,72
44,2722351,1520254,136
45,492776,4219994,903
46,2259583,311498,63
47,183960,2791241,1
48,1919947,719172,41
49,3800305,2294440,557
50,4494681,606201,2
51,311395,2449547,1
52,3763685,297879,3
53,4695321,959021,82
54,1909985,1886356,25
55,2187451,2728864,129
56,1039279,1817126,31
57,1362833,1977385,1
58,401959,4561007,100
59,3647315,2163256,67
60,1629000,593017,165
61,2873622,90257,123
62,4866498,3106848,119
63,941692,2300708,1215
64,2872865,2905649,1
65,988417,2136581,2
66,1304820,2426217,149
67,4805386,4818685,2
68,2585063,524247,101
69,3231393,1735687,9
70,815236,3452067,23
71,4449837,4188270,161
72,1450320,4101406,40
73,4225437,2759898,1
74,3980329,1413055,2294
75,2681125,742195,15
76,3094990,1508782,6
77,453052,4515216,136
78,3251045,1996375,3
79,1863670,307495,26
80,4630411,88771,1
81,4457096,1063377,31
82,3656282,4632479,165
83,273892,4121411,551
84,3782034,3198135,1643
85,1299015,3358359,240
86,2410512,972491,1
87,2022904,409262,34
88,3200364,1008064,81
89,1792282,1360090,12
90,2393127,2054407,47
91,1187945,3762682,1
92,1220744,4597942,237
93,3380008,2537385,2
94,3424526,4483821,3
95,1050485,4278188,33
96,3778796,2988500,4
97,4113405,2846784,81
98,4205304,2965375,39
99,2853045,1910658,90
100,4112224,4314283,801
101,3446942,4612494,168
102,566130,3025121,189
103,2835234,4836932,1
104,3655158,2591738,33
105,1949391,1744811,137
106,1397316,4238096,23
107,1514802,2082827,2
108,3210136,1528823,1
109,4662733,460554,31
110,4855215,2558769,132
111,4730476,2449547,1
112,1360006,1540392,89
113,762479,4052222,2
114,3467832,1592667,2
115,532578,297879,3
116,1747009,82340,1130
117,4113405,4797151,1
118,3996001,2949748,1045
119,3418483,2287915,25
120,3283833,888836,1743
121,4798911,3292438,215
122,3533123,1068993,1
123,4467644,2270767,107
124,2472742,3173632,64
125,3925727,4334486,17
126,4805386,3915235,212
127,1353165,1429102,132
128,871160,1813537,2
129,4287735,3482871,129
130,3892940,3764731,303
131,2720299,3335540,76
132,3417564,2205635,3
133,3317934,778021,6
134,3764155,1963907,15
135,4022436,3817973,1
136,4366747,4593452,23
137,4689344,4198583,62
138,3286368,3639154,137
139,4137763,3453522,197
140,2934603,3680201,250
141,4096612,762056,13
142,2022832,3129186,120
143,2641051,2574560,172
144,2883988,648703,45
145,3900509,3335540,76
146,153480,3107755,61
147,1628755,2924181,169
148,243018,193159,2
149,2607838,1522214,1
150,3473063,971074,305
151,3418483,3593013,42
152,240027,1471608,1
153,785893,2449296,2
154,375041,4743804,521
155,3336834,1339133,6
156,3278182,4796773,15
157,1314264,697201,34
158,3151356,1776000,188
159,1789514,3485270,41
160,2763391,1597846,63
161,1287150,5113,50
162,1632938,2241589,9
163,4544880,2457054,5
164,1452,3723065,45
165,4096612,1067585,163
166,1985096,3723065,45
167,2337068,597760,162
168,2560408,3723250,2
169,3504235,3749748,75
170,1474194,1064883,112
171,1677331,4107823,98
172,69444,2976923,1
173,1641756,1696091,1
174,4471609,3910839,1
175,2749135,301577,73
176,871160,4005729,5
177,2795094,678525,42
178,745210,1703634,33
179,3142808,1191204,118
180,3622805,1809556,45
181,3027281,1086605,2452
182,4251792,1677837,41
183,863325,2976923,1
184,2436861,2942968,3
185,317792,2239775,5
186,4278656,319752,95
187,4022436,4852987,171
188,4849080,528928,85
189,3374895,3470096,2
190,3743292,1450214,48
191,1068581,2860781,164
192,1392717,64001,19
193,195757,1545613,1
194,470204,90257,123
195,3721646,2988500,4
196,2324352,352759,4
197,3928545,1421121,1
198,4668030,3894567,88
199,4467644,3824559,4
200,3318025,3636323,3
201,597807,4337224,2
202,3441024,4114575,16
203,3698761,3025335,54
204,158115,4059533,54
205,3080022,3768226,1
206,623567,453257,235
207,268979,1776000,188
208,317792,4342717,508
209,715543,6364,44
210,1628755,211323,9
211,275804,2292933,2
212,2544398,4355015,17
213,884526,2661301,378
214,2259251,4561588,10
215,914875,555666,100
216,2914124,1852018,14
217,4834181,2947163,2
218,4159232,877100,1
219,3922567,4753457,118
220,420757,466302,47
221,4717616,2277589,7
222,3353466,440093,7
223,4420475,2664795,2
224,1479593,287108,138
225,3113932,3288243,61
226,4814135,3284336,1
227,2675276,4626132,16
228,2866126,3818809,33
229,1230845,3658913,26
230,4355412,4597182,52
231,49037,1977385,1
232,2717491,213917,12
233,3874174,834066,2
234,3494888,4764472,39
235,2408015,246307,36
236,144710,654860,29
237,3863858,3335540,76
238,3136926,1105233,292
239,528340,4515216,136
240,4736009,1133567,81
241,2661137,2157727,1
242,4781379,3686117,29
243,3431400,184085,21
244,987119,2736867,4
245,4348238,1026468,89
246,1799854,3824251,83
247,4452360,3666587,47
248,4326329,77641,688
249,2745910,4607502,96
250,2872865,2965375,39
251,785893,1133567,81
252,1981615,2064734,179
253,1943690,3827835,99
254,1655116,654860,29
255,2019222,352759,4
256,2671870,3538910,2
257,1479088,2238637,54
258,2912801,3779460,330
259,3561479,648703,45
260,1167211,3377747,87
261,194816,243176,13
262,4459514,762869,5
263,4347727,2653845,33
264,2452484,248970,6
265,2027803,460554,31
266,3207225,3703326,52
267,1576591,4094697,234
268,4174076,2976923,1
269,1730546,2633571,649
270,1841790,2431466,49
271,3689215,1014927,25
272,1630993,1370056,2
273,754986,2151517,135
274,3380008,1764317,53
275,604305,3561262,176
276,2175599,1348594,48
277,3711007,3162385,104
278,4720585,3144985,167
279,2853045,3927655,2
280,4338398,2785207,77
281,2651013,2588244,35
282,1632644,1678405,120
283,1602676,4597182,52
284,3248527,1164072,5
285,2472584,2243983,58
286,1064556,775014,212
287,4855215,4027183,14
288,739365,3273144,1253
289,2347696,352855,83
290,2712752,2710045,18
