0,source,sink,in_out_degree_b
1,748396,2811227,0.04889768229256708
2,440942,1702417,1.5053191409291535
3,1445324,2456239,2000000.0
4,4528705,3173632,64000000.0
5,475690,3927131,0.16176470577422145
6,871619,4155714,69000000.0
7,4492909,3088232,3.77536231336904
8,654545,3639154,0.07271762204208193
9,2017826,380005,7000000.0
10,970600,4289016,3000000.0
11,1025903,4398241,1000000.0
12,49037,3165162,1000000.0
13,1184100,3540943,13000000.0
14,2431787,3664409,30000000.0
15,2380958,4420839,81000000.0
16,2871053,3025335,54000000.0
17,3533123,678525,42000000.0
18,1761110,762056,13000000.0
19,1306100,3601552,1000000.0
20,4007453,2779791,75000000.0
21,837136,325697,108000000.0
22,1053284,4276097,46000000.0
23,3660326,3882701,48000000.0
24,4794114,3353876,1.7625418001252782
25,3725632,379057,13000000.0
26,2005701,2351301,1000000.0
27,3418483,3735230,1000000.0
28,2429371,3248594,0.20544835402641975
29,2349594,4194667,99000000.0
30,3683564,1840022,7000000.0
31,4713292,3762682,1000000.0
32,820951,4155389,0.18712574822286565
33,3440116,2717219,20000000.0
34,1136996,3735230,1000000.0
35,3164595,3902256,16000000.0
36,2717491,2153670,14000000.0
37,2814017,605639,78000000.0
38,3440116,3262474,182000000.0
39,4096612,3104940,0.02467657486265463
40,1114213,2173151,0.38461538038884197
41,2679215,2558769,3.142857068027213
42,850459,2662315,8000000.0
43,2429371,1358385,72000000.0
44,2722351,1520254,0.6570048277439381
45,492776,4219994,15.842104985226229
46,2259583,311498,63000000.0
47,183960,2791241,1000000.0
48,1919947,719172,41000000.0
49,3800305,2294440,557000000.0
50,4494681,606201,2000000.0
51,311395,2449547,1000000.0
52,3763685,297879,3000000.0
53,4695321,959021,82000000.0
54,1909985,1886356,25000000.0
55,2187451,2728864,129000000.0
56,1039279,1817126,31000000.0
57,1362833,1977385,1000000.0
58,401959,4561007,100000000.0
59,3647315,2163256,0.297777776454321
60,1629000,593017,2.844827537158146
61,2873622,90257,123000000.0
62,4866498,3106848,119000000.0
63,941692,2300708,404.99986500004496
64,2872865,2905649,1000000.0
65,988417,2136581,2000000.0
66,1304820,2426217,149000000.0
67,4805386,4818685,2000000.0
68,2585063,524247,101000000.0
69,3231393,1735687,9000000.0
70,815236,3452067,23000000.0
71,4449837,4188270,161000000.0
72,1450320,4101406,40000000.0
73,4225437,2759898,1000000.0
74,3980329,1413055,3.0545938707661864
75,2681125,742195,15000000.0
76,3094990,1508782,6000000.0
77,453052,4515216,0.08168168163262361
78,3251045,1996375,3000000.0
79,1863670,307495,26000000.0
80,4630411,88771,1000000.0
81,4457096,1063377,0.333333329749104
82,3656282,4632479,165000000.0
83,273892,4121411,0.043344870984633035
84,3782034,3198135,30.425925362482865
85,1299015,3358359,240000000.0
86,2410512,972491,1000000.0
87,2022904,409262,34000000.0
88,3200364,1008064,81000000.0
89,1792282,1360090,0.09090909022038568
90,2393127,2054407,47000000.0
91,1187945,3762682,1000000.0
92,1220744,4597942,0.7873754126665269
93,3380008,2537385,2000000.0
94,3424526,4483821,3000000.0
95,1050485,4278188,33000000.0
96,3778796,2988500,4000000.0
97,4113405,2846784,81000000.0
98,4205304,2965375,39000000.0
99,2853045,1910658,90000000.0
100,4112224,4314283,10.679999857600002
101,3446942,4612494,0.5217391288144747
102,566130,3025121,0.49606299082398164
103,2835234,4836932,1000000.0
104,3655158,2591738,33000000.0
105,1949391,1744811,137000000.0
106,1397316,4238096,23000000.0
107,1514802,2082827,2000000.0
108,3210136,1528823,1000000.0
109,4662733,460554,31000000.0
110,4855215,2558769,3.142857068027213
111,4730476,2449547,1000000.0
112,1360006,1540392,89000000.0
113,762479,4052222,2000000.0
114,3467832,1592667,2000000.0
115,532578,297879,3000000.0
116,1747009,82340,1130000000.0
117,4113405,4797151,1000000.0
118,3996001,2949748,1045000000.0
119,3418483,2287915,25000000.0
120,3283833,888836,0.10489889262729303
121,4798911,3292438,0.15368120074790478
122,3533123,1068993,1000000.0
123,4467644,2270767,107000000.0
124,2472742,3173632,64000000.0
125,3925727,4334486,17000000.0
126,4805386,3915235,212000000.0
127,1353165,1429102,132000000.0
128,871160,1813537,2000000.0
129,4287735,3482871,129000000.0
130,3892940,3764731,0.028307174885247834
131,2720299,3335540,76000000.0
132,3417564,2205635,3000000.0
133,3317934,778021,6000000.0
134,3764155,1963907,15000000.0
135,4022436,3817973,1000000.0
136,4366747,4593452,23000000.0
137,4689344,4198583,62000000.0
138,3286368,3639154,0.07271762204208193
139,4137763,3453522,0.23341232199832662
140,2934603,3680201,250000000.0
141,4096612,762056,13000000.0
142,2022832,3129186,0.3157894728531856
143,2641051,2574560,172000000.0
144,2883988,648703,45000000.0
145,3900509,3335540,76000000.0
146,153480,3107755,61000000.0
