0,source,sink,local_path
1,3839905,4733583,0.0
2,1060999,626811,1.0
3,1747649,199110,1.0
4,4674617,290156,0.0
5,3820744,3741348,0.0
6,1570822,4843823,0.0
7,2617378,4643377,0.0
8,1625688,4303258,0.0
9,4286347,1570901,0.0
10,3049573,2094050,0.0
11,3165391,1090842,0.0
12,3860392,2674578,0.0
13,1597503,385131,0.0
14,249135,723512,0.0
15,3913974,1982263,0.0
16,587125,2374776,1.0
17,4175003,4541519,0.0
18,1446949,275596,0.0
19,2152105,415095,0.0
20,1635005,185938,0.0
21,2184077,3624722,0.0
22,452554,4299971,0.0
23,3425137,514323,0.0
24,4221982,2239460,0.0
25,4619967,3096729,1.0
26,2503189,448905,0.0
27,2975605,4862487,0.0
28,177384,3790353,0.0
29,383560,2463738,0.0
30,2733287,2191723,0.0
31,2879555,1555038,0.0
32,2153597,942364,0.0
33,3457386,1124,0.0
34,3756841,979266,1.0
35,4499167,4378530,0.0
36,386123,2845864,0.0
37,30378,1665462,0.0
38,2553639,3955750,0.0
39,3248009,3657735,0.0
40,2767100,2192372,0.0
41,2362335,810745,0.0
42,3144385,138973,0.0
43,2360521,536747,0.0
44,903785,1872019,1.0
45,3569859,2096882,0.0
46,3703614,566168,0.0
47,2390402,865011,0.0
48,3002788,1857223,0.0
49,633880,4507363,0.0
50,627341,209982,0.0
51,4344449,3918951,0.0
52,3584603,727357,0.0
53,3553031,2186234,0.0
54,1103410,3743221,0.0
55,2342654,3260848,0.0
56,2374922,3564073,0.0
57,445823,4088582,0.0
58,1238248,388353,0.0
59,1203907,3970681,0.0
60,3767447,1934262,0.0
61,1336254,3921898,0.0
62,2865485,970351,0.0
63,827106,821782,0.0
64,912669,3020750,0.0
65,2327323,1597157,0.0
66,662436,1844407,0.0
67,4433653,2377230,0.0
68,1229371,3513205,0.0
69,1512376,2961842,0.0
70,4731168,318991,0.0
71,1403352,67875,0.0
72,4390828,3103228,1.0
73,565120,263311,0.0
74,235180,800026,0.0
75,2028779,3369852,0.0
76,3302024,3943303,0.0
77,4417468,3258972,0.0
78,3627569,1843791,0.0
79,2392881,2485562,1.0
80,2634850,4119970,0.0
81,2077431,2808063,0.0
82,1990730,2934010,0.0
83,13838,4850247,0.0
84,3001854,372304,0.0
85,2148223,3903808,0.0
86,1667854,4142478,0.0
87,4243399,1217704,0.0
88,4246968,657994,0.0
89,2046241,3299247,0.0
90,374395,4384959,0.0
91,3207750,2616745,0.0
92,1232852,4185327,0.0
93,3159216,1968975,0.0
94,4473334,3060888,0.0
95,2490327,4276826,0.0
96,1957493,2322834,0.0
97,2068765,1006064,0.0
98,1457408,4778868,0.0
99,2717295,4138826,0.0
100,2824584,1329792,0.0
101,2361845,3135652,0.0
102,2934703,1649737,0.0
103,3122926,2116456,0.0
104,3394055,3827514,0.0
105,2439223,194580,0.0
106,99312,4649987,0.0
107,2971471,4244096,0.0
108,4771214,1906860,0.0
109,2069763,2781871,0.0
110,1073165,528668,0.0
111,4359635,1652261,0.0
112,3305917,3601707,0.0
113,2943793,712689,0.0
114,4075206,2728820,0.0
115,1327242,2617800,0.0
116,3775480,109604,0.0
117,644386,1874293,1.0
118,4700445,2653676,0.0
119,1003652,1995463,0.0
120,4551226,892552,0.0
121,1724236,53743,0.0
122,525693,2265709,0.0
123,3282844,3328584,0.0
124,4153231,3744925,0.0
125,2638717,2921609,0.0
126,1638724,2236845,0.0
127,2120613,3934191,0.0
128,1625671,2483158,0.0
129,3994464,3974406,0.0
130,18108,1737984,0.0
131,3419348,3134261,0.0
132,2819739,2763163,1.0
133,647397,150278,0.0
134,2243230,1204149,0.0
135,3736678,1249248,0.0
136,1472874,4286176,0.0
137,3398728,4456555,0.0
138,1004910,2700965,0.0
139,4565076,3787853,0.0
140,2349798,725456,0.0
141,2933032,956060,0.0
142,4243278,1149731,0.0
143,1930069,4373383,0.0
144,1893857,4812826,0.0
145,1800311,1022608,0.0
146,3870641,3365127,0.0
147,298257,3740215,0.0
148,212703,3454559,0.0
149,3527821,4516222,0.0
150,1835955,880187,0.0
151,2339656,4285936,0.0
152,1086856,3559525,0.0
153,16038,157836,0.0
154,3723431,552930,0.0
155,213882,2099465,0.0
156,1420030,3645091,0.0
157,4660450,1645570,0.0
158,2339843,782522,1.0
159,836875,3714372,1.0
160,2910467,1624105,1.0
161,592494,4694599,0.0
162,3704755,1282498,0.0
163,1854711,2897360,0.0
164,3269196,4167582,0.0
165,1975941,3348836,0.0
166,35116,1719779,0.0
167,2850625,3357698,0.0
168,4141205,702794,0.0
169,5767,2947414,0.0
170,1958313,2396008,1.0
171,3570343,2285389,0.0
172,1308922,2244586,0.0
173,4591433,2117887,0.0
174,4689189,2984768,0.0
175,2670744,912137,0.0
176,3973765,1635788,0.0
177,4418341,3136986,0.0
178,2134668,4447983,0.0
179,3977588,4677698,0.0
180,4192157,1111739,0.0
181,2151206,2035807,0.0
182,2073697,3661892,0.0
183,2068608,396407,0.0
184,1801305,4239086,0.0
185,4738196,591146,0.0
186,2362655,2278202,0.0
187,4140681,2254956,0.0
188,744981,311702,0.0
189,1424791,4194816,0.0
190,645064,3999657,0.0
191,3554067,4734126,0.0
192,2150602,2646748,0.0
193,3951187,4320908,0.0
194,1510869,4704090,0.0
195,3206886,3759979,0.0
196,2305418,3854158,0.0
197,1437019,880726,0.0
198,3978492,3777133,0.0
199,3005265,2745134,0.0
200,2304668,202605,0.0
201,4226298,745085,1.0
202,586638,2141478,1.0
203,3192711,434584,0.0
204,2479228,512604,0.0
205,2180367,2893927,0.0
206,216148,2959213,0.0
207,3864021,2449950,0.0
208,4631275,3707852,0.0
209,811193,123078,0.0
210,2595633,2143075,0.0
211,3464733,120699,0.0
212,1187531,2528409,0.0
213,3021821,2183515,0.0
214,4301759,4512996,0.0
215,1035108,1723019,0.0
216,2471193,3856334,0.0
217,2873917,4115721,0.0
218,1474015,2450687,0.0
219,1463172,4085005,0.0
220,2953582,3060362,0.0
221,4606248,3148251,0.0
222,3968590,695986,0.0
