0,source,sink,out_degree_a
1,748396,2811227,68
2,440942,1702417,34
3,1445324,2456239,1019
4,4528705,3173632,680
5,475690,3927131,54
6,871619,4155714,1342
7,4492909,3088232,4627
8,654545,3639154,2874
9,2017826,380005,18
10,970600,4289016,619
11,1025903,4398241,107
12,49037,3165162,966
13,1184100,3540943,3786
14,2431787,3664409,1680
15,2380958,4420839,41
16,2871053,3025335,6
17,3533123,678525,1999
18,1761110,762056,44
19,1306100,3601552,40
20,4007453,2779791,84
21,837136,325697,38
22,1053284,4276097,50
23,3660326,3882701,1
24,4794114,3353876,39
25,3725632,379057,91
26,2005701,2351301,56
27,3418483,3735230,82
28,2429371,3248594,10
29,2349594,4194667,12
30,3683564,1840022,179
31,4713292,3762682,22
32,820951,4155389,5539
33,3440116,2717219,184
34,1136996,3735230,202
35,3164595,3902256,22
36,2717491,2153670,7
37,2814017,605639,5
38,3440116,3262474,184
39,4096612,3104940,370904
40,1114213,2173151,2248
41,2679215,2558769,251
42,850459,2662315,3808
43,2429371,1358385,10
44,2722351,1520254,925
45,492776,4219994,6
46,2259583,311498,59415
47,183960,2791241,10
48,1919947,719172,422
49,3800305,2294440,44
50,4494681,606201,580
51,311395,2449547,62
52,3763685,297879,57
53,4695321,959021,35
54,1909985,1886356,89460
55,2187451,2728864,34
56,1039279,1817126,539
57,1362833,1977385,75
58,401959,4561007,31
59,3647315,2163256,130
60,1629000,593017,650
61,2873622,90257,23
62,4866498,3106848,1685
63,941692,2300708,86
64,2872865,2905649,6996
65,988417,2136581,284
66,1304820,2426217,212
67,4805386,4818685,558
68,2585063,524247,28
69,3231393,1735687,42
70,815236,3452067,345
71,4449837,4188270,10886
72,1450320,4101406,49
73,4225437,2759898,1083
74,3980329,1413055,9
75,2681125,742195,340
76,3094990,1508782,4245
77,453052,4515216,41
78,3251045,1996375,570
79,1863670,307495,29
80,4630411,88771,4336
81,4457096,1063377,30
82,3656282,4632479,614
83,273892,4121411,587
84,3782034,3198135,231
85,1299015,3358359,481
86,2410512,972491,51
87,2022904,409262,97
88,3200364,1008064,12715
89,1792282,1360090,268
90,2393127,2054407,26
91,1187945,3762682,1969
92,1220744,4597942,209
93,3380008,2537385,159
94,3424526,4483821,262
95,1050485,4278188,1132
96,3778796,2988500,6619
97,4113405,2846784,44
98,4205304,2965375,219
99,2853045,1910658,205
100,4112224,4314283,1989
101,3446942,4612494,85
102,566130,3025121,828
103,2835234,4836932,16
104,3655158,2591738,6965
105,1949391,1744811,233
106,1397316,4238096,98
107,1514802,2082827,78
108,3210136,1528823,110
109,4662733,460554,66
110,4855215,2558769,90
111,4730476,2449547,895
112,1360006,1540392,127
113,762479,4052222,206
114,3467832,1592667,190
115,532578,297879,82
116,1747009,82340,66
117,4113405,4797151,44
118,3996001,2949748,269
119,3418483,2287915,82
120,3283833,888836,1621
121,4798911,3292438,495
122,3533123,1068993,1999
123,4467644,2270767,1890
124,2472742,3173632,21
125,3925727,4334486,417
126,4805386,3915235,558
127,1353165,1429102,327
128,871160,1813537,181
129,4287735,3482871,92
130,3892940,3764731,80
131,2720299,3335540,109
132,3417564,2205635,269
133,3317934,778021,179
134,3764155,1963907,3063
135,4022436,3817973,466
136,4366747,4593452,496
137,4689344,4198583,1992
138,3286368,3639154,326
139,4137763,3453522,100
140,2934603,3680201,165
141,4096612,762056,370904
142,2022832,3129186,168
143,2641051,2574560,193
144,2883988,648703,672
145,3900509,3335540,185
146,153480,3107755,94
147,1628755,2924181,24
148,243018,193159,7
149,2607838,1522214,147
150,3473063,971074,7
151,3418483,3593013,82
152,240027,1471608,4712
153,785893,2449296,1141
154,375041,4743804,23
155,3336834,1339133,30
156,3278182,4796773,1451
157,1314264,697201,1564
158,3151356,1776000,340
159,1789514,3485270,41
160,2763391,1597846,107
161,1287150,5113,186
162,1632938,2241589,312
163,4544880,2457054,156
164,1452,3723065,182
165,4096612,1067585,370904
166,1985096,3723065,89
167,2337068,597760,1590
168,2560408,3723250,118
169,3504235,3749748,307
170,1474194,1064883,52
171,1677331,4107823,161
172,69444,2976923,39
173,1641756,1696091,61
174,4471609,3910839,238
175,2749135,301577,49
176,871160,4005729,181
177,2795094,678525,58
178,745210,1703634,278
179,3142808,1191204,3828
180,3622805,1809556,102
181,3027281,1086605,139
182,4251792,1677837,832
183,863325,2976923,805
184,2436861,2942968,216
185,317792,2239775,61
186,4278656,319752,91
187,4022436,4852987,466
188,4849080,528928,12563
189,3374895,3470096,194
190,3743292,1450214,13
191,1068581,2860781,95
192,1392717,64001,61
193,195757,1545613,2838
194,470204,90257,237
195,3721646,2988500,190
196,2324352,352759,1242
197,3928545,1421121,215
198,4668030,3894567,62979
199,4467644,3824559,1890
200,3318025,3636323,24
201,597807,4337224,94
202,3441024,4114575,30
203,3698761,3025335,95
204,158115,4059533,206
205,3080022,3768226,47
206,623567,453257,649
207,268979,1776000,149
208,317792,4342717,61
209,715543,6364,8
210,1628755,211323,24
211,275804,2292933,71
212,2544398,4355015,8
213,884526,2661301,321
214,2259251,4561588,26
215,914875,555666,116
216,2914124,1852018,22
217,4834181,2947163,5
218,4159232,877100,1999
219,3922567,4753457,116
220,420757,466302,542
221,4717616,2277589,241
222,3353466,440093,43
223,4420475,2664795,58
224,1479593,287108,55
225,3113932,3288243,530
226,4814135,3284336,63
227,2675276,4626132,39
228,2866126,3818809,923
229,1230845,3658913,21
230,4355412,4597182,440
231,49037,1977385,966
232,2717491,213917,7
233,3874174,834066,64
234,3494888,4764472,33
235,2408015,246307,142
236,144710,654860,53149
237,3863858,3335540,1754
238,3136926,1105233,114
239,528340,4515216,6
240,4736009,1133567,35
241,2661137,2157727,29038
242,4781379,3686117,132
243,3431400,184085,1299
244,987119,2736867,37
245,4348238,1026468,18
246,1799854,3824251,63
247,4452360,3666587,46
248,4326329,77641,115
249,2745910,4607502,2
250,2872865,2965375,6996
251,785893,1133567,1141
252,1981615,2064734,19
253,1943690,3827835,80
254,1655116,654860,590
255,2019222,352759,2
256,2671870,3538910,112
257,1479088,2238637,115
258,2912801,3779460,31
259,3561479,648703,292
260,1167211,3377747,25
261,194816,243176,61
262,4459514,762869,198
263,4347727,2653845,55
264,2452484,248970,27
265,2027803,460554,921
266,3207225,3703326,2164
267,1576591,4094697,16546
268,4174076,2976923,472
269,1730546,2633571,114
270,1841790,2431466,247
271,3689215,1014927,298
272,1630993,1370056,31
273,754986,2151517,213
274,3380008,1764317,159
275,604305,3561262,11
276,2175599,1348594,262
277,3711007,3162385,799
278,4720585,3144985,917
279,2853045,3927655,205
280,4338398,2785207,80
281,2651013,2588244,66845
282,1632644,1678405,228
283,1602676,4597182,280
284,3248527,1164072,1960
285,2472584,2243983,214
286,1064556,775014,21
287,4855215,4027183,90
288,739365,3273144,105
289,2347696,352855,253
290,2712752,2710045,1634
291,4825117,1735123,2950
292,908046,316192,579
293,3325878,4612494,116
294,3600628,744460,241
295,987119,542316,37
296,285390,726135,1200
297,575651,336189,50
298,811898,2015738,33
299,4121724,4370950,112
300,3763328,1205898,8212
301,4026923,1348594,71
302,1548013,4486106,121
303,1119602,4853330,1133
304,3027281,2033602,139
305,2921853,1072872,62
306,3238785,2537385,102
307,2511862,3737538,413
308,273892,2221607,587
309,505918,4395510,768
310,2421138,3344354,93
311,4137763,3104940,100
312,1223102,3296285,313
313,2598830,2948384,72
314,2541283,1995073,824
315,1119602,4581556,1133
316,3893485,3263590,36
317,1427709,1921136,828
318,662368,1030864,324
319,1530855,237461,118
320,1986630,435747,786
321,3345046,1540392,10154
322,475232,4161676,57
323,3401659,4276097,1178
324,3925727,1130429,417
325,1092129,2486979,2155
326,2730650,76607,6
327,1429554,4331707,11
328,3293844,792812,34
329,4013082,2157328,316
330,811898,3121740,33
331,4809745,2675321,32
332,273715,4571277,75
333,1729215,3781492,333
334,3794842,458466,52
335,453052,1105233,41
336,2038215,679574,143
337,4640383,2815618,14450
338,4170044,1253026,14
339,1896939,420656,732
340,18331,273127,69
341,3308965,3403903,122
342,4117461,367410,510
343,1817278,3472626,83
344,3705151,138960,26
345,1299905,3527826,73
346,1419142,4234840,3
347,4487749,213917,238
348,2758155,614747,640
349,127950,1130429,7009
350,35548,4758377,52
351,2032980,4597102,128
352,3337108,801878,222
353,712547,4579088,9
354,2519581,3863742,477
355,625451,837222,6702
356,3305322,476407,95
357,949172,1552625,6
358,2361218,3640458,527
359,484479,1274808,1801
360,153480,1073098,94
361,4031191,2741764,125
362,3371729,4304551,982
363,2434497,837222,80
364,4449837,4268303,10886
365,4857001,252017,349
366,1181282,2759898,3420
367,4219582,3823314,131
368,2810159,4395944,68
369,3510459,1310839,5
370,2938250,4387818,161
371,2060035,57883,68
372,2814017,82320,5
373,745210,4204052,278
374,2429371,2888042,10
375,2259583,1142702,59415
376,3052079,2747148,256
377,619552,610672,193
378,3531100,1465269,1176
379,3001815,243176,583
380,4497472,4727122,25
381,4315155,254059,199
382,3207642,2382117,82
383,1268923,3723065,288
384,4117461,1776000,510
385,829732,1582028,70
386,2967237,873318,55
387,3925727,2700195,417
388,4820881,2194526,3381
389,733542,679375,3
390,1427709,2829288,828
391,1381293,1092178,409
392,4109862,20388,66
393,811736,1026468,17
394,1129405,3571822,122
395,3236313,1586234,597
396,3150672,605639,49
397,127619,178786,71
398,659769,1310817,163
399,2739333,1755579,15
400,4283855,4166917,327
401,965813,4003532,28
402,4371955,1677060,110
403,1093575,3401173,16
404,2835234,524247,16
405,1287150,1852018,186
406,117178,3103806,472
407,1310018,1131169,296
408,837136,207942,38
409,2058071,4254453,4
410,2671870,2734382,112
411,596337,744460,65
412,2245867,3937192,17
413,144710,2153670,53149
414,4263251,2251958,95
415,3216894,6993,6
416,1749305,1096690,7820
417,911669,137753,760
418,2933517,807761,427
419,4361726,720538,81
420,3660326,819090,1
421,3491685,3965490,12
422,3443847,3588368,78
423,4542296,3393730,203
424,4007453,3941234,84
425,4325972,64001,32
426,2312268,1096330,28
427,779856,1765411,2
428,995638,380005,85
429,408243,711824,458
430,3531100,2746611,1176
431,4066452,242455,737
432,3213568,2037947,257
433,3148813,3552185,972
434,3135278,4016607,198
435,4781379,1937230,132
436,4299096,3144985,236
437,4435111,1202817,62
438,697912,137753,203
439,4135447,4034214,77
440,1226964,410275,108
441,940042,4761195,5
442,1512639,3007594,646
443,1689039,1131169,13
444,3248527,1540392,1960
445,71051,1765411,118
446,2431787,3472626,1680
447,1898939,4778717,67
448,1498781,3096828,104
449,380525,2426217,87
450,2815706,345813,663
451,133167,4578655,238
452,3647315,4355015,130
453,949172,3009965,6
454,2904717,2533625,1
455,1223354,1008064,3610
456,1411730,2913438,1363
457,4117461,1604914,510
458,651351,3217561,4
459,3794842,4553620,52
460,475232,3642845,57
461,3014450,751974,742
462,2073638,1838184,56
463,306334,3833101,50
464,2464404,4294640,54
465,1322684,4322508,454
466,785893,290600,1141
467,3292676,3593013,66
468,4352101,3308151,458
469,632892,2635867,2001
470,3213568,888836,257
471,919613,4003532,368
472,191334,1428975,914
473,3971343,2546813,46
474,1687914,1005459,3851
475,1429988,986979,731
476,4548696,1190291,285
477,4858996,838453,489
478,2932022,2770964,540
479,1854613,3056997,87
480,3531100,4354226,1176
481,4251792,732416,832
482,3590756,1905523,227
483,1159131,2434223,138
484,1320291,3836704,386
485,4809745,4334486,32
486,752326,4516657,100
487,184687,970834,1520
488,922843,2057832,361
489,3579607,3446682,594
490,1406432,1483950,84
491,1360006,1105946,127
492,3854337,3573012,21
493,1917370,4059533,616
494,317792,2262983,61
495,951929,4852987,134
496,4510458,694605,126
497,2872550,1360090,441
498,1336173,4406065,154
499,4819127,4737571,100
500,4540325,4710588,220
501,1567983,1633484,87
502,2641051,2070084,193
503,2393127,598319,26
504,125872,3823314,96
505,1233851,2746365,185
506,617956,2540894,2404
507,1262238,2401545,379
508,4590349,4683806,51
509,2172433,1253026,68
510,2231843,796021,1
511,2361673,3051327,53
512,4457096,4516657,30
513,2870198,2811227,3569
514,2089379,4771880,99
515,370983,4577899,416
516,3768380,1383958,1132
517,2934603,4634127,165
518,4782388,3695276,26
519,3206394,2894167,174
520,2686174,908061,481
521,4021250,4132261,3765
522,2907109,2882216,184
523,3236313,20462,597
524,1590268,2239775,10
525,1063789,2374812,9
526,3683564,3061931,179
527,133167,1063377,238
528,938826,1696091,418
529,1086513,2620518,123
530,617956,279636,2404
531,4148694,4771880,8079
532,4528705,1358385,680
533,680757,615287,653
534,1562061,1068993,70
535,3293844,2627884,34
536,4358480,2002788,36
537,3961269,4864558,154
538,2363814,4149096,253
539,2171894,4553620,121
540,3589315,2905649,202
541,2607301,697201,2189
542,820951,1897862,5539
543,3687290,1339329,1084
544,2835662,2223881,177
545,111970,3128487,468
546,1577581,2265640,75
547,1927607,2887128,12
548,695432,2528294,1983
549,3163774,958601,621
550,1813368,3292438,212
551,947762,74323,27
552,1729215,3222831,333
553,765302,2609871,1205
554,911200,4215650,728
555,217062,1073098,293
556,2717491,2092295,7
557,2240718,4058550,52
558,4064525,4005729,95
559,833524,3281495,61
560,3494194,3686117,176
561,3717996,1140025,5153
562,1412406,891969,17
563,2934603,4483821,165
564,306334,1166818,50
565,4003133,105683,729
566,1836328,598319,104
567,3933860,2337217,21
568,125872,2887963,96
569,2389638,4658228,267
570,629031,2365654,1
571,4583413,819288,130
572,4822389,4597102,105
573,3795465,3918393,19
574,1406432,2403010,84
575,4074945,3273144,118
576,2118551,4061862,104
577,1445324,792812,1019
578,3792997,2499401,216
579,3711007,3364546,799
580,4022436,957725,466
581,4865292,1921136,122
582,930131,2442177,91
583,1008703,350886,17
584,2200489,4506897,417
585,4311720,3414182,394
586,3200364,2956791,12715
587,2415668,3489034,486
588,1075781,262528,73
589,1567741,401008,25
590,2866126,803481,923
591,19484,4337224,3170
592,2641051,2933565,193
593,3705151,327965,26
594,2557232,1218296,12913
595,3195688,3731768,82
596,970731,1864273,146
597,1927607,1586234,12
598,908046,1303746,579
599,656728,428189,229
600,2628106,2808644,105
601,370525,3703326,2455
602,2200489,2493630,417
603,2157499,639157,430
604,2806721,744460,1440
605,3396488,1120745,587
606,2518054,1086605,1136
607,2506473,703386,6659
608,3120092,4553620,158
609,4088436,1598643,75
610,3385377,3833698,279
611,2569366,319752,725
612,1220744,4626853,209
613,28366,1823430,231
614,1305368,3051327,470
615,4112224,2194526,1989
616,375041,824031,23
617,4214037,3789363,115
618,4064525,2948384,95
619,1893341,3642845,467
620,3286368,3306286,326
621,4074945,2785207,118
622,2760117,2585300,3594
623,1092129,689821,2155
624,4079269,3088232,70
625,1800416,2416078,4
626,125872,2330265,96
627,1695500,1279255,880
628,911669,4522612,760
629,4355412,2472812,440
630,596337,463338,65
631,807609,3308151,296
632,1436505,3195222,296
633,195757,4424787,2838
634,3458832,3756910,19
635,2187451,1730211,34
636,2469227,2796817,42
637,3192626,2677010,721
638,2970262,3731768,3125
639,1997835,4478927,42
640,470204,421433,237
641,4034922,2248684,1
642,4025298,821686,163
643,3502346,2064734,289
644,4143745,4205082,8
645,2585410,2918923,204
646,4088436,3538910,75
647,2795094,2633571,58
648,2022904,1065417,97
649,4247331,4329139,6639
650,3337956,3517094,223
651,3920505,207348,17
652,3352123,837222,7719
653,3432616,2707342,152
654,938826,2351112,418
655,408123,594010,95
656,3198433,3056079,118
657,2519581,1772038,477
658,4333506,2262983,168
659,2156930,4840530,3
660,691232,2391386,25983
661,1164538,409262,1151
662,3473274,1063377,786
663,2758155,3327588,640
664,3345713,4575002,8
665,1092129,3086451,2155
666,2666350,4463463,760
667,2939884,4645447,78
668,3968198,676325,200
669,1924479,2442177,218
670,1564470,3867352,168
671,4472299,3175009,239
672,3899173,2627884,5
673,4175026,2493630,660
674,366904,4572486,98
675,54323,4180743,7
676,2135899,4198583,3126
677,3928545,1852018,215
678,1427709,3397645,828
679,2315048,714236,45
680,3819586,352759,44
681,3760607,3959120,59
682,3446384,4625087,102
683,765302,2207956,1205
684,3392535,4166917,86
685,1167211,4132261,25
686,865410,487639,138
687,4034438,4003532,73
688,2587055,167816,460
689,2231843,325927,1
690,456126,2178305,73
691,4363166,1735123,317
692,2497998,2374812,54
693,3178553,676325,33
694,2739333,2309371,15
695,4096612,3284336,370904
696,4610268,3540943,21
697,4624816,433745,192
698,552690,3812818,770
699,922843,3113681,361
700,2695091,1492115,69
701,3151576,1086605,864
702,28366,2746365,231
703,1787403,717384,286
704,1927607,2866511,12
705,2832099,520390,41
706,2695621,336189,61388
707,4298943,4645447,1175
708,1322684,2264881,454
709,3396488,965340,587
710,2452484,4812681,27
711,4280660,2502590,69
712,3146672,720538,124
713,3502346,4155389,289
714,594370,2634700,59
715,941692,982493,86
716,2259251,421433,26
717,3498717,4060090,7
718,713973,299257,14
719,559972,1897862,569
720,1034420,3882590,62
721,2525590,1131654,122
722,4177865,3610552,353
723,2038215,2051732,143
724,268995,3413796,113
725,67800,4288798,862
726,4699529,1974361,104
727,281045,57883,52
728,1958906,1140025,23
729,2844371,1513515,188
730,1318170,3392930,92
731,2873622,4586599,23
732,2606444,816913,240
733,3589315,4673981,202
734,2346396,1354897,35
735,3093160,2558769,99
736,651837,4517152,73
737,4031191,2238637,125
738,4284282,3344354,1561
739,3464435,1765722,6
740,886710,1934540,44
741,2970262,977565,3125
742,2858107,2442177,1459
743,1275299,1102206,460
744,2831459,3824501,4499
745,3144674,2303097,119
746,3473703,2264701,1
747,1459453,4116046,39
748,4809745,1694355,32
749,2093176,1229401,86
750,680757,685095,653
751,3473063,1133567,7
752,1955823,1666556,10362
753,2126605,3378736,53
754,2474997,452890,135
755,4325261,3808878,174
756,2368011,3779626,1456
757,1893341,2048276,467
758,1588061,349769,128
759,2200735,2959134,37
760,2141424,349769,29
761,475690,77641,54
762,541055,1103581,2420
763,4855215,4727122,90
764,3725239,3188162,864
765,4791237,732151,1795
766,3541658,4180743,216
767,702070,594102,23
768,155341,4863728,1802
769,886710,2299269,44
770,259091,2214631,1696
771,1167211,3162385,25
772,3089513,3824301,1710
773,2472584,3527826,214
774,2557232,909677,12913
775,2633605,3561262,247
776,4147354,4561588,334
777,4538043,2307183,68
778,878959,817365,78
779,4819083,4188938,1011
780,775328,3413796,70
781,3854337,819288,21
782,554768,1054633,197
783,2560408,3927655,118
784,4054509,3795595,178
785,3067879,762511,151
786,2019222,209191,2
787,2494024,4569835,7
788,1807180,4820082,354
789,132853,4625087,3267
790,2535495,1450214,15
791,2671870,4345793,112
792,4608977,3893892,81
793,1587881,1558128,111
794,67665,4486106,184
795,1635607,1633484,476
796,2019781,3275980,20
797,218953,4204052,47
798,625451,2177982,6702
799,4459514,2884416,198
800,1498781,2986095,104
801,2904717,3728341,1
802,3749748,2472812,34
803,2569366,2883450,725
804,3592571,2153670,10
805,4358141,4188416,84
806,4576342,303517,287
807,4054509,2795159,178
808,3473703,3341056,1
809,4655993,3739100,156
810,2831459,95673,4499
811,2678495,4135197,37
812,3567284,1957800,203
813,1676054,3007594,20
814,3718908,2125683,1113
815,2761066,2701313,121
816,2753362,13060,169
817,1637898,3795525,20
818,1305368,2434223,470
819,2585063,2976923,28
820,3600628,2633571,241
821,3560845,824046,15
822,1479088,54381,115
823,2305619,4675165,159
824,1974922,1312177,2
825,3772598,1378011,826
826,2866126,1561146,923
827,908090,4861584,564
828,404943,4743804,1605
829,4117461,350886,510
830,3474714,2555403,773
831,3764504,1077087,89
832,4333506,4483821,168
833,756454,4632479,54
834,1810899,3292438,44
835,491128,3967571,1344
836,2895068,1190849,35
837,3318630,2981668,212
838,4358141,2981668,84
839,908046,996371,579
840,3431400,74323,1299
841,4345638,971074,152
842,1157430,4255166,102
843,680757,1702417,653
844,1712592,2900535,2710
845,3730580,262528,1
846,2911256,762511,79
847,2299390,4626853,32
848,1075781,2530095,73
849,765302,1729215,1205
850,4675165,20462,23
851,2932339,1552898,249
852,3325878,4519597,116
853,2975625,1663756,231
854,4088436,3793469,75
855,1054015,2031809,466
856,484479,3086451,1801
857,2598830,1374657,72
858,3345713,2401150,8
859,3257910,1487302,23
860,3925727,2832683,417
861,2870198,4419310,3569
862,3337956,534121,223
863,3930883,2784159,148
864,2730409,4188270,278
865,4572867,4467748,144
866,3550092,733605,261
867,1601288,2379122,228
868,2237222,273881,24
869,3424526,1194784,262
870,4766814,966537,422
871,279329,4208140,78
872,4384646,4671494,219
873,4794114,4177994,39
874,1419142,3959120,3
875,1306100,3397645,40
876,2606468,1246259,1748
877,3749748,2717219,34
878,395117,2116501,3983
879,155341,1332575,1802
880,3863858,2652623,1754
881,4223007,4052222,2002
882,4722544,4829418,68
883,2536161,378843,1955
884,3644646,2163256,103
885,1233851,211323,185
886,11382,720538,124
887,4109446,2008925,96
888,3210823,815993,8
889,1841790,1142141,247
890,3100893,2403010,187
891,2474997,4710588,135
892,4358141,1852018,84
893,871160,4448254,181
894,1632116,2882100,119
895,702865,325891,48
896,3019958,3680201,33
897,2338838,2153670,91
898,2290322,3199855,1
899,2640387,1840412,263
900,3318025,4192365,24
901,2760117,3198135,3594
902,2653433,1757836,47
903,4284282,4760153,1561
904,1486685,679375,1086
905,4280660,3552185,69
906,4623321,4421587,937
907,1223102,2118739,313
908,2730409,981592,278
909,550624,1432601,211
910,67800,352855,862
911,4247587,2125683,1310
912,3502346,601790,289
913,3257910,3727886,23
914,1903802,2760565,132
915,2175599,2728864,262
916,4105847,2151625,1226
917,3464435,4008655,6
918,3656099,1337977,193
919,606562,4575002,773
920,691232,4597942,25983
921,1427709,4513294,828
922,3046801,433609,1106
923,2152778,505563,3887
924,4779430,3512945,3
925,4787400,1258166,214
926,833524,3912526,61
927,2380958,2277157,41
928,1807180,2887128,354
929,854025,1508782,116
930,1994441,4345793,224
931,309574,3513910,273
932,886710,1995601,44
933,3431400,708203,1299
934,762479,1374657,206
935,1423553,3410823,76
936,4059232,4517152,2851
937,4747431,3256959,22
938,2767192,282738,42
939,4283855,1772038,327
940,1285894,3510148,317
941,1501709,3973930,23
942,3592571,1770441,10
943,660741,2037535,34
944,630604,4771880,136
945,2361218,4198583,527
946,54323,732151,7
947,3259802,647017,474
948,4259589,226721,6975
949,475232,3872415,57
950,1586232,3653797,69
951,1377969,4155389,61
952,908090,1508782,564
953,1452,4053811,182
954,286240,4761195,512
955,1455727,3671414,94
956,1221273,478112,214
957,3144674,4395778,119
958,4655993,4188270,156
959,4798911,4840530,495
960,2760117,3640654,3594
961,2665930,1897862,29
962,861461,2933565,215
963,135756,724868,32
964,1710577,4586599,20708
965,3492319,3789363,202
966,3959449,852669,3
967,3001815,101762,583
968,1139129,1306207,20
969,3905250,3288243,269
970,1499536,2887128,140
971,812338,2900535,90
972,1148355,211323,1943
973,3598083,3888365,1352
974,3725632,2157328,91
975,3881924,380005,171
976,3291892,1237846,2943
977,3383620,3610611,118
978,2447113,82340,35
979,4147354,3299579,334
980,3598083,4582461,1352
981,3029390,146049,1
982,1630356,4651979,229
983,4582850,1407969,273
984,1221273,1974361,214
985,484479,3540943,1801
986,3191384,4856114,628
987,1675257,4005729,22
988,444473,971074,86
989,833087,2769934,99
990,3164595,3162560,22
991,4793374,4008655,15
992,3185337,3815591,269
993,520324,3393730,2369
994,2184483,3217561,83
995,693550,193159,277
996,4392592,819288,284
997,2038215,2103578,143
998,4743153,487236,188
999,2745910,2685390,2
1000,2695091,2766614,69
1001,2707088,807761,244
1002,4743153,101940,188
1003,225697,2124762,128
1004,4809745,3025604,32
1005,1760195,1755579,174
1006,3749748,958601,34
1007,3507863,4343940,1311
1008,1641756,837222,61
1009,2519600,762056,183
1010,349869,4403612,64
1011,3541658,4790649,216
1012,3998824,4579088,314
1013,2839397,2576561,131
1014,2625217,3115614,133
1015,1227156,2462897,48
1016,366904,2976917,98
1017,908090,37400,564
1018,4110767,1582441,128
1019,2347696,1354897,253
1020,2720299,4626853,109
1021,3100893,2363738,187
1022,2018936,4128045,25
1023,3718908,838453,1113
1024,558571,1407969,79
1025,861461,3009562,215
1026,17605,3088232,2
1027,2584054,1840575,194
1028,4623321,723257,937
1029,4788248,1801676,89
1030,2814285,107998,3324
1031,2913818,3626136,47
1032,3369814,3350833,93
1033,2707088,743875,244
1034,19484,2681572,3170
