0,source,sink,summation_neighbours
1,3839905,4733583,6
2,1060999,626811,2
3,1747649,199110,3
4,4674617,290156,11
5,3820744,3741348,4
6,1570822,4843823,2
7,2617378,4643377,2
8,1625688,4303258,2
9,4286347,1570901,5
10,3049573,2094050,2
11,3165391,1090842,22
12,3860392,2674578,4
13,1597503,385131,3
14,249135,723512,2
15,3913974,1982263,3
16,587125,2374776,9
17,4175003,4541519,4
18,1446949,275596,8
19,2152105,415095,2
20,1635005,185938,3
21,2184077,3624722,2
22,452554,4299971,2
23,3425137,514323,2
24,4221982,2239460,2
25,4619967,3096729,5
26,2503189,448905,13
27,2975605,4862487,3
28,177384,3790353,8
29,383560,2463738,2
30,2733287,2191723,3
31,2879555,1555038,4
32,2153597,942364,23
33,3457386,1124,178
34,3756841,979266,3
35,4499167,4378530,2
36,386123,2845864,3
37,30378,1665462,2
38,2553639,3955750,4
39,3248009,3657735,2
40,2767100,2192372,4
41,2362335,810745,4
42,3144385,138973,18
43,2360521,536747,2
44,903785,1872019,8
45,3569859,2096882,3
46,3703614,566168,2
47,2390402,865011,2
48,3002788,1857223,2
49,633880,4507363,3
50,627341,209982,3
51,4344449,3918951,4
52,3584603,727357,51
53,3553031,2186234,99
54,1103410,3743221,17
55,2342654,3260848,10
56,2374922,3564073,2
57,445823,4088582,5
58,1238248,388353,6
59,1203907,3970681,2
60,3767447,1934262,7
61,1336254,3921898,3
62,2865485,970351,17
63,827106,821782,11
64,912669,3020750,34
65,2327323,1597157,3
66,662436,1844407,2
67,4433653,2377230,2
68,1229371,3513205,7
69,1512376,2961842,9
70,4731168,318991,2
71,1403352,67875,2
72,4390828,3103228,11
73,565120,263311,2
74,235180,800026,26
75,2028779,3369852,5
76,3302024,3943303,4
77,4417468,3258972,2
78,3627569,1843791,3
79,2392881,2485562,3
80,2634850,4119970,28
81,2077431,2808063,48
82,1990730,2934010,3
83,13838,4850247,2
84,3001854,372304,2
85,2148223,3903808,7
86,1667854,4142478,3
87,4243399,1217704,2
88,4246968,657994,2
89,2046241,3299247,160
90,374395,4384959,4
91,3207750,2616745,40
92,1232852,4185327,2
93,3159216,1968975,2
94,4473334,3060888,20
95,2490327,4276826,4
96,1957493,2322834,3
97,2068765,1006064,6
98,1457408,4778868,5
99,2717295,4138826,4
100,2824584,1329792,4
101,2361845,3135652,2
102,2934703,1649737,2
103,3122926,2116456,5
104,3394055,3827514,13
105,2439223,194580,7
106,99312,4649987,3
107,2971471,4244096,7
108,4771214,1906860,5
109,2069763,2781871,3
110,1073165,528668,2
111,4359635,1652261,3
112,3305917,3601707,4
113,2943793,712689,2
114,4075206,2728820,2
115,1327242,2617800,18
116,3775480,109604,41
117,644386,1874293,50
118,4700445,2653676,3
119,1003652,1995463,2
120,4551226,892552,10
121,1724236,53743,3
122,525693,2265709,3
123,3282844,3328584,5
124,4153231,3744925,15
125,2638717,2921609,4
126,1638724,2236845,3
127,2120613,3934191,3
128,1625671,2483158,2
129,3994464,3974406,2
130,18108,1737984,3
131,3419348,3134261,9
132,2819739,2763163,2
133,647397,150278,2
134,2243230,1204149,4
135,3736678,1249248,3
136,1472874,4286176,4
137,3398728,4456555,4
138,1004910,2700965,4
139,4565076,3787853,4
140,2349798,725456,2
141,2933032,956060,2
142,4243278,1149731,22
143,1930069,4373383,2
144,1893857,4812826,2
145,1800311,1022608,2
146,3870641,3365127,2
147,298257,3740215,36
148,212703,3454559,5
149,3527821,4516222,2
150,1835955,880187,12
151,2339656,4285936,7
152,1086856,3559525,3
153,16038,157836,25
154,3723431,552930,12
155,213882,2099465,3
156,1420030,3645091,3
157,4660450,1645570,3
158,2339843,782522,59
159,836875,3714372,62
160,2910467,1624105,2
161,592494,4694599,11
162,3704755,1282498,17
163,1854711,2897360,4
164,3269196,4167582,9
165,1975941,3348836,3
166,35116,1719779,2
167,2850625,3357698,2
168,4141205,702794,13
169,5767,2947414,4
170,1958313,2396008,2
171,3570343,2285389,8
172,1308922,2244586,2
173,4591433,2117887,19
174,4689189,2984768,5
175,2670744,912137,7
176,3973765,1635788,2
177,4418341,3136986,10
178,2134668,4447983,6
179,3977588,4677698,2
180,4192157,1111739,2
181,2151206,2035807,2
182,2073697,3661892,3
183,2068608,396407,2
184,1801305,4239086,3
185,4738196,591146,2
186,2362655,2278202,7
187,4140681,2254956,6
188,744981,311702,2
189,1424791,4194816,4
190,645064,3999657,7
191,3554067,4734126,6
192,2150602,2646748,31
193,3951187,4320908,5
194,1510869,4704090,3
195,3206886,3759979,2
196,2305418,3854158,2
197,1437019,880726,3
198,3978492,3777133,2
199,3005265,2745134,5
200,2304668,202605,11
201,4226298,745085,7
202,586638,2141478,3
203,3192711,434584,15
204,2479228,512604,3
205,2180367,2893927,4
206,216148,2959213,9
207,3864021,2449950,2
208,4631275,3707852,2
209,811193,123078,10
210,2595633,2143075,2
211,3464733,120699,8
212,1187531,2528409,3
213,3021821,2183515,3
214,4301759,4512996,4
215,1035108,1723019,2
216,2471193,3856334,37
217,2873917,4115721,2
218,1474015,2450687,3
219,1463172,4085005,3
220,2953582,3060362,4
221,4606248,3148251,4
222,3968590,695986,2
223,4699953,3309750,2
224,3365490,3540926,5
225,3672915,2290778,9
226,2986923,2966818,2
227,4095341,2901197,3
228,4422125,4489055,3
229,3884472,4301446,3
230,3560094,4124287,6
231,1962810,1967073,3
232,2705155,3534158,2
233,2746202,4019393,12
234,3031267,3272437,2
235,3468673,3139424,2
236,227152,3078886,7
237,692625,2710588,6
238,447029,4615836,2
239,183338,2328699,19
240,627982,4557336,2
241,1167465,4784750,3
242,705927,1041093,2
243,1799238,1989761,7
244,3722020,3619143,6
245,2548812,3796759,2
246,4147888,882191,4
247,155605,1126034,2
248,65507,1950544,2
249,2096042,2750746,3
250,3801416,4497028,4
251,4715811,1147514,254
252,806651,2985250,2
253,154641,597461,2
254,2540477,4579178,23
255,3211983,4487006,2
256,1565813,3488462,2
257,4773565,778214,32
258,4577341,1924504,2
259,4660400,4155856,20
260,871832,4622871,4
261,4509662,1715036,3
262,425693,1373652,2
263,1449530,2279437,2
264,2311347,2395821,7
265,2364123,130457,9
266,2789638,198584,42
267,3912411,2169587,3
268,1033765,3256300,2
269,2305419,3108342,5
270,2331648,2574216,21
271,3548045,3923367,3
272,3898161,2626968,2
273,2850538,2014977,3
274,4447720,773916,3
275,518538,271925,4
276,1804935,2426154,4
277,4785412,2966299,5
278,1275058,4165027,5
279,3333825,3850816,4
280,4649326,3653457,2
281,73913,477365,2
282,876121,2991424,5
283,2287181,1712440,3
284,1750470,2701995,3
285,2997873,3117558,4
286,3422819,1517508,3
287,3332572,382326,2
288,1218111,3104106,2
289,1481881,4190747,3
290,1071192,4435471,3
291,2796804,3126532,2
292,463003,4806027,2
293,1257521,4528932,3
294,3185454,685938,2
295,2204438,2375977,3
296,2505578,2004310,7
297,585282,2144606,16
298,2558284,4351804,11
299,247334,4779460,5
300,3096185,2815560,2
301,1287658,1863203,9
302,3297267,473657,2
303,3079913,1242781,3
304,4017909,3113974,4
305,4359705,4857230,2
306,2497553,3705962,2
307,1518446,3377825,3
308,2575545,262530,2
309,1118798,218448,6
310,1017903,2439431,2
311,1684337,4296432,66
312,348260,3392977,3
