0,source,sink,common_neighbour
1,2184483,1300190,0
2,3151356,1452193,4
3,1579396,193159,0
4,1406432,2481036,7
5,2389638,593017,6
6,228206,212805,14
7,1237964,879115,1
8,3318124,1840575,1
9,4522929,1552625,2
10,3406737,3781412,0
11,1567983,3008412,3
12,4370932,2906415,1
13,286240,474307,0
14,4796773,3115614,1
15,2207765,4354226,6
16,1283384,279636,0
17,368544,2431466,4
18,3921857,4512147,0
19,49037,3175009,1
20,61633,1064392,4
21,1459453,654182,0
22,447597,2736867,0
23,2121585,3413796,0
24,933347,1131654,18
25,3733033,488937,0
26,3023014,2817859,2
27,1404783,410037,0
28,1886158,3656408,11
29,3316731,4579088,5
30,2369031,1860112,7
31,2850334,755258,0
32,4606553,2879440,0
33,3013323,2064734,4
34,1653770,1190291,12
35,4540325,202508,0
36,4189431,4404645,2
37,1590268,3824559,0
38,2717491,421433,0
39,71500,2156609,0
40,2422900,325927,0
41,784291,4194667,1
42,3836480,4207316,3
43,2570161,3824301,0
44,2574465,1663756,0
45,195757,4324049,20
46,3501584,624570,1
47,2342205,3520804,0
48,2067826,727427,3
49,4787138,2365654,21
50,2907109,1536763,1
51,2979388,2811074,58
52,2773866,3562714,19
53,3467832,3446682,1
54,209191,3142365,23
55,1630356,2157727,0
56,662368,853327,4
57,3151576,4278188,1
58,2671870,4797151,0
59,3536080,614747,23
60,2541283,1592987,5
61,3848381,903626,10
62,811898,3593324,0
63,231650,4016607,20
64,1305368,3362916,0
65,3275981,2183299,0
66,3863858,4710588,1
67,938826,4543397,8
68,4705108,2629120,0
69,617435,2721940,5
70,2022904,1202849,3
71,4797294,3735230,0
72,2450052,2549546,1
73,24523,497993,0
74,4576342,1043689,3
75,1875903,2638090,6
76,930131,1305103,3
77,3872353,2516690,30
78,217062,20388,78
79,1628755,1120745,2
80,4033899,2555403,46
81,4600810,4690043,1
82,2852252,3901568,52
83,4128817,963520,2
84,4603833,3538910,0
85,2665129,694605,0
86,2506289,2034494,0
87,3755683,4027183,0
88,281045,1477566,24
89,525339,4345638,14
90,2872550,3571822,0
91,3996001,1317062,0
92,1630993,2942968,0
93,3519436,273127,0
94,1072548,4516657,7
95,3385377,21536,11
96,1698628,4155714,0
97,3421725,3521843,99
98,2930692,138960,0
99,3738701,228193,0
100,1729154,1781627,0
101,3763685,3856235,0
102,2141424,1303746,0
103,4842336,3181505,1
104,258948,1471608,0
105,721572,98932,1
106,1943690,492035,7
107,3345713,3762682,0
108,2924614,3377440,4
109,4112224,1051087,0
110,4110767,2609871,0
111,3922567,307495,0
112,558917,3683147,9
113,678764,1677837,1
114,4064525,2308522,0
115,2628408,2510362,9
116,4088436,483355,0
117,4294640,2123719,15
118,1062857,1809556,0
119,3287551,3077116,0
120,2921487,2416082,0
121,2206017,4727122,3
122,1601895,4424787,62
123,4538043,4347620,20
124,2494024,1709398,2
125,2380958,648703,6
126,3786904,871332,0
127,2705657,852814,1
128,2867762,2832683,0
129,4814135,2585300,0
130,1488632,297642,8
131,1789514,2955720,0
132,309474,3636323,1
133,4115547,879781,1
134,4771179,77677,0
135,1541973,2681572,0
136,660741,517853,1
137,4483428,1765722,0
138,2190643,2947163,1
139,2519581,3743967,2
140,4202801,710142,0
141,3417866,1598643,0
142,697388,943197,1
143,3899173,1397388,0
144,3150672,3974467,0
145,4449837,3538291,2
146,35548,3549289,1
147,2707088,2136581,0
148,1586232,3610552,27
149,1735883,1901143,12
150,2968005,1495600,1
151,2873622,3664409,0
152,3691603,3188162,2
153,1655116,365416,6
154,2312268,4219994,10
155,2349671,204712,0
156,1026366,792812,2
157,3417564,2307183,7
158,3687290,1281414,0
159,3327760,600051,0
160,1299905,4474903,0
161,3881924,783583,1
162,111970,2294803,57
163,3736271,433745,0
164,2807537,2703992,0
165,934509,1653156,0
166,4662733,4764472,2
167,1486892,237461,0
168,3026000,4750153,1
169,2436861,4683579,4
170,2295601,494551,0
171,2333576,4066830,11
172,1599720,3262474,80
173,600846,64799,2
174,1285894,2023333,10
175,1590882,971074,4
176,357381,908061,0
177,2345122,743875,3
178,1164538,4273253,11
179,4624816,1789251,0
180,470204,3779626,1
181,2266717,1367613,0
182,2826267,928903,9
183,275804,1725270,1
184,3980329,4675165,6
185,41540,1437899,5
186,1810899,2882556,13
187,1230845,2027917,0
188,2472742,3567788,0
189,4174076,5480,3
190,4819127,543061,1
191,1512639,1757836,11
192,594370,207942,0
193,4066375,4645447,1
194,1326339,639157,2
195,1429554,3308151,0
196,2622002,3723250,0
197,3341679,524043,1
198,2241048,4039025,15
199,2529024,1545613,0
200,644069,2596251,1
201,1813318,1054633,4
202,3655158,37400,9
203,3418483,362485,0
204,408243,4594685,2
205,2105491,3781492,0
206,738704,4658228,1
207,2535426,1266511,39
208,3014450,2569650,4
209,2635308,3237136,0
210,2749135,3229933,16
211,1147295,4463463,0
212,495613,3009965,0
213,1376558,291125,0
214,2021517,4634127,1
215,4519174,520390,3
216,604125,4360758,1
217,3828465,3963629,0
218,2957639,4578655,28
219,4325972,1755579,1
220,1039233,3674322,0
221,1901862,4840530,3
222,2408015,1321954,2
223,4781379,52592,2
224,4583761,4572486,16
225,1476555,4751012,8
226,1636856,4208957,5
227,2038215,4162950,35
228,4216378,2118739,18
229,1136996,3640654,1
230,4178366,3164163,0
231,986629,3346537,8
232,2303520,663713,1
233,4708115,738568,0
234,3769409,1960538,40
235,2844371,3392930,1
236,1320291,3768226,0
237,1817011,3254390,0
238,3337956,1186643,23
239,414390,2341215,0
240,1185153,4799044,0
241,4182445,4255166,0
242,1429988,4034214,0
243,784476,4743804,16
244,1567741,2167167,0
245,378193,3858906,4
246,3193737,852669,1
247,222154,1096330,138
248,837136,4092142,4
249,3001803,1421121,0
250,4497472,970834,0
251,78652,876913,3
252,1740390,2913793,1
253,4608977,2576561,0
254,2146076,3373346,0
255,4043972,3448830,4
256,2066994,3418202,2
257,559972,3695276,0
258,2427345,214090,0
259,1635607,4683806,0
260,4435111,1900279,0
261,541055,1731912,9
262,1745528,2194526,49
263,754926,762964,1
264,2093716,3996594,15
265,4640383,987793,50
266,4298408,420656,1
267,4725488,1747009,4
268,2264477,2991814,2
269,4421319,4161763,3
270,4007453,1159092,0
271,2690596,3915235,19
272,3602451,2065513,3
273,504324,2747208,18
274,30083,1972008,0
275,1025903,2722816,2
276,2607838,4292513,4
277,132853,1928713,129
278,1841790,1805282,0
279,699145,2039550,1
280,1632938,2917594,0
281,740264,775607,1
282,2326042,3593013,6
283,2597890,4398241,0
284,4347620,3709618,0
285,2956481,3808878,23
286,2421138,2173151,53
287,3325878,3941234,1
288,3969780,3375372,0
289,641527,2264701,2
290,3750870,214372,0
291,3136757,2292933,0
292,194271,4138613,0
293,4837795,2032867,3
294,4532809,3889649,0
295,2019222,2153519,0
296,1047207,311498,1
297,2970262,1729215,144
298,1221209,2747564,0
299,268995,1173364,0
300,4427946,1339329,8
301,1607490,654860,4
302,1460872,4581556,9
303,2019845,4577899,0
304,1704367,3164073,1
305,2745910,3104940,0
306,2133929,3867352,0
307,3871942,4799962,2
308,3257910,588337,3
309,765302,2762989,1
310,3960835,4669648,1
311,2629112,1529484,41
312,2073048,421699,0
313,4524669,2949748,1
314,144060,3080263,1
315,3764504,3328639,1
316,433097,4052222,1
317,1986630,2951260,0
318,2398278,209191,6
319,1974705,1581879,0
320,1443500,1164411,16
321,3550092,3753484,0
322,3107199,690742,13
323,2019781,636552,0
324,3478606,1281736,0
325,919613,1735123,4
326,1432948,4331707,2
327,4782388,1065417,11
328,596337,409262,0
329,4106517,3002541,9
330,1065985,4673981,0
331,3757808,890719,0
332,4865292,2472812,0
333,1817278,3209863,0
334,2535495,1937230,3
335,1524949,2845319,1
336,2699583,2224526,0
337,3589315,1592667,0
338,1501709,3370956,0
339,2135899,3893892,19
340,3380008,1519730,0
341,3120092,4618432,0
342,1322906,784341,0
343,155804,834066,0
344,56567,3302825,6
345,432620,112551,1
346,1239755,165055,0
347,2314931,2658417,21
348,3043233,857634,0
349,4444751,719172,0
350,3144674,3401173,5
351,2681125,4245138,0
352,4355412,3494128,0
353,4114591,1582028,1
354,4099850,924833,1
355,103916,2808644,2
356,520324,3222831,14
357,3443992,280322,3
358,2008046,4864558,0
359,1981993,463338,8
360,3004094,819288,6
361,4467857,2374812,0
362,1143671,3610611,1
363,1114213,140603,0
364,2283170,3108276,0
365,3039452,1019859,8
366,298011,2396903,60
367,3491637,3299008,1
368,4345638,1914315,0
369,3193210,370765,0
370,279329,4093834,0
371,1091584,977565,0
372,4310710,290077,8
373,3725239,1818269,1
374,1799182,3537761,1
375,4366747,1672058,5
376,2921853,1063377,9
377,3210136,2558297,1
378,1618265,2401545,1
379,335479,673405,0
380,2393127,315060,0
381,2305619,2629421,0
382,94280,1191204,1
383,3396488,1921136,0
384,1184100,1487302,6
385,3561479,3836738,1
386,2920873,2227745,57
387,3576624,4268303,0
388,527595,1894941,7
389,919165,1264290,0
390,4014552,4632479,2
391,4135084,17392,8
392,245914,1905607,1
393,2618052,4188938,0
394,4836378,4536767,2
395,437876,2566889,49
396,2497998,95673,0
397,1036152,502401,27
398,2585063,3153339,0
399,311952,487639,17
400,4260998,2255438,4
401,795918,448525,0
402,2720299,2127901,1
403,1459605,3749748,3
404,3547614,2860781,0
405,3335130,438964,0
406,1933312,3256959,2
407,3564448,167816,5
408,3432616,2332893,19
409,2633605,1933805,1
410,2832099,593309,4
411,2366431,4838273,10
412,623567,2164839,0
413,3994516,1354897,0
414,2315048,2033602,0
415,1637898,4121411,1
416,892193,4336282,0
417,4578655,3601327,24
418,4152864,1994852,0
419,2533205,2449296,0
420,3035063,3658576,0
421,1063789,1199206,1
422,4717616,489300,0
423,3652352,1702417,35
424,1024682,1315850,0
425,2587055,3472626,2
426,2086863,512769,91
427,1493935,2241589,5
428,941692,3517094,2
429,2912801,871888,1
430,3606548,626239,3
431,2200735,2157328,0
432,3544260,2618757,0
433,1862492,54381,0
434,3445194,2976923,0
435,4114513,3383210,0
436,3744513,1129682,0
437,2055183,1190704,0
438,3592571,377102,1
439,484479,352855,17
440,4518583,1939151,30
441,2741551,3680201,18
442,2589986,4298355,0
443,3446506,3393730,0
444,1080614,1486892,64
445,3819586,3914665,0
446,2232341,2167763,1
447,3663392,2116501,0
448,135756,1415397,8
449,1304570,762511,0
450,3268179,1312177,0
451,1034420,2582486,38
452,1395712,207348,21
453,28366,1841875,63
454,628921,901150,0
455,2156930,302849,4
456,4742865,4011635,2
457,579052,4286269,7
458,3622805,2239775,0
459,1097755,19760,3
460,4681267,4047729,21
461,4214037,1124684,0
462,3328824,4725447,11
463,1632157,3441172,1
464,2733872,2966772,1
465,4402871,3812818,71
466,1807180,817365,2
467,2763391,4023498,1
468,1626617,2819030,0
469,4130943,4188416,0
470,467667,4000293,21
471,585290,2615912,0
472,3437795,2770964,8
473,3206172,4186227,0
474,174802,3795595,0
475,4371955,1776702,23
476,2810159,2277589,0
477,2044305,2746365,131
478,2952533,3517217,1
479,2914124,4682995,1
480,61530,3335540,6
481,4591296,1929062,2
482,4428300,2480985,5
483,46090,1450214,7
484,659769,20462,0
485,636099,1164072,1
486,2407305,95886,2
487,1475238,1917370,23
