0,source,sink,in_out_degree_b
1,2184483,1300190,3000000.0
2,3151356,1452193,289000000.0
3,1579396,193159,2000000.0
4,1406432,2481036,1.7142855918367434
5,2389638,593017,2.844827537158146
6,228206,212805,3.01010099996599
7,1237964,879115,482000000.0
8,3318124,1840575,26000000.0
9,4522929,1552625,63000000.0
10,3406737,3781412,2000000.0
11,1567983,3008412,84000000.0
12,4370932,2906415,2000000.0
13,286240,474307,6000000.0
14,4796773,3115614,5000000.0
15,2207765,4354226,0.039339103037498734
16,1283384,279636,70000000.0
17,368544,2431466,0.023233760064848858
18,3921857,4512147,3000000.0
19,49037,3175009,1000000.0
20,61633,1064392,8000000.0
21,1459453,654182,7000000.0
22,447597,2736867,4000000.0
23,2121585,3413796,12000000.0
24,933347,1131654,95000000.0
25,3733033,488937,2000000.0
26,3023014,2817859,11000000.0
27,1404783,410037,1000000.0
28,1886158,3656408,272000000.0
29,3316731,4579088,0.14968814937694772
30,2369031,1860112,1.014705867430796
31,2850334,755258,98000000.0
32,4606553,2879440,6000000.0
33,3013323,2064734,179000000.0
34,1653770,1190291,15000000.0
35,4540325,202508,64000000.0
36,4189431,4404645,2000000.0
37,1590268,3824559,4000000.0
38,2717491,421433,518000000.0
39,71500,2156609,28000000.0
40,2422900,325927,68000000.0
41,784291,4194667,99000000.0
42,3836480,4207316,31000000.0
43,2570161,3824301,21000000.0
44,2574465,1663756,2.0436681133464276
45,195757,4324049,73000000.0
46,3501584,624570,20000000.0
47,2342205,3520804,18000000.0
48,2067826,727427,5000000.0
49,4787138,2365654,46000000.0
50,2907109,1536763,29000000.0
51,2979388,2811074,240000000.0
52,2773866,3562714,501000000.0
53,3467832,3446682,81000000.0
54,209191,3142365,145000000.0
55,1630356,2157727,1000000.0
56,662368,853327,50000000.0
57,3151576,4278188,33000000.0
58,2671870,4797151,1000000.0
59,3536080,614747,97000000.0
60,2541283,1592987,204000000.0
61,3848381,903626,20000000.0
62,811898,3593324,3000000.0
63,231650,4016607,321000000.0
64,1305368,3362916,37000000.0
65,3275981,2183299,3000000.0
66,3863858,4710588,45000000.0
67,938826,4543397,243000000.0
68,4705108,2629120,1000000.0
69,617435,2721940,0.222910216373204
70,2022904,1202849,11000000.0
71,4797294,3735230,1000000.0
72,2450052,2549546,40000000.0
73,24523,497993,2000000.0
74,4576342,1043689,110000000.0
75,1875903,2638090,0.03414019458345621
76,930131,1305103,0.1842751838224197
77,3872353,2516690,0.030657815325207262
78,217062,20388,0.0063547446615992076
79,1628755,1120745,57000000.0
80,4033899,2555403,99000000.0
81,4600810,4690043,12000000.0
82,2852252,3901568,313000000.0
83,4128817,963520,41000000.0
84,4603833,3538910,2000000.0
85,2665129,694605,7000000.0
86,2506289,2034494,1000000.0
87,3755683,4027183,14000000.0
88,281045,1477566,0.350515462110745
89,525339,4345638,0.36184210288261776
90,2872550,3571822,14000000.0
91,3996001,1317062,22000000.0
92,1630993,2942968,3000000.0
93,3519436,273127,33000000.0
94,1072548,4516657,1.4893616915648107
95,3385377,21536,597000000.0
96,1698628,4155714,69000000.0
97,3421725,3521843,0.039950148858273894
98,2930692,138960,22000000.0
99,3738701,228193,2000000.0
100,1729154,1781627,2000000.0
101,3763685,3856235,1000000.0
102,2141424,1303746,2000000.0
103,4842336,3181505,2000000.0
104,258948,1471608,1000000.0
105,721572,98932,33000000.0
106,1943690,492035,0.0996336995607079
107,3345713,3762682,1000000.0
108,2924614,3377440,0.197916666604193
109,4112224,1051087,1000000.0
110,4110767,2609871,1000000.0
111,3922567,307495,26000000.0
112,558917,3683147,103000000.0
113,678764,1677837,41000000.0
114,4064525,2308522,1.633136085011029
115,2628408,2510362,0.26829268219974883
116,4088436,483355,2000000.0
117,4294640,2123719,0.6447368336218838
118,1062857,1809556,45000000.0
119,3287551,3077116,2000000.0
120,2921487,2416082,3000000.0
121,2206017,4727122,35000000.0
122,1601895,4424787,178000000.0
123,4538043,4347620,0.43636362842975224
124,2494024,1709398,0.6470588044982705
125,2380958,648703,45000000.0
126,3786904,871332,18000000.0
127,2705657,852814,91000000.0
128,2867762,2832683,2000000.0
129,4814135,2585300,7000000.0
130,1488632,297642,29000000.0
131,1789514,2955720,1000000.0
132,309474,3636323,3000000.0
133,4115547,879781,18000000.0
134,4771179,77677,1000000.0
135,1541973,2681572,2000000.0
136,660741,517853,18000000.0
137,4483428,1765722,3000000.0
138,2190643,2947163,2000000.0
139,2519581,3743967,30000000.0
140,4202801,710142,16000000.0
141,3417866,1598643,147000000.0
142,697388,943197,10000000.0
143,3899173,1397388,4000000.0
144,3150672,3974467,119000000.0
145,4449837,3538291,3000000.0
146,35548,3549289,7000000.0
147,2707088,2136581,2000000.0
148,1586232,3610552,0.08686521572290327
149,1735883,1901143,20000000.0
150,2968005,1495600,2000000.0
151,2873622,3664409,30000000.0
152,3691603,3188162,20000000.0
153,1655116,365416,16000000.0
154,2312268,4219994,15.842104985226229
155,2349671,204712,85000000.0
156,1026366,792812,32000000.0
157,3417564,2307183,173000000.0
158,3687290,1281414,1000000.0
159,3327760,600051,89000000.0
160,1299905,4474903,8000000.0
161,3881924,783583,4000000.0
162,111970,2294803,0.7545126326551891
163,3736271,433745,2000000.0
164,2807537,2703992,5000000.0
165,934509,1653156,1000000.0
166,4662733,4764472,39000000.0
167,1486892,237461,49000000.0
168,3026000,4750153,3000000.0
169,2436861,4683579,58000000.0
170,2295601,494551,15000000.0
171,2333576,4066830,102000000.0
172,1599720,3262474,182000000.0
173,600846,64799,83000000.0
174,1285894,2023333,31000000.0
175,1590882,971074,0.7922077901501097
176,357381,908061,14000000.0
177,2345122,743875,8000000.0
178,1164538,4273253,36000000.0
179,4624816,1789251,31000000.0
180,470204,3779626,56000000.0
181,2266717,1367613,178000000.0
182,2826267,928903,24000000.0
183,275804,1725270,131000000.0
184,3980329,4675165,0.34782607183364905
185,41540,1437899,1.465408795815039
186,1810899,2882556,0.9210697971812982
187,1230845,2027917,29000000.0
188,2472742,3567788,285000000.0
189,4174076,5480,147000000.0
190,4819127,543061,125000000.0
191,1512639,1757836,0.03191489327750113
192,594370,207942,1000000.0
193,4066375,4645447,42000000.0
194,1326339,639157,9000000.0
195,1429554,3308151,42000000.0
196,2622002,3723250,2000000.0
197,3341679,524043,4000000.0
198,2241048,4039025,110000000.0
199,2529024,1545613,1000000.0
200,644069,2596251,74000000.0
201,1813318,1054633,202.99998872222284
202,3655158,37400,86000000.0
203,3418483,362485,51000000.0
204,408243,4594685,216000000.0
205,2105491,3781492,156000000.0
206,738704,4658228,3000000.0
207,2535426,1266511,89000000.0
208,3014450,2569650,103000000.0
209,2635308,3237136,81000000.0
210,2749135,3229933,0.16487455138037796
211,1147295,4463463,1000000.0
212,495613,3009965,21000000.0
213,1376558,291125,7000000.0
