0,source,sink,out_degree_a
1,2184483,1300190,83
2,3151356,1452193,340
3,1579396,193159,208
4,1406432,2481036,84
5,2389638,593017,267
6,228206,212805,9
7,1237964,879115,15
8,3318124,1840575,93
9,4522929,1552625,422
10,3406737,3781412,29
11,1567983,3008412,87
12,4370932,2906415,94
13,286240,474307,512
14,4796773,3115614,142
15,2207765,4354226,208
16,1283384,279636,137
17,368544,2431466,172
18,3921857,4512147,3
19,49037,3175009,966
20,61633,1064392,33
21,1459453,654182,39
22,447597,2736867,2240
23,2121585,3413796,34
24,933347,1131654,8968
25,3733033,488937,387
26,3023014,2817859,345
27,1404783,410037,191
28,1886158,3656408,48
29,3316731,4579088,102
30,2369031,1860112,393
31,2850334,755258,1602
32,4606553,2879440,26
33,3013323,2064734,4425
34,1653770,1190291,3
35,4540325,202508,220
36,4189431,4404645,383
37,1590268,3824559,10
38,2717491,421433,7
39,71500,2156609,43
40,2422900,325927,84
41,784291,4194667,460
42,3836480,4207316,277
43,2570161,3824301,16
44,2574465,1663756,1
45,195757,4324049,2838
46,3501584,624570,213
47,2342205,3520804,5
48,2067826,727427,27570
49,4787138,2365654,78
50,2907109,1536763,184
51,2979388,2811074,2592
52,2773866,3562714,526
53,3467832,3446682,190
54,209191,3142365,3945
55,1630356,2157727,229
56,662368,853327,324
57,3151576,4278188,864
58,2671870,4797151,112
59,3536080,614747,1446
60,2541283,1592987,824
61,3848381,903626,333
62,811898,3593324,33
63,231650,4016607,809
64,1305368,3362916,470
65,3275981,2183299,216
66,3863858,4710588,1754
67,938826,4543397,418
68,4705108,2629120,509
69,617435,2721940,178
70,2022904,1202849,97
71,4797294,3735230,2000
72,2450052,2549546,88
73,24523,497993,12443
74,4576342,1043689,287
75,1875903,2638090,155
76,930131,1305103,91
77,3872353,2516690,1562
78,217062,20388,293
79,1628755,1120745,24
80,4033899,2555403,2509
81,4600810,4690043,146
82,2852252,3901568,1812
83,4128817,963520,1880
84,4603833,3538910,265
85,2665129,694605,104
86,2506289,2034494,225
87,3755683,4027183,29
88,281045,1477566,52
89,525339,4345638,74
90,2872550,3571822,441
91,3996001,1317062,269
92,1630993,2942968,31
93,3519436,273127,133
94,1072548,4516657,92
95,3385377,21536,279
96,1698628,4155714,13
97,3421725,3521843,374
98,2930692,138960,82
99,3738701,228193,391
100,1729154,1781627,172
101,3763685,3856235,57
102,2141424,1303746,29
103,4842336,3181505,244
104,258948,1471608,185
105,721572,98932,312
106,1943690,492035,80
107,3345713,3762682,8
108,2924614,3377440,74
109,4112224,1051087,1989
110,4110767,2609871,128
111,3922567,307495,116
112,558917,3683147,4077
113,678764,1677837,95
114,4064525,2308522,95
115,2628408,2510362,309
116,4088436,483355,75
117,4294640,2123719,861
118,1062857,1809556,134
119,3287551,3077116,100
120,2921487,2416082,223
121,2206017,4727122,76
122,1601895,4424787,45883
123,4538043,4347620,68
124,2494024,1709398,7
125,2380958,648703,41
126,3786904,871332,66
127,2705657,852814,629
128,2867762,2832683,27
129,4814135,2585300,63
130,1488632,297642,1955
131,1789514,2955720,41
132,309474,3636323,91
133,4115547,879781,464
134,4771179,77677,363
135,1541973,2681572,1394
136,660741,517853,34
137,4483428,1765722,125
138,2190643,2947163,172
139,2519581,3743967,477
140,4202801,710142,108
141,3417866,1598643,9
142,697388,943197,1943
143,3899173,1397388,5
144,3150672,3974467,49
145,4449837,3538291,10886
146,35548,3549289,52
147,2707088,2136581,244
148,1586232,3610552,69
149,1735883,1901143,2769
150,2968005,1495600,373
151,2873622,3664409,23
152,3691603,3188162,460
153,1655116,365416,590
154,2312268,4219994,28
155,2349671,204712,45
156,1026366,792812,2745
157,3417564,2307183,269
158,3687290,1281414,1084
159,3327760,600051,2
160,1299905,4474903,73
161,3881924,783583,171
162,111970,2294803,468
163,3736271,433745,111
164,2807537,2703992,105
165,934509,1653156,10933
166,4662733,4764472,66
167,1486892,237461,81
168,3026000,4750153,34
169,2436861,4683579,216
170,2295601,494551,1
171,2333576,4066830,249
172,1599720,3262474,427
173,600846,64799,53
174,1285894,2023333,317
175,1590882,971074,64
176,357381,908061,68
177,2345122,743875,1122
178,1164538,4273253,1151
179,4624816,1789251,192
180,470204,3779626,237
181,2266717,1367613,6
182,2826267,928903,2138
183,275804,1725270,71
184,3980329,4675165,9
185,41540,1437899,136
186,1810899,2882556,44
187,1230845,2027917,21
188,2472742,3567788,21
189,4174076,5480,472
190,4819127,543061,100
191,1512639,1757836,646
192,594370,207942,59
193,4066375,4645447,356
194,1326339,639157,2699
195,1429554,3308151,11
196,2622002,3723250,20
197,3341679,524043,1510
198,2241048,4039025,238
199,2529024,1545613,18
200,644069,2596251,217
201,1813318,1054633,30
202,3655158,37400,6965
203,3418483,362485,82
204,408243,4594685,458
205,2105491,3781492,110
206,738704,4658228,68
207,2535426,1266511,3792
208,3014450,2569650,742
209,2635308,3237136,228
210,2749135,3229933,49
211,1147295,4463463,26
212,495613,3009965,609
213,1376558,291125,93
214,2021517,4634127,654
215,4519174,520390,83
216,604125,4360758,49
217,3828465,3963629,73
218,2957639,4578655,429
219,4325972,1755579,32
220,1039233,3674322,273
221,1901862,4840530,335
222,2408015,1321954,142
223,4781379,52592,132
224,4583761,4572486,133
225,1476555,4751012,28
226,1636856,4208957,10
227,2038215,4162950,143
228,4216378,2118739,137
229,1136996,3640654,202
230,4178366,3164163,94
231,986629,3346537,875
232,2303520,663713,8
233,4708115,738568,31
234,3769409,1960538,365
235,2844371,3392930,188
236,1320291,3768226,386
237,1817011,3254390,465
238,3337956,1186643,223
239,414390,2341215,88
240,1185153,4799044,290
241,4182445,4255166,26
242,1429988,4034214,731
243,784476,4743804,264
244,1567741,2167167,25
245,378193,3858906,42
246,3193737,852669,68
247,222154,1096330,169
248,837136,4092142,38
249,3001803,1421121,163
250,4497472,970834,25
251,78652,876913,3324
252,1740390,2913793,58
253,4608977,2576561,81
254,2146076,3373346,265
255,4043972,3448830,2725
256,2066994,3418202,27
257,559972,3695276,569
258,2427345,214090,104
259,1635607,4683806,476
260,4435111,1900279,62
261,541055,1731912,2420
262,1745528,2194526,313
263,754926,762964,1379
264,2093716,3996594,578
265,4640383,987793,14450
266,4298408,420656,1349
267,4725488,1747009,18
268,2264477,2991814,361
269,4421319,4161763,681
270,4007453,1159092,84
271,2690596,3915235,1473
272,3602451,2065513,475
273,504324,2747208,1378
274,30083,1972008,86
275,1025903,2722816,107
276,2607838,4292513,147
277,132853,1928713,3267
278,1841790,1805282,247
279,699145,2039550,1885
280,1632938,2917594,312
281,740264,775607,161
282,2326042,3593013,1019
283,2597890,4398241,314
284,4347620,3709618,55
285,2956481,3808878,61232
286,2421138,2173151,93
287,3325878,3941234,116
288,3969780,3375372,76
289,641527,2264701,149
290,3750870,214372,371
291,3136757,2292933,113
292,194271,4138613,26
293,4837795,2032867,467
294,4532809,3889649,57
295,2019222,2153519,2
296,1047207,311498,129
297,2970262,1729215,3125
298,1221209,2747564,2
299,268995,1173364,113
300,4427946,1339329,221
301,1607490,654860,18
302,1460872,4581556,13
303,2019845,4577899,38
304,1704367,3164073,245
305,2745910,3104940,2
306,2133929,3867352,84
307,3871942,4799962,480
308,3257910,588337,23
309,765302,2762989,1205
310,3960835,4669648,254
311,2629112,1529484,197
312,2073048,421699,71
313,4524669,2949748,34
314,144060,3080263,48
315,3764504,3328639,89
316,433097,4052222,126
317,1986630,2951260,786
318,2398278,209191,9
319,1974705,1581879,53
320,1443500,1164411,781
321,3550092,3753484,261
322,3107199,690742,625
323,2019781,636552,20
324,3478606,1281736,1
325,919613,1735123,368
326,1432948,4331707,21
327,4782388,1065417,26
328,596337,409262,65
329,4106517,3002541,7252
330,1065985,4673981,77
331,3757808,890719,31
332,4865292,2472812,122
333,1817278,3209863,83
334,2535495,1937230,15
335,1524949,2845319,3928
336,2699583,2224526,72
337,3589315,1592667,202
338,1501709,3370956,23
339,2135899,3893892,3126
340,3380008,1519730,159
341,3120092,4618432,158
342,1322906,784341,52
343,155804,834066,57
344,56567,3302825,1480
345,432620,112551,432
346,1239755,165055,18
347,2314931,2658417,14768
348,3043233,857634,52
349,4444751,719172,127
350,3144674,3401173,119
351,2681125,4245138,340
352,4355412,3494128,440
353,4114591,1582028,54
354,4099850,924833,236
355,103916,2808644,100
356,520324,3222831,2369
357,3443992,280322,104
358,2008046,4864558,649
359,1981993,463338,1118
360,3004094,819288,86
361,4467857,2374812,564
362,1143671,3610611,191
363,1114213,140603,2248
364,2283170,3108276,135
365,3039452,1019859,705
366,298011,2396903,1521
367,3491637,3299008,179
368,4345638,1914315,152
369,3193210,370765,50
370,279329,4093834,78
371,1091584,977565,1326
372,4310710,290077,34
373,3725239,1818269,864
374,1799182,3537761,852
375,4366747,1672058,496
376,2921853,1063377,62
377,3210136,2558297,110
378,1618265,2401545,66
379,335479,673405,53
380,2393127,315060,26
381,2305619,2629421,159
382,94280,1191204,119
383,3396488,1921136,587
384,1184100,1487302,3786
385,3561479,3836738,292
386,2920873,2227745,1809
387,3576624,4268303,1566
388,527595,1894941,151
389,919165,1264290,16
390,4014552,4632479,1
391,4135084,17392,1874
392,245914,1905607,154
393,2618052,4188938,223
394,4836378,4536767,284
395,437876,2566889,241
396,2497998,95673,54
397,1036152,502401,296
398,2585063,3153339,28
399,311952,487639,97
400,4260998,2255438,39
401,795918,448525,817
402,2720299,2127901,109
403,1459605,3749748,243
404,3547614,2860781,129
405,3335130,438964,160
406,1933312,3256959,167
407,3564448,167816,457
408,3432616,2332893,152
409,2633605,1933805,247
410,2832099,593309,41
411,2366431,4838273,2631
412,623567,2164839,649
413,3994516,1354897,78
414,2315048,2033602,45
415,1637898,4121411,20
416,892193,4336282,1381
417,4578655,3601327,2608
418,4152864,1994852,1
419,2533205,2449296,58
420,3035063,3658576,34
421,1063789,1199206,9
422,4717616,489300,241
423,3652352,1702417,21
424,1024682,1315850,67
425,2587055,3472626,460
426,2086863,512769,512
427,1493935,2241589,29
428,941692,3517094,86
429,2912801,871888,31
430,3606548,626239,9156
431,2200735,2157328,37
432,3544260,2618757,86
433,1862492,54381,5
434,3445194,2976923,16
435,4114513,3383210,24
436,3744513,1129682,46
437,2055183,1190704,13
438,3592571,377102,10
439,484479,352855,1801
440,4518583,1939151,2735
441,2741551,3680201,132
442,2589986,4298355,35
443,3446506,3393730,151
444,1080614,1486892,599
445,3819586,3914665,44
446,2232341,2167763,246
447,3663392,2116501,12
448,135756,1415397,32
449,1304570,762511,451
450,3268179,1312177,1053
451,1034420,2582486,62
452,1395712,207348,1352
453,28366,1841875,231
454,628921,901150,1
455,2156930,302849,3
456,4742865,4011635,8
457,579052,4286269,175
458,3622805,2239775,102
459,1097755,19760,66
460,4681267,4047729,1850
461,4214037,1124684,115
462,3328824,4725447,3449
463,1632157,3441172,107
464,2733872,2966772,588
465,4402871,3812818,309
466,1807180,817365,354
467,2763391,4023498,107
468,1626617,2819030,662
469,4130943,4188416,559
470,467667,4000293,203
471,585290,2615912,156
472,3437795,2770964,1173
473,3206172,4186227,96
474,174802,3795595,4178
475,4371955,1776702,110
476,2810159,2277589,68
477,2044305,2746365,8639
478,2952533,3517217,966
479,2914124,4682995,22
480,61530,3335540,818
481,4591296,1929062,247
482,4428300,2480985,118
483,46090,1450214,1191
484,659769,20462,163
485,636099,1164072,137
486,2407305,95886,142
487,1475238,1917370,2302
488,550624,1332575,211
489,3206394,2933565,174
490,3940380,3051327,400
491,273164,1413055,190
492,1957538,4839138,7
493,2749267,3859663,1
494,173719,2037535,2432
495,384254,3003794,205
496,410127,290758,12
497,2586954,1166818,148
498,172972,4299050,16
499,2422604,909677,236
500,4326329,732416,115
501,3476921,4329139,63
502,2346396,3113197,35
503,1397316,1548423,98
504,4590349,4475906,51
505,4462368,1729215,194
506,1327440,2866511,817
507,505918,80983,768
508,1041665,246307,84
509,1619831,4149096,117
510,1602676,4821149,280
511,4498800,2530095,66
512,1220744,2494359,209
513,3216894,2917270,6
514,823636,3470096,1257
515,2464404,2214631,54
516,2225928,937883,77
517,3874174,3660958,64
518,4510312,4641648,19
519,1772905,1164032,156
520,497126,1813537,267
521,3956535,1366076,135
522,311395,4517546,62
523,691053,2551093,1959
524,1202094,4419310,98
525,2511862,702114,413
526,1537593,3531111,23
527,1809060,2755105,19
528,4561995,4101406,383
529,1183256,851822,283
530,2259583,180886,59415
531,617956,2413499,2404
532,1294163,515021,43
533,2063062,1342577,322
534,1800416,2888042,4
535,4691181,4610787,52
536,1834142,3836704,209
537,949172,2071647,6
538,2536161,4132261,1955
539,625451,3547349,6702
540,2290078,107998,3940
541,3494888,248970,33
542,268519,2884416,1
543,158115,4633431,206
544,4699529,317786,104
545,3256646,751974,167
546,3725632,731420,91
547,2171358,4477620,464
548,931647,1765411,51
549,2744198,3642845,362
550,1765731,1258166,681
551,2649630,1742482,1820
552,1641756,2486979,61
553,4036817,1703634,190
554,3849807,2866908,163
555,1167211,1840412,25
556,4766814,3298954,422
557,947762,3341056,27
558,3136926,4534450,114
