0,source,sink,preferential_attachment
1,2184483,1300190,435
2,3151356,1452193,102306
3,1579396,193159,418
4,1406432,2481036,2838
5,2389638,593017,62196
6,228206,212805,16592
7,1237964,879115,7712
8,3318124,1840575,2678
9,4522929,1552625,27846
10,3406737,3781412,60
11,1567983,3008412,7728
12,4370932,2906415,210
13,286240,474307,3354
14,4796773,3115614,745
15,2207765,4354226,271491
16,1283384,279636,9660
17,368544,2431466,404920
18,3921857,4512147,201
19,49037,3175009,1015
20,61633,1064392,344
21,1459453,654182,434
22,447597,2736867,9056
23,2121585,3413796,408
24,933347,1131654,851960
25,3733033,488937,808
26,3023014,2817859,3861
27,1404783,410037,225
28,1886158,3656408,46784
29,3316731,4579088,52728
30,2369031,1860112,69875
31,2850334,755258,158368
32,4606553,2879440,270
33,3013323,2064734,794581
34,1653770,1190291,240
35,4540325,202508,14720
36,4189431,4404645,838
37,1590268,3824559,68
38,2717491,421433,4662
39,71500,2156609,1260
40,2422900,325927,6188
41,784291,4194667,64845
42,3836480,4207316,8680
43,2570161,3824301,399
44,2574465,1663756,1084
45,195757,4324049,207174
46,3501584,624570,4340
47,2342205,3520804,4482
48,2067826,727427,137925
49,4787138,2365654,4002
50,2907109,1536763,5655
51,2979388,2811074,625200
52,2773866,3562714,271542
53,3467832,3446682,15552
54,209191,3142365,578115
55,1630356,2157727,231
56,662368,853327,17100
57,3151576,4278188,28710
58,2671870,4797151,115
59,3536080,614747,141911
60,2541283,1592987,170340
61,3848381,903626,7060
62,811898,3593324,114
63,231650,4016607,266430
64,1305368,3362916,17464
65,3275981,2183299,651
66,3863858,4710588,79380
67,938826,4543397,103761
68,4705108,2629120,514
69,617435,2721940,133369
70,2022904,1202849,2134
71,4797294,3735230,2003
72,2450052,2549546,3560
73,24523,497993,24896
74,4576342,1043689,33660
75,1875903,2638090,5927730
76,930131,1305103,40082
77,3872353,2516690,13535907
78,217062,20388,241762269
79,1628755,1120745,1482
80,4033899,2555403,250965
81,4600810,4690043,1776
82,2852252,3901568,571225
83,4128817,963520,79294
84,4603833,3538910,740
85,2665129,694605,798
86,2506289,2034494,225
87,3755683,4027183,532
88,281045,1477566,14820
89,525339,4345638,13320
90,2872550,3571822,6440
91,3996001,1317062,6006
92,1630993,2942968,96
93,3519436,273127,4488
94,1072548,4516657,30282
95,3385377,21536,170145
96,1698628,4155714,966
97,3421725,3521843,6256850
98,2930692,138960,1914
99,3738701,228193,856
100,1729154,1781627,470
101,3763685,3856235,63
102,2141424,1303746,226
103,4842336,3181505,570
104,258948,1471608,190
105,721572,98932,10362
106,1943690,492035,113816
107,3345713,3762682,90
108,2924614,3377440,794045
109,4112224,1051087,2011
110,4110767,2609871,129
111,3922567,307495,3120
112,558917,3683147,420858
113,678764,1677837,5125
114,4064525,2308522,37904
115,2628408,2510362,219240
116,4088436,483355,154
117,4294640,2123719,90387
118,1062857,1809556,7155
119,3287551,3077116,296
120,2921487,2416082,714
121,2206017,4727122,4270
122,1601895,4424787,8168598
123,4538043,4347620,4290
124,2494024,1709398,408
125,2380958,648703,1845
126,3786904,871332,1224
127,2705657,852814,57421
128,2867762,2832683,58
129,4814135,2585300,511
130,1488632,297642,56695
131,1789514,2955720,43
132,309474,3636323,288
133,4115547,879781,8640
134,4771179,77677,421
135,1541973,2681572,2852
136,660741,517853,684
137,4483428,1765722,378
138,2190643,2947163,370
139,2519581,3743967,14400
140,4202801,710142,1920
141,3417866,1598643,1470
142,697388,943197,19440
143,3899173,1397388,36
144,3150672,3974467,5950
145,4449837,3538291,33162
146,35548,3549289,490
147,2707088,2136581,502
148,1586232,3610552,762256
149,1735883,1901143,55480
150,2968005,1495600,1346
151,2873622,3664409,1650
152,3691603,3188162,9480
153,1655116,365416,9536
154,2312268,4219994,26361
155,2349671,204712,3825
156,1026366,792812,88192
157,3417564,2307183,48267
158,3687290,1281414,1085
159,3327760,600051,178
160,1299905,4474903,664
161,3881924,783583,740
162,111970,2294803,277676
163,3736271,433745,224
164,2807537,2703992,530
165,934509,1653156,10944
166,4662733,4764472,2964
167,1486892,237461,11515
168,3026000,4750153,105
169,2436861,4683579,12702
170,2295601,494551,45
171,2333576,4066830,37230
172,1599720,3262474,290836
173,600846,64799,4648
174,1285894,2023333,10912
175,1590882,971074,38784
176,357381,908061,980
177,2345122,743875,9000
178,1164538,4273253,41508
179,4624816,1789251,6293
180,470204,3779626,13496
181,2266717,1367613,1780
182,2826267,928903,51576
183,275804,1725270,9432
184,3980329,4675165,270
185,41540,1437899,49494
186,1810899,2882556,128684
187,1230845,2027917,667
188,2472742,3567788,5985
189,4174076,5480,69531
190,4819127,543061,17500
191,1512639,1757836,61845
192,594370,207942,59
193,4066375,4645447,16380
194,1326339,639157,24606
195,1429554,3308151,504
196,2622002,3723250,72
197,3341679,524043,6048
198,2241048,4039025,27280
199,2529024,1545613,18
200,644069,2596251,16650
201,1813318,1054633,113708
202,3655158,37400,600882
203,3418483,362485,4284
204,408243,4594685,102384
205,2105491,3781492,19188
206,738704,4658228,204
207,2535426,1266511,339802
208,3014450,2569650,77971
209,2635308,3237136,21708
