0,source,sink,z0_shortest_path
1,2184483,1300190,4
2,3151356,1452193,3
3,1579396,193159,4
4,1406432,2481036,3
5,2389638,593017,3
6,228206,212805,2
7,1237964,879115,3
8,3318124,1840575,3
9,4522929,1552625,3
10,3406737,3781412,4
11,1567983,3008412,3
12,4370932,2906415,3
13,286240,474307,4
14,4796773,3115614,3
15,2207765,4354226,3
16,1283384,279636,4
17,368544,2431466,3
18,3921857,4512147,4
19,49037,3175009,3
20,61633,1064392,3
21,1459453,654182,4
22,447597,2736867,4
23,2121585,3413796,4
24,933347,1131654,3
25,3733033,488937,4
26,3023014,2817859,3
27,1404783,410037,4
28,1886158,3656408,3
29,3316731,4579088,2
30,2369031,1860112,3
31,2850334,755258,4
32,4606553,2879440,4
33,3013323,2064734,3
34,1653770,1190291,3
35,4540325,202508,4
36,4189431,4404645,3
37,1590268,3824559,4
38,2717491,421433,4
39,71500,2156609,4
40,2422900,325927,4
41,784291,4194667,3
42,3836480,4207316,3
43,2570161,3824301,4
44,2574465,1663756,2
45,195757,4324049,3
46,3501584,624570,3
47,2342205,3520804,4
48,2067826,727427,3
49,4787138,2365654,3
50,2907109,1536763,3
51,2979388,2811074,3
52,2773866,3562714,3
53,3467832,3446682,3
54,209191,3142365,3
55,1630356,2157727,4
56,662368,853327,3
57,3151576,4278188,3
58,2671870,4797151,4
59,3536080,614747,3
60,2541283,1592987,3
61,3848381,903626,3
62,811898,3593324,4
63,231650,4016607,3
64,1305368,3362916,4
65,3275981,2183299,4
66,3863858,4710588,3
67,938826,4543397,3
68,4705108,2629120,4
69,617435,2721940,3
70,2022904,1202849,3
71,4797294,3735230,4
72,2450052,2549546,3
73,24523,497993,4
74,4576342,1043689,3
75,1875903,2638090,3
76,930131,1305103,3
77,3872353,2516690,2
78,217062,20388,2
79,1628755,1120745,3
80,4033899,2555403,3
81,4600810,4690043,3
82,2852252,3901568,3
83,4128817,963520,3
84,4603833,3538910,4
85,2665129,694605,4
86,2506289,2034494,4
87,3755683,4027183,4
88,281045,1477566,2
89,525339,4345638,3
90,2872550,3571822,4
91,3996001,1317062,4
92,1630993,2942968,4
93,3519436,273127,4
94,1072548,4516657,3
95,3385377,21536,3
96,1698628,4155714,4
97,3421725,3521843,2
98,2930692,138960,4
99,3738701,228193,4
100,1729154,1781627,4
101,3763685,3856235,4
102,2141424,1303746,5
103,4842336,3181505,3
104,258948,1471608,4
105,721572,98932,3
106,1943690,492035,2
107,3345713,3762682,4
108,2924614,3377440,3
109,4112224,1051087,4
110,4110767,2609871,4
111,3922567,307495,4
112,558917,3683147,3
113,678764,1677837,3
114,4064525,2308522,4
115,2628408,2510362,3
116,4088436,483355,4
117,4294640,2123719,3
118,1062857,1809556,4
119,3287551,3077116,4
120,2921487,2416082,4
121,2206017,4727122,3
122,1601895,4424787,3
123,4538043,4347620,2
124,2494024,1709398,3
125,2380958,648703,3
126,3786904,871332,4
127,2705657,852814,3
128,2867762,2832683,4
129,4814135,2585300,4
130,1488632,297642,3
131,1789514,2955720,4
132,309474,3636323,3
133,4115547,879781,3
134,4771179,77677,4
135,1541973,2681572,4
136,660741,517853,3
137,4483428,1765722,4
138,2190643,2947163,3
139,2519581,3743967,3
140,4202801,710142,4
141,3417866,1598643,4
142,697388,943197,3
143,3899173,1397388,5
144,3150672,3974467,4
145,4449837,3538291,3
146,35548,3549289,3
147,2707088,2136581,4
148,1586232,3610552,2
149,1735883,1901143,3
150,2968005,1495600,3
151,2873622,3664409,4
152,3691603,3188162,3
153,1655116,365416,3
154,2312268,4219994,3
155,2349671,204712,4
156,1026366,792812,3
157,3417564,2307183,3
158,3687290,1281414,4
159,3327760,600051,4
160,1299905,4474903,4
161,3881924,783583,3
162,111970,2294803,3
163,3736271,433745,4
164,2807537,2703992,4
165,934509,1653156,4
166,4662733,4764472,3
167,1486892,237461,4
168,3026000,4750153,3
169,2436861,4683579,3
170,2295601,494551,5
171,2333576,4066830,3
172,1599720,3262474,3
173,600846,64799,3
174,1285894,2023333,3
175,1590882,971074,3
176,357381,908061,4
177,2345122,743875,3
178,1164538,4273253,3
179,4624816,1789251,4
180,470204,3779626,3
181,2266717,1367613,4
182,2826267,928903,3
183,275804,1725270,3
184,3980329,4675165,2
185,41540,1437899,2
186,1810899,2882556,3
187,1230845,2027917,4
188,2472742,3567788,4
189,4174076,5480,3
190,4819127,543061,3
191,1512639,1757836,2
192,594370,207942,4
193,4066375,4645447,3
194,1326339,639157,3
195,1429554,3308151,4
196,2622002,3723250,5
197,3341679,524043,3
198,2241048,4039025,3
199,2529024,1545613,4
200,644069,2596251,3
201,1813318,1054633,3
202,3655158,37400,3
203,3418483,362485,4
204,408243,4594685,3
205,2105491,3781492,4
206,738704,4658228,3
207,2535426,1266511,3
208,3014450,2569650,3
209,2635308,3237136,4
210,2749135,3229933,2
211,1147295,4463463,4
212,495613,3009965,4
213,1376558,291125,4
214,2021517,4634127,3
215,4519174,520390,3
216,604125,4360758,3
217,3828465,3963629,4
218,2957639,4578655,3
219,4325972,1755579,3
220,1039233,3674322,4
221,1901862,4840530,3
222,2408015,1321954,3
223,4781379,52592,3
224,4583761,4572486,2
225,1476555,4751012,3
226,1636856,4208957,2
227,2038215,4162950,3
228,4216378,2118739,2
229,1136996,3640654,3
230,4178366,3164163,4
231,986629,3346537,3
232,2303520,663713,3
233,4708115,738568,4
234,3769409,1960538,3
235,2844371,3392930,3
236,1320291,3768226,4
237,1817011,3254390,4
238,3337956,1186643,3
239,414390,2341215,4
240,1185153,4799044,4
241,4182445,4255166,4
242,1429988,4034214,4
243,784476,4743804,2
244,1567741,2167167,4
245,378193,3858906,3
246,3193737,852669,3
247,222154,1096330,2
248,837136,4092142,3
249,3001803,1421121,4
250,4497472,970834,5
251,78652,876913,3
252,1740390,2913793,3
253,4608977,2576561,4
254,2146076,3373346,4
255,4043972,3448830,3
256,2066994,3418202,3
257,559972,3695276,4
258,2427345,214090,4
259,1635607,4683806,4
260,4435111,1900279,4
261,541055,1731912,3
262,1745528,2194526,3
263,754926,762964,3
264,2093716,3996594,3
265,4640383,987793,3
266,4298408,420656,3
267,4725488,1747009,2
268,2264477,2991814,3
269,4421319,4161763,3
270,4007453,1159092,4
271,2690596,3915235,3
272,3602451,2065513,3
273,504324,2747208,3
274,30083,1972008,4
275,1025903,2722816,3
276,2607838,4292513,3
277,132853,1928713,3
278,1841790,1805282,4
279,699145,2039550,3
280,1632938,2917594,4
281,740264,775607,3
282,2326042,3593013,3
283,2597890,4398241,4
284,4347620,3709618,4
285,2956481,3808878,3
286,2421138,2173151,2
287,3325878,3941234,3
288,3969780,3375372,5
289,641527,2264701,3
290,3750870,214372,4
291,3136757,2292933,4
292,194271,4138613,4
293,4837795,2032867,3
294,4532809,3889649,4
295,2019222,2153519,5
296,1047207,311498,3
297,2970262,1729215,2
298,1221209,2747564,5
299,268995,1173364,5
300,4427946,1339329,3
301,1607490,654860,3
302,1460872,4581556,3
303,2019845,4577899,4
304,1704367,3164073,3
305,2745910,3104940,2
306,2133929,3867352,4
307,3871942,4799962,3
308,3257910,588337,3
309,765302,2762989,3
310,3960835,4669648,3
311,2629112,1529484,3
312,2073048,421699,4
313,4524669,2949748,3
314,144060,3080263,3
315,3764504,3328639,3
316,433097,4052222,3
317,1986630,2951260,4
318,2398278,209191,2
319,1974705,1581879,4
