0,source,sink,in_degree_b
1,4066935,2828522,28
2,20388,3492899,1
3,20388,4488954,5
4,20388,3242265,2
5,20388,4766028,1
6,20388,2326484,3
7,20388,2302885,1
8,20388,1473459,2
9,20388,225508,1
10,20388,1425537,2
11,20388,3944848,1
12,20388,4750464,1
13,20388,3341653,1
14,20388,4070850,1
15,20388,2431464,1
16,20388,2695003,1
17,20388,2465215,1
18,20388,4853794,11
19,20388,2733370,1
20,20388,4807564,1
21,20388,4360867,2
22,20388,4449564,2
23,20388,4565286,1
24,20388,423727,4
25,20388,958787,1
26,20388,2794784,1
27,20388,4271851,2
28,20388,3781148,1
29,20388,395178,1
30,20388,4697814,2
31,20388,3857206,4
32,20388,3463919,30
33,20388,1798709,2
34,20388,1924325,1
35,20388,4507890,1
36,20388,2695521,16
37,20388,2356860,2
38,20388,3073163,2
39,20388,679735,2
40,20388,1711438,1
41,20388,506738,1
42,20388,2503234,1
43,20388,347688,1
44,20388,2357977,2
45,20388,1360074,1
46,20388,3128695,2
47,20388,3851031,1
48,20388,1711976,3
49,20388,23956,1
50,20388,3389578,1
51,20388,1088742,1
52,20388,4115374,2
53,20388,3382171,9
54,20388,1166943,2
55,20388,2943688,1
56,20388,3273076,1
57,20388,676659,2
58,20388,4356881,2
59,20388,2954010,1
60,20388,2538254,1
61,20388,3359696,1
62,20388,3289082,1
63,20388,3179756,2
64,20388,3956990,1
65,20388,1955532,1
66,20388,4051252,1
67,20388,3908740,1
68,20388,2707984,3
69,20388,1491328,4
70,20388,323352,1
71,20388,884738,5
72,20388,1101880,1
73,20388,1306131,1
74,20388,3341250,1
75,20388,3331381,2
76,20388,3417355,3
77,20388,4295295,1
78,20388,3835090,1
79,20388,822737,1
80,20388,2388187,1
81,20388,1767208,1
82,20388,2771496,1
83,20388,86910,1
84,20388,2731871,1
85,20388,468099,1
86,20388,3909005,2
87,20388,3756882,3
88,20388,824730,308
89,20388,3057969,1
90,20388,868392,1
91,20388,616772,1
92,20388,1458181,1
93,20388,410232,1
94,20388,919576,3
95,20388,3996526,1
96,20388,421394,1
97,20388,275326,1
98,20388,3893029,1
99,20388,1163916,1
100,20388,4364665,68
101,20388,542663,1
102,20388,3935187,1
103,20388,2210851,3
104,20388,2721719,1
105,20388,2784391,3
106,20388,1559789,1
107,20388,997017,1
108,20388,2054625,1
109,20388,1053014,1
110,20388,1349937,1
111,20388,60279,1
112,20388,3593515,1
113,20388,1243565,1
114,20388,4372688,1
115,20388,2161761,2
116,20388,2147475,2
117,20388,1897952,1
118,20388,487327,2
119,20388,2942906,1
120,20388,981795,1
121,20388,3767106,1
122,20388,4186919,1
123,20388,2847036,2
124,20388,341032,3
125,20388,4643167,3
126,20388,1802593,1
127,20388,3780712,1
128,20388,1150057,1
129,20388,2029029,1
130,20388,2449819,1
131,20388,760018,2
132,20388,3525593,2
133,20388,1931230,1
134,20388,4517428,2
135,20388,2004177,3
136,20388,2371352,1
137,20388,2424232,1
138,20388,1413696,1
139,20388,370128,2
140,20388,689121,2
141,20388,1629223,1
142,20388,4253784,61
143,20388,287554,1
144,20388,3278320,1
145,20388,2190955,1
146,20388,1210441,2
147,20388,4011825,2
148,20388,598936,1
149,20388,4240480,1
150,20388,4613792,1
151,20388,1885427,1
152,20388,3720409,2
153,20388,998836,1
