0,source,sink,in_out_degree_b
1,4066935,2828522,1.0769230355029602
2,20388,3492899,1000000.0
3,20388,4488954,5000000.0
4,20388,3242265,2000000.0
5,20388,4766028,1000000.0
6,20388,2326484,3000000.0
7,20388,2302885,1000000.0
8,20388,1473459,2000000.0
9,20388,225508,1000000.0
10,20388,1425537,2000000.0
11,20388,3944848,1000000.0
12,20388,4750464,1000000.0
13,20388,3341653,1000000.0
14,20388,4070850,1000000.0
15,20388,2431464,1000000.0
16,20388,2695003,1000000.0
17,20388,2465215,1000000.0
18,20388,4853794,11000000.0
19,20388,2733370,1000000.0
20,20388,4807564,1000000.0
21,20388,4360867,2000000.0
22,20388,4449564,2000000.0
23,20388,4565286,1000000.0
24,20388,423727,4000000.0
25,20388,958787,1000000.0
26,20388,2794784,1000000.0
27,20388,4271851,2000000.0
28,20388,3781148,1000000.0
29,20388,395178,1000000.0
30,20388,4697814,2000000.0
31,20388,3857206,4000000.0
32,20388,3463919,30000000.0
33,20388,1798709,2000000.0
34,20388,1924325,1000000.0
35,20388,4507890,1000000.0
36,20388,2695521,16000000.0
37,20388,2356860,2000000.0
38,20388,3073163,2000000.0
39,20388,679735,2000000.0
40,20388,1711438,1000000.0
41,20388,506738,1000000.0
42,20388,2503234,1000000.0
43,20388,347688,1000000.0
44,20388,2357977,2000000.0
45,20388,1360074,1000000.0
46,20388,3128695,2000000.0
47,20388,3851031,1000000.0
48,20388,1711976,3000000.0
49,20388,23956,1000000.0
50,20388,3389578,1000000.0
51,20388,1088742,1000000.0
52,20388,4115374,2000000.0
53,20388,3382171,9000000.0
54,20388,1166943,2000000.0
55,20388,2943688,1000000.0
56,20388,3273076,1000000.0
57,20388,676659,2000000.0
58,20388,4356881,2000000.0
59,20388,2954010,1000000.0
60,20388,2538254,1000000.0
61,20388,3359696,1000000.0
62,20388,3289082,1000000.0
63,20388,3179756,2000000.0
64,20388,3956990,1000000.0
65,20388,1955532,1000000.0
66,20388,4051252,1000000.0
67,20388,3908740,1000000.0
68,20388,2707984,3000000.0
69,20388,1491328,4000000.0
70,20388,323352,1000000.0
71,20388,884738,5000000.0
72,20388,1101880,1000000.0
73,20388,1306131,1000000.0
74,20388,3341250,1000000.0
75,20388,3331381,2000000.0
76,20388,3417355,3000000.0
77,20388,4295295,1000000.0
78,20388,3835090,1000000.0
79,20388,822737,1000000.0
80,20388,2388187,1000000.0
81,20388,1767208,1000000.0
82,20388,2771496,1000000.0
83,20388,86910,1000000.0
84,20388,2731871,1000000.0
