0,source,sink,jaccard_coefficient
1,1328064,3679178,0.013693693693693694
2,3408035,3219451,0.06097560975609756
3,1778002,4094712,0.015584415584415584
4,149178,3641949,0.0
5,3115958,388986,0.023255813953488372
6,4428000,2754418,0.0
7,2501340,2489803,0.013916500994035786
8,3667996,3139729,0.04081632653061224
9,748601,2124082,0.07692307692307693
10,2289353,3922180,0.006910167818361303
11,3283631,3790474,0.0411522633744856
12,579087,4864718,0.0
13,916282,4220051,0.018518518518518517
14,3257141,3325131,0.005847953216374269
15,4553290,3791544,0.019704433497536946
16,1548572,204580,0.001838235294117647
17,1482102,4226190,0.0170316301703163
18,4558830,2945485,0.17073170731707318
19,621507,3927116,0.03583617747440273
20,2646810,1020659,0.0
21,540885,4357361,0.0
22,4384804,1239560,0.007346938775510204
23,3293710,1988104,0.0
24,3987555,1690452,0.013422818791946308
25,190960,4311061,0.0
26,1606939,680335,8.147303242626691e-05
27,3156079,242071,0.14864864864864866
28,3657101,3790534,0.0011899542807039518
29,3528096,3075173,0.006231551328304362
30,3741309,1470927,0.01662971175166297
31,330829,468933,0.010752688172043012
32,1272125,1349133,0.046511627906976744
33,869285,812719,0.0
34,1383804,3839572,0.09978308026030369
35,3385377,251847,0.013071895424836602
36,2259534,2438108,0.0
37,551818,4531145,0.027247956403269755
38,2671829,997866,0.0
39,3643728,4187899,0.0072992700729927005
40,1719681,4779581,0.0
41,3939243,1380921,0.019878166078871433
42,3825120,2809458,4.742625217786342e-05
43,1055448,1641529,0.018789144050104383
44,4076988,3540532,0.012030075187969926
45,3889805,603001,0.02247191011235955
46,1313009,425372,0.004291845493562232
47,1625773,3115471,0.05354969574036511
48,530761,4096612,3.764807120863754e-05
49,2688609,778318,0.0027210884353741495
50,4523333,3071636,0.0
51,4143253,4739579,0.014084507042253521
52,161137,4613434,0.02857142857142857
53,2506971,4290833,0.0
54,817452,1724530,0.0
55,4289980,2290977,0.0
56,2635155,4406034,0.014388489208633094
57,3700536,1515999,0.013953488372093023
58,4261799,4257590,0.04861111111111111
59,3218203,62113,0.024793388429752067
60,334461,882814,0.010036978341257264
61,743085,3221949,0.43243243243243246
62,3928706,2730086,0.0
63,3318237,4790245,0.0
64,3184222,2203730,0.018915510718789406
65,4274919,458869,0.0
66,2031470,2135899,0.013852048334806955
67,1132916,104662,0.012987012987012988
68,2899933,1023717,0.0
69,2131627,3204799,0.0013934854554955582
70,143220,119228,0.03571428571428571
71,659469,1804528,0.0
72,2864777,4338398,0.019569471624266144
73,2752756,3243447,0.008670520231213872
74,4787138,1450031,0.13978494623655913
75,3891364,3883024,0.0049261083743842365
76,2213689,1400706,0.10666666666666667
77,3723633,4175820,0.01929260450160772
78,4832741,4063856,0.016666666666666666
79,1122,984459,0.07532467532467532
80,510935,4736821,0.0
81,4719740,1105301,0.04597701149425287
82,1648097,2880329,0.018505825908156272
83,3144014,2558807,0.012195121951219513
84,3804990,950597,0.007352941176470588
85,3203747,2302064,0.2
86,2139167,2437632,0.0
87,1359330,2337881,0.0013360053440213762
88,4418116,1395863,0.015267175572519083
89,752405,4016274,0.015151515151515152
90,4418154,2578793,0.005681818181818182
91,1244565,4126893,0.0047169811320754715
92,3300111,245819,0.018475750577367205
93,3144,2868440,0.09286898839137644
94,4118493,1438067,0.012968967114404817
95,2506971,3317934,0.02844141069397042
96,3045222,2984603,0.003048694158399955
97,3213642,1788881,0.0
98,1480185,4792640,0.015043547110055424
99,2416271,4443281,0.03409090909090909
100,4180822,4793644,0.019801980198019802
101,521794,4162835,0.0
102,264132,441367,0.004878048780487805
103,2559219,3920639,0.0
104,3755255,4319703,0.011400651465798045
105,1635500,3921120,0.0022123893805309734
106,4820741,3818906,0.0
107,1961825,3530075,0.025
108,1565517,1184312,0.011560693641618497
109,840219,1143637,0.000819672131147541
110,3201162,4005328,0.0
111,1006107,3201058,0.0
112,1751017,4861559,0.0
113,2126605,2180464,0.0
114,3077171,2226572,0.012195121951219513
115,812338,4844871,0.010309278350515464
116,4230186,4137307,0.05394190871369295
117,3532343,2650447,3.338117969089028e-05
118,1126130,160891,0.006560449859418931
119,451378,3774281,3.793338896897049e-05
120,453003,376424,0.037037037037037035
121,19451,3111141,0.004615384615384616
122,3638601,1793500,0.026392961876832845
123,1950599,1009060,0.015873015873015872
124,4332042,3257170,0.0
125,482013,3579983,0.014035087719298246
126,1943454,3689782,0.005955603681645912
127,4413981,4833817,0.0
128,4014047,1136778,0.000946073793755913
129,1561394,1927555,0.013888888888888888
130,3586613,1228736,0.0025265285497726125
131,1984044,4476596,0.004319654427645789
132,697564,50158,0.017901234567901235
133,4700329,3283432,0.03587786259541985
134,3362628,20388,6.162221126716244e-05
135,3559634,1209622,0.0
136,4612494,3281822,0.008830022075055188
137,331274,2249595,0.11611785095320624
138,3290884,3881983,0.0
139,2977223,4109291,0.0006691947356680794
140,2591437,1789565,0.0
141,702335,4751012,0.04598405885959534
142,1859993,3188099,0.0
143,1443414,1154944,0.022670025188916875
144,4067295,2795881,0.05019305019305019
145,2427217,74682,0.020833333333333332
146,1120411,4477188,0.0
147,1954009,1779762,0.0
148,2424197,458887,0.046357615894039736
149,3225341,2010664,0.0
150,4414997,2582486,0.00338409475465313
151,3313467,3478637,0.009623095429029671
152,640373,4795705,0.017195767195767195
153,547021,366864,0.0
154,3739969,4310029,0.0022701475595913734
155,1057680,4168027,0.012711864406779662
156,2181364,4586866,0.003966754816773706
157,3511222,1004233,0.16563146997929606
158,2985668,3025121,0.01610305958132045
159,4114236,3761153,0.012658227848101266
160,1273418,2159250,0.004066877541798464
161,654563,4087577,0.0
162,4146884,3352404,0.004629629629629629
163,3976159,3009133,0.0005089058524173028
164,323965,193093,0.0
165,4311722,1753978,0.0167427701674277
166,1818698,3704407,0.008333333333333333
167,2162620,4423930,0.0
168,653234,1723138,0.0
169,871688,113821,0.05
170,3519166,730998,0.0175054704595186
171,696010,3600865,0.0
172,3849752,754077,0.009404388714733543
173,352555,4394409,0.09433962264150944
174,4745442,3063778,0.002472187886279357
175,1300583,2871701,0.0
176,3220267,2383579,0.06802721088435375
177,4315961,2678379,0.208
178,1459605,1989693,0.016409266409266408
179,953777,2505146,0.01962809917355372
180,3979764,1776383,0.0
181,758145,2560532,0.0
182,4529968,3172548,0.022262334536702767
183,813834,2306581,0.0
184,268979,15583,0.0
185,3360177,190135,0.005988023952095809
186,2878277,2857848,0.07017543859649122
187,1792282,2791079,0.0
188,3819528,4613147,0.001649620587264929
189,2609436,4831688,0.05647382920110193
190,3000657,1364265,0.043777668470241025
191,4846160,1111515,0.11229946524064172
192,1784444,895856,0.0125
193,2814406,1916798,0.0
194,2112791,3534144,0.0
195,3218124,2859615,0.002386634844868735
196,1827920,3076046,0.02180232558139535
197,2557232,1747172,0.003857131836766181
198,4522523,4386169,0.06349206349206349
199,4673872,960120,0.008742683559309477
200,2135471,2849755,0.0
201,1062590,1247007,0.014126149802890934
202,4556922,2420235,0.014236410698878344
203,1240857,909674,0.2777777777777778
204,3989827,3166659,0.00980392156862745
205,220956,2862017,0.034761519805982216
206,41996,3465628,0.005946481665014866
207,201146,3926875,0.0
208,3035063,1565469,0.005172413793103448
209,1160949,1565469,0.011428571428571429
210,3183860,4109816,0.02119460500963391
211,4621317,3713991,0.016129032258064516
212,638873,1844409,0.008088978766430738
213,1876529,1351949,0.00554016620498615
214,4566997,4514481,0.0
215,3115786,4347727,0.017513134851138354
216,3503651,2409176,0.005108556832694764
217,3648705,3367608,0.18181818181818182
218,1537715,1341124,0.01904761904761905
219,831453,122016,0.08450704225352113
220,1429183,3247415,0.01
221,4579537,3799178,0.18764302059496568
222,169650,1856116,0.0
223,960790,3067078,0.1588861588861589
224,3102958,2702637,0.00468384074941452
225,4843952,3889805,0.016611295681063124
226,907892,2320538,0.03614457831325301
227,3332350,2863811,0.0035746201966041107
228,4862682,3375317,0.0025380710659898475
229,4732222,3013417,0.0011420740063956144
230,4742300,4400515,0.002181818181818182
231,1200055,970441,0.01549053356282272
232,2411192,575372,0.0
233,846393,3611163,0.0029585798816568047
234,3228963,3740055,0.0
235,1651539,559732,0.01092896174863388
236,2098473,14202,0.02127659574468085
237,598650,1204624,0.0392156862745098
238,4093979,4863182,0.02265625
239,483091,4337184,0.015765765765765764
240,2077025,799040,0.0
241,699366,2497380,0.0044444444444444444
242,402005,1558394,0.0687960687960688
243,1635607,4058041,0.006756756756756757
244,4789443,124654,0.0
245,2597890,3167298,0.008620689655172414
246,2390420,4116301,0.0
247,2602854,3609187,0.0024096385542168677
248,4709481,4283234,0.0
249,1327905,3553485,0.00020082673673288372
250,1295223,614768,0.04861773117254528
251,3044382,104806,0.03571428571428571
252,3320731,1853137,0.0
253,3265042,2821412,0.0
254,3072308,269841,0.020551144325081736
255,1174,683529,0.010452961672473868
256,649203,1467047,0.0
257,4764268,1114409,0.0030864197530864196
258,4357352,3501099,0.009624639076034648
259,1942858,4502795,0.005952380952380952
260,2502918,2689599,0.016666666666666666
261,4700248,4278467,0.0
262,4564989,4451008,0.012430939226519336
263,2001062,1196225,0.010265183917878529
264,3280393,1165110,0.0
265,1727502,34992,0.07751937984496124
266,4550525,4776193,0.05859375
267,43264,2332893,0.006566604127579738
268,1737080,3616458,0.08634538152610442
269,122041,142496,0.15417558886509636
270,2646333,1672636,0.007194244604316547
271,1742701,2970071,0.14746543778801843
272,3293255,833637,0.07389162561576355
273,1780606,2262636,0.12
274,1345570,2824526,0.0034129692832764505
275,2887828,1690852,0.00396163469557965
276,38947,3108211,0.024844720496894408
277,1013242,4077123,0.0
278,839043,2692611,0.002932551319648094
279,371635,156875,0.02564102564102564
280,3011952,4720585,0.05366847826086957
281,3638601,2129705,0.01182033096926714
282,3708904,2079990,0.029490616621983913
283,241387,1059358,0.009002770083102494
284,40248,1127656,0.02531645569620253
285,987263,2478602,0.003770028275212064
286,1879363,4654996,0.0020161290322580645
287,2950460,1294552,0.02857142857142857
288,2695168,3951022,0.029239766081871343
289,3961269,728145,0.0
290,3028026,4119951,0.011142061281337047
291,1616100,902731,0.0028197047603250956
292,3212185,37950,0.0
293,615572,2930986,0.00034275921165381317
294,2824613,4085345,0.0
295,3014991,821405,0.0
296,2080615,2393,0.09792284866468842
297,3675243,622762,0.029182879377431907
298,947762,2764726,0.0
299,596458,360372,0.17391304347826086
300,785634,4458764,0.006644518272425249
301,3701577,463578,0.07509881422924901
302,1567929,1000,0.004205607476635514
303,1912792,3080932,0.006402048655569782
304,4231030,1132916,0.23880597014925373
305,3026988,2133291,0.004901960784313725
306,2837576,2427238,0.0
307,2985401,3587358,0.005952380952380952
308,838983,799253,0.0005570144028009867
309,4525307,3762216,0.10071942446043165
310,3651080,1922246,0.016216216216216217
311,667134,1781711,0.004807692307692308
312,2676205,3132930,0.01639344262295082
313,4225721,2019650,0.011500862564692352
314,540450,4629997,0.010321100917431193
315,2483244,3602926,0.014114832535885167
316,1735998,4810297,0.0037593984962406013
317,4306167,603449,0.0
318,375480,2152962,0.04233983286908078
319,3180301,1013242,0.017595307917888565
320,935185,2126374,0.006329113924050633
321,363438,848620,0.0004108182129407737
322,116337,1529538,0.015503875968992248
323,902881,1494526,0.004552352048558422
324,3041683,2404217,0.043010752688172046
325,3497766,800910,0.005154639175257732
326,4472132,593309,0.007194244604316547
327,2634508,4247346,0.004975124378109453
328,1389619,2878362,0.0
329,4340194,2322663,0.02796271637816245
330,2602154,1025339,0.0008703220191470844
331,1403344,937234,0.01694915254237288
332,1886723,3571324,0.0005913660555884093
333,2843784,585327,0.0
334,1440901,3514834,0.02757964812173086
335,2151302,4808211,0.0035650623885918
336,2610700,736798,0.0022624434389140274
337,3589489,65638,0.005594405594405594
338,3716377,1305585,0.0
339,3097604,1624964,0.0010664125428266739
340,274784,3668306,0.007228915662650603
341,2603652,686964,0.0
342,1294974,1085701,0.013282732447817837
343,2037264,3701516,0.002826539720321333
344,2795225,4791127,0.0449438202247191
345,3122389,475690,0.11428571428571428
346,1910873,3734722,0.029411764705882353
347,161389,471991,0.008403361344537815
348,228846,2147948,0.004629629629629629
349,1095970,4364508,0.0
350,1129376,4673214,0.0024630541871921183
351,3083253,3252172,0.025024061597690085
352,3795380,84920,0.00847457627118644
353,4472132,778318,0.006675567423230975
354,4027528,2512220,0.0037174721189591076
355,4509912,3363781,0.0
356,3606552,3485884,0.03225806451612903
357,2071061,217062,0.05
358,1287168,3017206,0.009165083268134571
359,244854,754891,0.013513513513513514
360,4085623,4488362,0.003745318352059925
361,2985668,2730949,0.0
362,2434952,1619400,0.0014986886474334957
363,4014664,3005882,0.0
364,1132039,1284166,0.0
365,1063377,1989026,0.0032535885167464117
366,3114061,257104,0.011549566891241578
367,201208,49768,0.0
368,574695,230446,0.0003889753278506335
369,4549398,1689039,0.04361370716510903
370,4600134,4499634,0.07017543859649122
371,3763337,1257051,0.0037354562155541946
372,4787393,3465103,0.0
373,4633577,2946725,0.0055248618784530384
