0,source,sink,out_degree_a
1,1328064,3679178,6
2,3408035,3219451,342
3,1778002,4094712,695
4,149178,3641949,36
5,3115958,388986,485
6,4428000,2754418,1053
7,2501340,2489803,50
8,3667996,3139729,91
9,748601,2124082,93
10,2289353,3922180,960
11,3283631,3790474,301
12,579087,4864718,71
13,916282,4220051,31
14,3257141,3325131,86
15,4553290,3791544,139
16,1548572,204580,159
17,1482102,4226190,90
18,4558830,2945485,148
19,621507,3927116,493
20,2646810,1020659,39
21,540885,4357361,524
22,4384804,1239560,907
23,3293710,1988104,116
24,3987555,1690452,2
25,190960,4311061,1
26,1606939,680335,12240
27,3156079,242071,22
28,3657101,3790534,15948
29,3528096,3075173,3
30,3741309,1470927,451
31,330829,468933,35
32,1272125,1349133,20
33,869285,812719,40
34,1383804,3839572,81
35,3385377,251847,279
36,2259534,2438108,88
37,551818,4531145,144
38,2671829,997866,298
39,3643728,4187899,3
40,1719681,4779581,55
41,3939243,1380921,738
42,3825120,2809458,156
43,1055448,1641529,370
44,4076988,3540532,134
45,3889805,603001,85
46,1313009,425372,224
47,1625773,3115471,496
48,530761,4096612,202
49,2688609,778318,105
50,4523333,3071636,48
51,4143253,4739579,55
52,161137,4613434,168
53,2506971,4290833,173
54,817452,1724530,46
55,4289980,2290977,27
56,2635155,4406034,2
57,3700536,1515999,1665
58,4261799,4257590,134
59,3218203,62113,170
60,334461,882814,1750
61,743085,3221949,24
62,3928706,2730086,505
63,3318237,4790245,662
64,3184222,2203730,485
65,4274919,458869,322
66,2031470,2135899,281
67,1132916,104662,51
68,2899933,1023717,19
69,2131627,3204799,5715
70,143220,119228,24
71,659469,1804528,73
72,2864777,4338398,404
73,2752756,3243447,300
74,4787138,1450031,78
75,3891364,3883024,40
76,2213689,1400706,58
77,3723633,4175820,280
78,4832741,4063856,195
79,1122,984459,1012
80,510935,4736821,2436
81,4719740,1105301,99
82,1648097,2880329,274
83,3144014,2558807,848
84,3804990,950597,366
85,3203747,2302064,7
86,2139167,2437632,187
87,1359330,2337881,1453
88,4418116,1395863,183
89,752405,4016274,180
90,4418154,2578793,11
91,1244565,4126893,151
92,3300111,245819,403
93,3144,2868440,75
94,4118493,1438067,158
95,2506971,3317934,173
96,3045222,2984603,109
97,3213642,1788881,5367
98,1480185,4792640,637
99,2416271,4443281,271
100,4180822,4793644,82
101,521794,4162835,249
102,264132,441367,154
103,2559219,3920639,57
104,3755255,4319703,485
105,1635500,3921120,392
106,4820741,3818906,132
107,1961825,3530075,242
108,1565517,1184312,123
109,840219,1143637,1210
110,3201162,4005328,86
111,1006107,3201058,53
112,1751017,4861559,25
113,2126605,2180464,53
114,3077171,2226572,10
115,812338,4844871,90
116,4230186,4137307,114
117,3532343,2650447,60
118,1126130,160891,1054
119,451378,3774281,26018
120,453003,376424,230
121,19451,3111141,265
122,3638601,1793500,56
123,1950599,1009060,408
124,4332042,3257170,60
125,482013,3579983,222
126,1943454,3689782,1809
127,4413981,4833817,128
128,4014047,1136778,1026
129,1561394,1927555,103
130,3586613,1228736,92
131,1984044,4476596,39
132,697564,50158,1394
133,4700329,3283432,1153
134,3362628,20388,98
135,3559634,1209622,88
136,4612494,3281822,322
137,331274,2249595,310
138,3290884,3881983,577
139,2977223,4109291,31367
140,2591437,1789565,370
141,702335,4751012,16
142,1859993,3188099,1
143,1443414,1154944,181
144,4067295,2795881,128
145,2427217,74682,23
146,1120411,4477188,10
147,1954009,1779762,34
148,2424197,458887,105
149,3225341,2010664,166
150,4414997,2582486,47
151,3313467,3478637,1179
152,640373,4795705,705
153,547021,366864,541
154,3739969,4310029,166
155,1057680,4168027,213
156,2181364,4586866,43
157,3511222,1004233,567
158,2985668,3025121,99
159,4114236,3761153,73
160,1273418,2159250,8777
161,654563,4087577,34
162,4146884,3352404,208
163,3976159,3009133,3856
164,323965,193093,39
165,4311722,1753978,1232
166,1818698,3704407,112
167,2162620,4423930,282
168,653234,1723138,33
169,871688,113821,55
170,3519166,730998,336
171,696010,3600865,187
172,3849752,754077,555
173,352555,4394409,55
174,4745442,3063778,781
175,1300583,2871701,243
176,3220267,2383579,116
177,4315961,2678379,31
178,1459605,1989693,243
179,953777,2505146,667
180,3979764,1776383,29
181,758145,2560532,35
182,4529968,3172548,1461
183,813834,2306581,4
184,268979,15583,149
185,3360177,190135,110
186,2878277,2857848,317
187,1792282,2791079,268
188,3819528,4613147,2945
189,2609436,4831688,49
190,3000657,1364265,201
191,4846160,1111515,85
192,1784444,895856,138
193,2814406,1916798,27
194,2112791,3534144,215
195,3218124,2859615,387
196,1827920,3076046,876
197,2557232,1747172,12913
198,4522523,4386169,6
199,4673872,960120,13123
200,2135471,2849755,258
201,1062590,1247007,2575
202,4556922,2420235,2001
203,1240857,909674,20
204,3989827,3166659,73
205,220956,2862017,43
206,41996,3465628,44
207,201146,3926875,128
208,3035063,1565469,34
209,1160949,1565469,78
210,3183860,4109816,182
211,4621317,3713991,53
212,638873,1844409,1915
213,1876529,1351949,239
214,4566997,4514481,128
215,3115786,4347727,235
216,3503651,2409176,757
217,3648705,3367608,35
218,1537715,1341124,262
219,831453,122016,50
220,1429183,3247415,67
221,4579537,3799178,3
222,169650,1856116,72
223,960790,3067078,25
224,3102958,2702637,374
225,4843952,3889805,47
226,907892,2320538,135
227,3332350,2863811,2167
228,4862682,3375317,33
229,4732222,3013417,4128
230,4742300,4400515,21
231,1200055,970441,489
232,2411192,575372,179
233,846393,3611163,300
234,3228963,3740055,122
