0,source,sink,out_degree_b
1,4066935,2828522,26
2,20388,3492899,0
3,20388,4488954,0
4,20388,3242265,0
5,20388,4766028,0
6,20388,2326484,0
7,20388,2302885,0
8,20388,1473459,0
9,20388,225508,0
10,20388,1425537,0
11,20388,3944848,0
12,20388,4750464,0
13,20388,3341653,0
14,20388,4070850,0
15,20388,2431464,0
16,20388,2695003,0
17,20388,2465215,0
18,20388,4853794,0
19,20388,2733370,0
20,20388,4807564,0
21,20388,4360867,0
22,20388,4449564,0
23,20388,4565286,0
24,20388,423727,0
25,20388,958787,0
26,20388,2794784,0
27,20388,4271851,0
28,20388,3781148,0
29,20388,395178,0
30,20388,4697814,0
31,20388,3857206,0
32,20388,3463919,0
33,20388,1798709,0
34,20388,1924325,0
35,20388,4507890,0
36,20388,2695521,0
37,20388,2356860,0
38,20388,3073163,0
39,20388,679735,0
40,20388,1711438,0
41,20388,506738,0
42,20388,2503234,0
43,20388,347688,0
44,20388,2357977,0
45,20388,1360074,0
46,20388,3128695,0
47,20388,3851031,0
48,20388,1711976,0
49,20388,23956,0
50,20388,3389578,0
51,20388,1088742,0
52,20388,4115374,0
53,20388,3382171,0
54,20388,1166943,0
55,20388,2943688,0
56,20388,3273076,0
57,20388,676659,0
58,20388,4356881,0
59,20388,2954010,0
60,20388,2538254,0
61,20388,3359696,0
62,20388,3289082,0
63,20388,3179756,0
64,20388,3956990,0
65,20388,1955532,0
66,20388,4051252,0
67,20388,3908740,0
68,20388,2707984,0
69,20388,1491328,0
70,20388,323352,0
71,20388,884738,0
72,20388,1101880,0
73,20388,1306131,0
74,20388,3341250,0
75,20388,3331381,0
76,20388,3417355,0
77,20388,4295295,0
78,20388,3835090,0
79,20388,822737,0
80,20388,2388187,0
81,20388,1767208,0
82,20388,2771496,0
83,20388,86910,0
84,20388,2731871,0
85,20388,468099,0
86,20388,3909005,0
87,20388,3756882,0
88,20388,824730,0
89,20388,3057969,0
90,20388,868392,0
91,20388,616772,0
92,20388,1458181,0
93,20388,410232,0
94,20388,919576,0
95,20388,3996526,0
96,20388,421394,0
97,20388,275326,0
98,20388,3893029,0
99,20388,1163916,0
100,20388,4364665,0
101,20388,542663,0
102,20388,3935187,0
103,20388,2210851,0
104,20388,2721719,0
105,20388,2784391,0
106,20388,1559789,0
107,20388,997017,0
108,20388,2054625,0
109,20388,1053014,0
110,20388,1349937,0
111,20388,60279,0
112,20388,3593515,0
113,20388,1243565,0
114,20388,4372688,0
115,20388,2161761,0
116,20388,2147475,0
117,20388,1897952,0
118,20388,487327,0
119,20388,2942906,0
120,20388,981795,0
121,20388,3767106,0
122,20388,4186919,0
123,20388,2847036,0
124,20388,341032,0
125,20388,4643167,0
126,20388,1802593,0
127,20388,3780712,0
128,20388,1150057,0
129,20388,2029029,0
130,20388,2449819,0
131,20388,760018,0
132,20388,3525593,0
133,20388,1931230,0
134,20388,4517428,0
135,20388,2004177,0
136,20388,2371352,0
137,20388,2424232,0
138,20388,1413696,0
139,20388,370128,0
140,20388,689121,0
141,20388,1629223,0
142,20388,4253784,0
143,20388,287554,0
144,20388,3278320,0
145,20388,2190955,0
146,20388,1210441,0
147,20388,4011825,0
148,20388,598936,0
149,20388,4240480,0
150,20388,4613792,0
151,20388,1885427,0
152,20388,3720409,0
153,20388,998836,0
154,20388,323459,0
155,20388,1148669,0
156,20388,1854112,0
157,20388,3648850,0
158,20388,4261977,0
159,20388,627802,0
160,20388,1063235,0
161,20388,1369608,0
162,20388,261014,0
163,20388,2472651,0
164,20388,1341153,0
165,20388,2910807,0
166,20388,2131756,0
167,20388,3543685,0
168,20388,4030505,0
169,20388,2659387,0
170,20388,4526030,0
171,20388,1466888,0
172,20388,4508700,0
173,20388,4092735,0
174,20388,4709508,0
175,20388,2968053,0
176,20388,991578,0
177,20388,3422510,0
178,20388,3441113,0
179,20388,939717,0
180,20388,244164,0
181,20388,3783127,0
182,20388,4735057,0
