0,source,sink,preferential_attachment
1,1328064,3679178,6862344
2,3408035,3219451,305345
3,1778002,4094712,611200
4,149178,3641949,760
5,3115958,388986,29355
6,4428000,2754418,1110
7,2501340,2489803,23409
8,3667996,3139729,576
9,748601,2124082,4655
10,2289353,3922180,13091
11,3283631,3790474,60040
12,579087,4864718,89
13,916282,4220051,6016
14,3257141,3325131,2772
15,4553290,3791544,8906
16,1548572,204580,61374
17,1482102,4226190,187624
18,4558830,2945485,64220
19,621507,3927116,53106
20,2646810,1020659,44
21,540885,4357361,12167
22,4384804,1239560,187968
23,3293710,1988104,125
24,3987555,1690452,2394
25,190960,4311061,24
26,1606939,680335,122650
27,3156079,242071,1386
28,3657101,3790534,510528
29,3528096,3075173,94147
30,3741309,1470927,209880
31,330829,468933,8436
32,1272125,1349133,5699
33,869285,812719,1312
34,1383804,3839572,36206
35,3385377,251847,51300
36,2259534,2438108,90
37,551818,4531145,13776
38,2671829,997866,909
39,3643728,4187899,4104
40,1719681,4779581,260
41,3939243,1380921,1858110
42,3825120,2809458,63276314
43,1055448,1641529,30636
44,4076988,3540532,14322
45,3889805,603001,4112
46,1313009,425372,1808
47,1625773,3115471,1435602
48,530761,4096612,77307568
49,2688609,778318,69486
50,4523333,3071636,2656
51,4143253,4739579,4455
52,161137,4613434,1044
53,2506971,4290833,181
54,817452,1724530,350
55,4289980,2290977,11222
56,2635155,4406034,548
57,3700536,1515999,131535
58,4261799,4257590,2278
59,3218203,62113,13260
60,334461,882814,157036
61,743085,3221949,700
62,3928706,2730086,3222
63,3318237,4790245,25346
64,3184222,2203730,152400
65,4274919,458869,2592
66,2031470,2135899,927775
67,1132916,104662,1352
68,2899933,1023717,1554
69,2131627,3204799,188628
70,143220,119228,825
71,659469,1804528,79
72,2864777,4338398,40138
73,2752756,3243447,13420
74,4787138,1450031,10875
75,3891364,3883024,56699
76,2213689,1400706,1216
77,3723633,4175820,6216
78,4832741,4063856,8484
79,1122,984459,2387120
80,510935,4736821,2497
81,4719740,1105301,36994
82,1648097,2880329,333960
83,3144014,2558807,45580
84,3804990,950597,7820
85,3203747,2302064,144
86,2139167,2437632,1880
87,1359330,2337881,39744
88,4418116,1395863,14773
89,752405,4016274,2790
90,4418154,2578793,33408
91,1244565,4126893,7560
92,3300111,245819,571808
93,3144,2868440,97650
94,4118493,1438067,326186
95,2506971,3317934,130863
96,3045222,2984603,41926104
97,3213642,1788881,32202
98,1480185,4792640,38781
99,2416271,4443281,13243
100,4180822,4793644,582
101,521794,4162835,270
102,264132,441367,7800
103,2559219,3920639,61
104,3755255,4319703,29588
105,1635500,3921120,3560
106,4820741,3818906,720
107,1961825,3530075,20300
108,1565517,1184312,516
109,840219,1143637,6080
110,3201162,4005328,90
111,1006107,3201058,354
112,1751017,4861559,168
113,2126605,2180464,1311
114,3077171,2226572,730
115,812338,4844871,465
116,4230186,4137307,49632
117,3532343,2650447,1823717
118,1126130,160891,20045
119,451378,3774281,237186
120,453003,376424,30523
121,19451,3111141,10812
122,3638601,1793500,25296
123,1950599,1009060,199975
124,4332042,3257170,328
125,482013,3579983,14874
126,1943454,3689782,69160
127,4413981,4833817,137
128,4014047,1136778,6312
129,1561394,1927555,4173
130,3586613,1228736,179455
131,1984044,4476596,78131
132,697564,50158,293538
133,4700329,3283432,207856
134,3362628,20388,77791014
135,3559634,1209622,7440
136,4612494,3281822,9570
137,331274,2249595,103684
138,3290884,3881983,589
139,2977223,4109291,1035177
140,2591437,1789565,389
141,702335,4751012,151528
142,1859993,3188099,64
143,1443414,1154944,41184
144,4067295,2795881,93564
145,2427217,74682,10860
146,1120411,4477188,11
147,1954009,1779762,38
148,2424197,458887,5512
149,3225341,2010664,171
150,4414997,2582486,53533
151,3313467,3478637,44028
152,640373,4795705,30534
153,547021,366864,3600
154,3739969,4310029,119572
155,1057680,4168027,3150
156,2181364,4586866,6369489
157,3511222,1004233,283480
158,2985668,3025121,61320
159,4114236,3761153,231
160,1273418,2159250,791820
161,654563,4087577,1224
162,4146884,3352404,642
163,3976159,3009133,15712
164,323965,193093,39
165,4311722,1753978,122463
166,1818698,3704407,468
167,2162620,4423930,1704
168,653234,1723138,175
169,871688,113821,3933
170,3519166,730998,34316
171,696010,3600865,1122
172,3849752,754077,48928
173,352555,4394409,14464
174,4745442,3063778,4830
175,1300583,2871701,243
176,3220267,2383579,4092
177,4315961,2678379,4644
178,1459605,1989693,197960
179,953777,2505146,213092
180,3979764,1776383,70
181,758145,2560532,276
182,4529968,3172548,266700
183,813834,2306581,114
184,268979,15583,3322
185,3360177,190135,972
186,2878277,2857848,112488
187,1792282,2791079,1144
188,3819528,4613147,216299
189,2609436,4831688,40470
190,3000657,1364265,436821
191,4846160,1111515,10140
192,1784444,895856,2840
193,2814406,1916798,94
194,2112791,3534144,226
195,3218124,2859615,4100
196,1827920,3076046,458488
197,2557232,1747172,1201560
198,4522523,4386169,522
199,4673872,960120,6355404
200,2135471,2849755,1445
201,1062590,1247007,1244970
202,4556922,2420235,697044
203,1240857,909674,1118
204,3989827,3166659,1393
205,220956,2862017,113664
206,41996,3465628,89325
207,201146,3926875,3105
208,3035063,1565469,128744
209,1160949,1565469,163856
210,3183860,4109816,159796
211,4621317,3713991,290
212,638873,1844409,132825
213,1876529,1351949,28386
214,4566997,4514481,260
215,3115786,4347727,82038
216,3503651,2409176,12336
