0,source,sink,resource_allocation
1,1328064,3679178,0.17767592292282333
2,3408035,3219451,0.06755437331954368
3,1778002,4094712,0.005324728305982992
4,149178,3641949,0
5,3115958,388986,0.005316431579830816
6,4428000,2754418,0
7,2501340,2489803,0.024866676629870292
8,3667996,3139729,0.022476397981330047
9,748601,2124082,0.03461957889508109
10,2289353,3922180,0.02918850995300219
11,3283631,3790474,0.005365008714060999
12,579087,4864718,0
13,916282,4220051,0.5157277625380836
14,3257141,3325131,5.831583858175881e-05
15,4553290,3791544,0.002833118661987012
16,1548572,204580,0.0003497726477789437
17,1482102,4226190,0.3852721579136625
18,4558830,2945485,1.4392652595895614
19,621507,3927116,0.014872901118135636
20,2646810,1020659,0
21,540885,4357361,0
22,4384804,1239560,0.0061924441215201985
23,3293710,1988104,0
24,3987555,1690452,0.025100832403672873
25,190960,4311061,0
26,1606939,680335,1.652373634726284e-05
27,3156079,242071,0.12663070399200602
28,3657101,3790534,0.0009876697998050497
29,3528096,3075173,0.02966971144795265
30,3741309,1470927,0.005944179730037174
31,330829,468933,0.003312569483576184
32,1272125,1349133,0.0508549600287971
33,869285,812719,0
34,1383804,3839572,0.3472977163592546
35,3385377,251847,0.0014912219477304864
36,2259534,2438108,0
37,551818,4531145,0.003466179206852383
38,2671829,997866,0
39,3643728,4187899,0.022177008436725404
40,1719681,4779581,0
41,3939243,1380921,0.2913375859481268
42,3825120,2809458,0.05523137855680971
43,1055448,1641529,0.0032260382055451053
44,4076988,3540532,0.02638326488231383
45,3889805,603001,0.0029799887959310717
46,1313009,425372,0.0009082652134423251
47,1625773,3115471,0.27182640736826813
48,530761,4096612,0.038606544644569626
49,2688609,778318,0.0002484995353316853
50,4523333,3071636,0
51,4143253,4739579,0.004775657123723422
52,161137,4613434,0.01147921876342576
53,2506971,4290833,0
54,817452,1724530,0
55,4289980,2290977,0
56,2635155,4406034,0.005771028790663185
57,3700536,1515999,0.002008957770195118
58,4261799,4257590,0.029829485152392664
