0,source,sink,z0_shortest_path
1,1328064,3679178,2
2,3408035,3219451,2
3,1778002,4094712,2
4,149178,3641949,2
5,3115958,388986,2
6,4428000,2754418,2
7,2501340,2489803,2
8,3667996,3139729,2
9,748601,2124082,2
10,2289353,3922180,2
11,3283631,3790474,2
12,579087,4864718,2
13,916282,4220051,2
14,3257141,3325131,2
15,4553290,3791544,2
16,1548572,204580,2
17,1482102,4226190,2
18,4558830,2945485,2
19,621507,3927116,2
20,2646810,1020659,2
21,540885,4357361,2
22,4384804,1239560,2
23,3293710,1988104,2
24,3987555,1690452,2
25,190960,4311061,2
26,1606939,680335,2
27,3156079,242071,2
28,3657101,3790534,2
29,3528096,3075173,2
30,3741309,1470927,2
31,330829,468933,2
32,1272125,1349133,2
33,869285,812719,2
34,1383804,3839572,2
35,3385377,251847,2
36,2259534,2438108,2
37,551818,4531145,2
38,2671829,997866,2
39,3643728,4187899,2
40,1719681,4779581,2
41,3939243,1380921,2
42,3825120,2809458,2
43,1055448,1641529,2
44,4076988,3540532,2
45,3889805,603001,2
46,1313009,425372,2
47,1625773,3115471,2
48,530761,4096612,2
49,2688609,778318,2
50,4523333,3071636,2
51,4143253,4739579,2
52,161137,4613434,2
53,2506971,4290833,2
54,817452,1724530,2
55,4289980,2290977,2
56,2635155,4406034,2
57,3700536,1515999,2
58,4261799,4257590,2
59,3218203,62113,2
60,334461,882814,2
61,743085,3221949,2
62,3928706,2730086,2
63,3318237,4790245,2
64,3184222,2203730,2
65,4274919,458869,2
66,2031470,2135899,2
67,1132916,104662,2
68,2899933,1023717,2
69,2131627,3204799,2
70,143220,119228,2
71,659469,1804528,2
72,2864777,4338398,2
73,2752756,3243447,2
74,4787138,1450031,2
75,3891364,3883024,2
76,2213689,1400706,2
77,3723633,4175820,2
78,4832741,4063856,2
79,1122,984459,2
80,510935,4736821,2
81,4719740,1105301,2
82,1648097,2880329,2
83,3144014,2558807,2
84,3804990,950597,2
85,3203747,2302064,2
86,2139167,2437632,2
87,1359330,2337881,2
88,4418116,1395863,2
89,752405,4016274,2
90,4418154,2578793,2
91,1244565,4126893,2
92,3300111,245819,2
93,3144,2868440,2
94,4118493,1438067,2
95,2506971,3317934,2
96,3045222,2984603,2
97,3213642,1788881,2
98,1480185,4792640,2
99,2416271,4443281,2
100,4180822,4793644,2
101,521794,4162835,2
102,264132,441367,2
103,2559219,3920639,2
104,3755255,4319703,2
105,1635500,3921120,2
106,4820741,3818906,2
107,1961825,3530075,2
108,1565517,1184312,2
109,840219,1143637,2
110,3201162,4005328,2
111,1006107,3201058,2
112,1751017,4861559,2
113,2126605,2180464,2
114,3077171,2226572,2
115,812338,4844871,2
116,4230186,4137307,2
117,3532343,2650447,2
118,1126130,160891,2
119,451378,3774281,2
120,453003,376424,2
121,19451,3111141,2
122,3638601,1793500,2
123,1950599,1009060,2
124,4332042,3257170,2
125,482013,3579983,2
126,1943454,3689782,2
127,4413981,4833817,2
128,4014047,1136778,2
129,1561394,1927555,2
130,3586613,1228736,2
131,1984044,4476596,2
132,697564,50158,2
133,4700329,3283432,2
134,3362628,20388,2
135,3559634,1209622,2
136,4612494,3281822,2
137,331274,2249595,2
138,3290884,3881983,2
139,2977223,4109291,2
140,2591437,1789565,2
141,702335,4751012,2
142,1859993,3188099,2
143,1443414,1154944,2
144,4067295,2795881,2
145,2427217,74682,2
146,1120411,4477188,2
147,1954009,1779762,2
148,2424197,458887,2
149,3225341,2010664,2
150,4414997,2582486,2
151,3313467,3478637,2
152,640373,4795705,2
153,547021,366864,2
154,3739969,4310029,2
155,1057680,4168027,2
156,2181364,4586866,2
157,3511222,1004233,2
158,2985668,3025121,2
159,4114236,3761153,2
160,1273418,2159250,2
161,654563,4087577,2
162,4146884,3352404,2
163,3976159,3009133,2
164,323965,193093,2
165,4311722,1753978,2
166,1818698,3704407,2
167,2162620,4423930,2
168,653234,1723138,2
169,871688,113821,2
170,3519166,730998,2
171,696010,3600865,2
172,3849752,754077,2
173,352555,4394409,2
174,4745442,3063778,2
175,1300583,2871701,2
176,3220267,2383579,2
177,4315961,2678379,2
178,1459605,1989693,2
179,953777,2505146,2
180,3979764,1776383,2
181,758145,2560532,2
182,4529968,3172548,2
183,813834,2306581,2
184,268979,15583,2
185,3360177,190135,2
186,2878277,2857848,2
187,1792282,2791079,2
188,3819528,4613147,2
189,2609436,4831688,2
190,3000657,1364265,2
191,4846160,1111515,2
192,1784444,895856,2
193,2814406,1916798,2
194,2112791,3534144,2
195,3218124,2859615,2
196,1827920,3076046,2
197,2557232,1747172,2
198,4522523,4386169,2
199,4673872,960120,2
200,2135471,2849755,2
201,1062590,1247007,2
202,4556922,2420235,2
203,1240857,909674,2
204,3989827,3166659,2
205,220956,2862017,2
206,41996,3465628,2
207,201146,3926875,2
208,3035063,1565469,2
209,1160949,1565469,2
210,3183860,4109816,2
211,4621317,3713991,2
212,638873,1844409,2
213,1876529,1351949,2
214,4566997,4514481,2
215,3115786,4347727,2
216,3503651,2409176,2
217,3648705,3367608,2
218,1537715,1341124,2
219,831453,122016,2
220,1429183,3247415,2
221,4579537,3799178,2
222,169650,1856116,2
223,960790,3067078,2
224,3102958,2702637,2
225,4843952,3889805,2
226,907892,2320538,2
227,3332350,2863811,2
228,4862682,3375317,2
229,4732222,3013417,2
230,4742300,4400515,2
231,1200055,970441,2
232,2411192,575372,2
233,846393,3611163,2
234,3228963,3740055,2
235,1651539,559732,2
236,2098473,14202,2
237,598650,1204624,2
238,4093979,4863182,2
239,483091,4337184,2
240,2077025,799040,2
241,699366,2497380,2
242,402005,1558394,2
243,1635607,4058041,2
244,4789443,124654,2
245,2597890,3167298,2
246,2390420,4116301,2
247,2602854,3609187,2
248,4709481,4283234,2
249,1327905,3553485,2
250,1295223,614768,2
251,3044382,104806,2
252,3320731,1853137,2
253,3265042,2821412,2
254,3072308,269841,2
255,1174,683529,2
256,649203,1467047,2
257,4764268,1114409,2
258,4357352,3501099,2
259,1942858,4502795,2
260,2502918,2689599,2
261,4700248,4278467,2
262,4564989,4451008,2
263,2001062,1196225,2
264,3280393,1165110,2
265,1727502,34992,2
266,4550525,4776193,2
267,43264,2332893,2
268,1737080,3616458,2
269,122041,142496,2
270,2646333,1672636,2
271,1742701,2970071,2
272,3293255,833637,2
273,1780606,2262636,2
274,1345570,2824526,2
275,2887828,1690852,2
276,38947,3108211,2
277,1013242,4077123,2
278,839043,2692611,2
279,371635,156875,2
280,3011952,4720585,2
281,3638601,2129705,2
282,3708904,2079990,2
283,241387,1059358,2
284,40248,1127656,2
285,987263,2478602,2
286,1879363,4654996,2
287,2950460,1294552,2
288,2695168,3951022,2
289,3961269,728145,2
290,3028026,4119951,2
291,1616100,902731,2
292,3212185,37950,2
293,615572,2930986,2
294,2824613,4085345,2
295,3014991,821405,2
296,2080615,2393,2
297,3675243,622762,2
298,947762,2764726,2
299,596458,360372,2
300,785634,4458764,2
301,3701577,463578,2
302,1567929,1000,2
303,1912792,3080932,2
304,4231030,1132916,2
305,3026988,2133291,2
306,2837576,2427238,2
307,2985401,3587358,2
308,838983,799253,2
309,4525307,3762216,2
310,3651080,1922246,2
311,667134,1781711,2
