0,_sink,_source,adamic_adar_index,common_neighbour,in_degree_a,in_degree_b,in_out_degree_a,in_out_degree_b,jaccard_coefficient,local_path,out_degree_a,out_degree_b,preferential_attachment,resource_allocation,summation_neighbours,z0_shortest_path,z1_b_to_a,z2_middle
1,4733583,3839905,0.0,0,2,4,2000000.0,4000000.0,0.0,0.0,0,0,8,0.0,6,4,0,0
2,626811,1060999,0.08358176452866961,1,1,1,1000000.0,1000000.0,1.0,1.0,0,0,1,6.3673178310368536e-06,2,3,0,0
3,199110,1747649,0.07383035914027619,1,2,1,2000000.0,1000000.0,0.5,1.0,0,0,2,1.3112054304884107e-06,3,3,0,0
4,290156,4674617,0.0,0,5,6,5000000.0,6000000.0,0.0,0.0,0,0,30,0.0,11,4,0,0
5,3741348,3820744,0.0,0,2,2,2000000.0,2000000.0,0.0,0.0,0,0,4,0.0,4,5,0,0
6,4843823,1570822,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
7,4643377,2617378,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,4,0,0
8,4303258,1625688,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
9,1570901,4286347,0.0,0,4,1,4000000.0,1000000.0,0.0,0.0,0,0,4,0.0,5,4,0,0
10,2094050,3049573,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
11,1090842,3165391,0.0,0,3,19,3000000.0,19000000.0,0.0,0.0,0,0,57,0.0,22,4,0,0
12,2674578,3860392,0.0,0,2,2,2000000.0,2000000.0,0.0,0.0,0,0,4,0.0,4,4,0,0
13,385131,1597503,0.0,0,2,1,2000000.0,1000000.0,0.0,0.0,0,0,2,0.0,3,5,0,0
14,723512,249135,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,4,0,0
15,1982263,3913974,0.0,0,1,2,1000000.0,2000000.0,0.0,0.0,0,0,2,0.0,3,4,0,0
16,2374776,587125,0.07991783670433865,1,1,8,1000000.0,8000000.0,0.125,1.0,0,0,8,3.679067577113256e-06,9,3,0,0
17,4541519,4175003,0.0,0,3,1,3000000.0,1000000.0,0.0,0.0,0,0,3,0.0,4,5,0,0
18,275596,1446949,0.0,0,1,7,1000000.0,7000000.0,0.0,0.0,0,0,7,0.0,8,4,0,0
19,415095,2152105,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
20,185938,1635005,0.0,0,1,2,1000000.0,2000000.0,0.0,0.0,0,0,2,0.0,3,5,0,0
21,3624722,2184077,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
22,4299971,452554,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
23,514323,3425137,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
24,2239460,4221982,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
25,3096729,4619967,0.07751681639600151,1,2,3,2000000.0,3000000.0,0.25,1.0,0,0,6,2.496984890744426e-06,5,3,0,0
26,448905,2503189,0.0,0,1,12,1000000.0,12000000.0,0.0,0.0,0,0,12,0.0,13,4,0,0
27,4862487,2975605,0.0,0,1,2,1000000.0,2000000.0,0.0,0.0,0,0,2,0.0,3,5,0,0
28,3790353,177384,0.0,0,7,1,7000000.0,1000000.0,0.0,0.0,0,0,7,0.0,8,4,0,0
29,2463738,383560,0.0,0,1,1,1000000.0,1000000.0,0.0,0.0,0,0,1,0.0,2,5,0,0
