0,_sink,_source,adamic_adar_index,common_neighbour,in_degree_a,in_degree_b,in_out_degree_a,in_out_degree_b,jaccard_coefficient,local_path,out_degree_a,out_degree_b,preferential_attachment,resource_allocation,summation_neighbours,z0_shortest_path,z1_b_to_a,z2_middle
1,1300190,2184483,0.0,0,102,3,1.22891564784439,3000000.0,0.0,0.0,83,0,435,0.0,148,4,0,0
2,1452193,3151356,0.4077046379985356,4,39,289,0.11470588201557096,289000000.0,0.006259780907668232,4.0,340,0,102306,0.0007395088590716332,643,3,0,0
3,193159,1579396,0.0,0,13,2,0.062499999699519235,2000000.0,0.0,0.0,208,0,418,0.0,211,4,0,0
4,2481036,1406432,1.2388975904578436,7,16,24,0.1904761882086168,1.7142855918367434,0.0625,7.0,84,14,2838,0.032616871212827005,119,3,0,5
5,593017,2389638,0.8028118928629641,6,30,165,0.11235955014097547,2.8448275371581464,0.012072434607645876,6.0,267,58,62196,0.006229280633719201,503,3,0,6
6,212805,228206,2.357317109050002,14,14,894,1.5555553827160686,3.01010099996599,0.013474494706448507,14.0,9,297,16592,0.045945261389900884,1053,2,1,8
7,879115,1237964,0.09064235218597792,1,4,482,0.2666666488888901,482000000.0,0.002012072434607646,1.0,15,0,7712,1.6169717353340663e-05,498,3,0,0
8,1840575,3318124,0.15745835220560253,1,26,26,0.2795698894669905,26000000.0,0.0078125,1.0,93,0,2678,0.0017452006980802793,129,3,0,0
9,1552625,4522929,0.15832409171119385,2,46,63,0.10900473907818782,63000000.0,0.003976143141153081,2.0,422,0,27846,8.556217239857661e-06,505,3,0,0
10,3781412,3406737,0.0,0,3,2,0.10344827229488716,2000000.0,0.0,0.0,29,0,60,0.0,32,4,0,0
11,3008412,1567983,0.25787794265940944,3,13,84,0.14942528563878982,84000000.0,0.017341040462427744,3.0,87,0,7728,2.681668110617464e-05,176,3,0,0
12,2906415,4370932,0.13116249633508392,1,15,2,0.1595744663875057,2000000.0,0.009433962264150943,1.0,94,0,210,0.0004885197850512947,107,3,0,0
13,474307,286240,0.0,0,50,6,0.09765624980926514,6000000.0,0.0,0.0,512,0,3354,0.0,565,4,0,0
14,3115614,4796773,0.10231101227470572,1,15,5,0.1056338020730014,5000000.0,0.006535947712418301,1.0,142,0,745,5.6905479997723776e-05,154,3,0,0
15,4354226,2207765,0.9829359729366092,6,13,50,0.062499999699519235,0.03933910303749874,0.0039946737683089215,6.0,208,1271,271491,0.01792525187979742,1508,3,0,4
16,279636,1283384,0.0,0,9,70,0.06569343017742021,70000000.0,0.0,0.0,137,0,9660,0.0,208,4,0,0
17,2431466,368544,0.4558430713087517,4,32,49,0.1860465105462412,0.023233760064848855,0.0017338534893801473,4.0,172,2109,404920,0.0012150148378344545,2311,3,0,4
18,4512147,3921857,0.0,0,65,3,21.66665944444685,3000000.0,0.0,0.0,3,0,201,0.0,70,4,0,0
19,3175009,49037,0.07383035914027619,1,212,1,0.21946169749538127,1000000.0,0.0009852216748768472,1.0,966,0,1015,1.3112054304884107e-06,1016,3,0,0
20,1064392,61633,0.671689770627829,4,12,8,0.36363635261708027,8000000.0,0.0851063829787234,4.0,33,0,344,0.013821312461868171,51,3,0,0
21,654182,1459453,0.0,0,30,7,0.7692307495069041,7000000.0,0.0,0.0,39,0,434,0.0,69,4,0,0
22,2736867,447597,0.0,0,209,4,0.09330357138691804,4000000.0,0.0,0.0,2240,0,9056,0.0,2268,4,0,0
23,3413796,2121585,0.0,0,5,12,0.1470588192041524,12000000.0,0.0,0.0,34,0,408,0.0,46,4,0,0
24,1131654,933347,1.8378051187883384,18,349,95,0.038916146293608816,95000000.0,0.001990049751243781,18.0,8968,0,851960,0.001305559916695177,9063,3,0,0
25,488937,3733033,0.0,0,40,2,0.10335917285953702,2000000.0,0.0,0.0,387,0,808,0.0,406,4,0,0
26,2817859,3023014,0.3049696999250657,2,20,11,0.0579710143247217,11000000.0,0.005555555555555557,2.0,345,0,3861,0.0028525641025641023,362,3,0,0
27,410037,1404783,0.0,0,50,1,0.26178010334146545,1000000.0,0.0,0.0,191,0,225,0.0,226,4,0,0
28,3656408,1886158,1.4417001468049446,11,126,272,2.624999945312501,272000000.0,0.02540415704387991,11.0,48,0,46784,0.009958880008853538,444,3,0,0
29,4579088,3316731,0.5681191382254661,5,28,72,0.2745098012302961,0.14968814937694772,0.00825082508250825,5.0,102,481,52728,0.001132617787515363,611,2,1,4
30,1860112,2369031,0.9468609721949292,7,259,69,0.6590330772034781,1.0147058674307958,0.0103397341211226,7.0,393,68,69875,0.00511039563854432,684,3,0,0
31,755258,2850334,0.0,0,65,98,0.04057428212198858,98000000.0,0.0,0.0,1602,0,158368,0.0,1714,4,0,0
32,2879440,4606553,0.0,0,21,6,0.8076922766272201,6000000.0,0.0,0.0,26,0,270,0.0,51,4,0,0
33,2064734,3013323,0.3865613100432344,4,60,179,0.013559322030834051,179000000.0,0.0008669267446900738,4.0,4425,0,794581,0.00019033804205843951,4618,3,0,0
34,1190291,1653770,2.6171607794785263,12,15,15,4.999998333333887,15000000.0,0.631578947368421,12.0,3,0,240,0.14173480542216926,31,3,0,0
35,202508,4540325,0.0,0,41,64,0.18636363551652893,64000000.0,0.0,0.0,220,0,14720,0.0,294,4,0,0
36,4404645,4189431,0.27615617397737025,2,48,2,0.12532637042995726,2000000.0,0.00477326968973747,2.0,383,0,838,0.0014922997826993373,421,3,0,0
37,3824559,1590268,0.0,0,9,4,0.8999999100000091,4000000.0,0.0,0.0,10,0,68,0.0,21,4,0,0
38,421433,2717491,0.0,0,4,518,0.5714284897959301,518000000.0,0.0,0.0,7,0,4662,0.0,527,4,0,0
39,2156609,71500,0.0,0,9,28,0.20930232071389954,28000000.0,0.0,0.0,43,0,1260,0.0,73,4,0,0
40,325927,2422900,0.0,0,23,68,0.27380952054988666,68000000.0,0.0,0.0,84,0,6188,0.0,159,4,0,0
41,4194667,784291,0.12979661495688088,1,295,99,0.6413043464319471,99000000.0,0.0013280212483399733,1.0,460,0,64845,0.0004508566275924256,754,3,0,0
42,4207316,3836480,0.3966990932571174,3,9,31,0.03249097461194594,31000000.0,0.00974025974025974,3.0,277,0,8680,0.004223054601019685,311,3,0,0
43,3824301,2570161,0.0,0,4,21,0.24999998437500096,21000000.0,0.0,0.0,16,0,399,0.0,40,4,0,0
44,1663756,2574465,0.0,0,1,468,0.999999000001,2.043668113346428,0.0,0.0,1,229,1084,0.0,544,2,1,0
45,4324049,195757,1.7879590641586316,20,76,73,0.02677942211882332,73000000.0,0.006918021445866482,20.0,2838,0,207174,0.0003019951826588431,2911,3,0,0
46,624570,3501584,0.08787672930771424,1,18,20,0.08450704185677445,20000000.0,0.00423728813559322,1.0,213,0,4340,1.1426482014717308e-05,237,3,0,0
47,3520804,2342205,0.0,0,248,18,49.59999008000197,18000000.0,0.0,0.0,5,0,4482,0.0,267,4,0,0
48,727427,2067826,0.2930092313691034,3,520,5,0.018861080884335836,5000000.0,0.00010874687352738608,3.0,27570,0,137925,0.00011422004727732,27590,3,0,0
49,2365654,4787138,2.961285871128532,21,39,46,0.4999999935897437,46000000.0,0.1875,21.0,78,0,4002,0.02409008979921655,133,3,0,0
50,1536763,2907109,0.17112901496657407,1,32,29,0.1739130425330813,29000000.0,0.004484304932735426,1.0,184,0,5655,0.0028985507246376808,224,3,0,0
51,2811074,2979388,5.42876599029407,58,437,240,0.16859567894730107,240000000.0,0.020810907786149985,58.0,2592,0,625200,0.0028917625799994603,2845,3,0,0
52,3562714,2773866,1.7698220081392848,19,67,501,0.1273764256133528,501000000.0,0.0185546875,19.0,526,0,271542,0.0009118842723400773,1043,3,0,0
53,3446682,3467832,0.1138929767924529,1,16,81,0.08421052587257619,81000000.0,0.0036764705882352936,1.0,190,0,15552,0.00015375153751537516,273,3,0,0
54,3142365,209191,2.411548155760436,23,659,145,0.16704689476120485,145000000.0,0.005597468970552446,23.0,3945,0,578115,0.003928998698712256,4132,3,0,0
55,2157727,1630356,0.0,0,29,1,0.1266375540321504,1000000.0,0.0,0.0,229,0,231,0.0,232,4,0,0
56,853327,662368,0.4655477681076136,4,78,50,0.2407407399977137,50000000.0,0.010309278350515464,4.0,324,0,17100,0.0016483979957808814,392,3,0,0
57,4278188,3151576,0.08770619340726442,1,51,33,0.059027777709458586,33000000.0,0.0011086474501108647,1.0,864,0,28710,1.1176431142007733e-05,903,3,0,0
