Id	Source	Sink
1	4066935	2828522
2	20388	3492899
3	20388	4488954
4	20388	3242265
5	20388	4766028
6	20388	2326484
7	20388	2302885
8	20388	1473459
9	20388	225508
10	20388	1425537
11	20388	3944848
12	20388	4750464
13	20388	3341653
14	20388	4070850
15	20388	2431464
16	20388	2695003
17	20388	2465215
18	20388	4853794
19	20388	2733370
20	20388	4807564
21	20388	4360867
22	20388	4449564
23	20388	4565286
24	20388	423727
25	20388	958787
26	20388	2794784
27	20388	4271851
28	20388	3781148
29	20388	395178
30	20388	4697814
31	20388	3857206
32	20388	3463919
33	20388	1798709
34	20388	1924325
35	20388	4507890
36	20388	2695521
37	20388	2356860
38	20388	3073163
39	20388	679735
40	20388	1711438
41	20388	506738
42	20388	2503234
43	20388	347688
44	20388	2357977
45	20388	1360074
46	20388	3128695
47	20388	3851031
48	20388	1711976
49	20388	23956
50	20388	3389578
51	20388	1088742
52	20388	4115374
53	20388	3382171
54	20388	1166943
55	20388	2943688
56	20388	3273076
57	20388	676659
58	20388	4356881
59	20388	2954010
60	20388	2538254
61	20388	3359696
62	20388	3289082
63	20388	3179756
64	20388	3956990
65	20388	1955532
66	20388	4051252
67	20388	3908740
68	20388	2707984
69	20388	1491328
70	20388	323352
71	20388	884738
72	20388	1101880
73	20388	1306131
74	20388	3341250
75	20388	3331381
76	20388	3417355
77	20388	4295295
78	20388	3835090
79	20388	822737
80	20388	2388187
81	20388	1767208
82	20388	2771496
83	20388	86910
84	20388	2731871
85	20388	468099
86	20388	3909005
87	20388	3756882
88	20388	824730
89	20388	3057969
90	20388	868392
91	20388	616772
92	20388	1458181
93	20388	410232
94	20388	919576
95	20388	3996526
96	20388	421394
97	20388	275326
98	20388	3893029
99	20388	1163916
100	20388	4364665
101	20388	542663
102	20388	3935187
103	20388	2210851
104	20388	2721719
105	20388	2784391
106	20388	1559789
107	20388	997017
108	20388	2054625
109	20388	1053014
110	20388	1349937
111	20388	60279
112	20388	3593515
113	20388	1243565
114	20388	4372688
115	20388	2161761
116	20388	2147475
117	20388	1897952
118	20388	487327
119	20388	2942906
120	20388	981795
121	20388	3767106
122	20388	4186919
123	20388	2847036
124	20388	341032
125	20388	4643167
126	20388	1802593
127	20388	3780712
128	20388	1150057
129	20388	2029029
130	20388	2449819
131	20388	760018
132	20388	3525593
133	20388	1931230
134	20388	4517428
135	20388	2004177
136	20388	2371352
137	20388	2424232
138	20388	1413696
139	20388	370128
140	20388	689121
141	20388	1629223
142	20388	4253784
143	20388	287554
144	20388	3278320
145	20388	2190955
146	20388	1210441
147	20388	4011825
148	20388	598936
149	20388	4240480
150	20388	4613792
151	20388	1885427
152	20388	3720409
153	20388	998836
154	20388	323459
155	20388	1148669
156	20388	1854112
157	20388	3648850
158	20388	4261977
159	20388	627802
160	20388	1063235
161	20388	1369608
162	20388	261014
163	20388	2472651
164	20388	1341153
165	20388	2910807
166	20388	2131756
167	20388	3543685
168	20388	4030505
169	20388	2659387
170	20388	4526030
171	20388	1466888
172	20388	4508700
173	20388	4092735
174	20388	4709508
175	20388	2968053
176	20388	991578
177	20388	3422510
178	20388	3441113
179	20388	939717
180	20388	244164
181	20388	3783127
182	20388	4735057
183	20388	323353
184	20388	4112604
185	20388	4845176
186	20388	3527808
187	20388	1886135
188	20388	3074605
189	20388	3876734
190	20388	3101745
191	20388	307931
192	20388	556821
193	20388	2382659
194	20388	2900136
195	20388	2426208
196	20388	4036360
197	20388	4230119
198	20388	880043
199	20388	28744
200	20388	4354709
201	20388	4311566
202	20388	2910081
203	20388	3770751
204	20388	229729
205	20388	3352938
206	20388	359495
207	20388	4689112
208	20388	744581
209	20388	524680
210	20388	3917082
211	20388	4809348
212	20388	3291635
213	20388	763356
214	20388	573160
215	20388	1760189
216	20388	2712171
217	20388	940365
218	20388	1981060
219	20388	3166229
220	20388	3622209
221	20388	1970792
222	20388	3745810
223	20388	1363081
224	20388	1248844
225	20388	215127
226	20388	1657629
227	20388	2668061
228	20388	1820922
229	20388	4255951
230	20388	591768
231	20388	4661368
232	20388	3164204
233	20388	1955265
234	20388	997648
235	20388	4605797
236	20388	3670155
237	20388	800478
238	20388	2915519
239	20388	2782550
240	20388	2542611
241	20388	4340328
242	20388	239964
243	20388	3979157
244	20388	843561
245	20388	62172
246	20388	2156958
247	20388	82336
248	20388	1453046
249	20388	2461980
250	20388	3789590
251	20388	657974
252	20388	1962257
253	20388	2376119
254	20388	58233
255	20388	4443585
256	20388	4232281
257	20388	101573
258	20388	4218035
259	20388	2135903
260	20388	169995
261	20388	1557565
262	20388	1916851
263	20388	3868938
264	20388	3959656
265	20388	4788648
266	20388	4001765
267	20388	2625408
268	20388	724884
269	20388	4227797
270	20388	4329441
271	20388	606044
272	20388	136577
273	20388	2000027
274	20388	2824530
275	20388	689508
276	20388	1814939
277	20388	3141451
278	20388	2110871
279	20388	3543877
280	20388	4109235
281	20388	3405473
282	20388	4453
283	20388	240968
284	20388	1204992
285	20388	2372207
286	20388	4276423
287	20388	3857824
288	20388	2609126
289	20388	4075762
290	20388	1129664
291	20388	1890797
292	20388	1681661
293	20388	3766842
294	20388	3848946
295	20388	2393831
296	20388	4520000
297	20388	2306635
298	20388	3745139
299	20388	4648260
300	20388	3290767
301	20388	699984
302	20388	3516979
303	20388	3337351
